jini,	জিনি,	যিনি,	
lampot,	ল্যাপ্ত,	লম্পট,	
romantiq,	রোমান্তিক,	রোমান্টিক,	
reliance,	রিলিয়েন্স,	রিলায়েন্স,	
uinndo,	উইন্ডো,	উইন্ডো,	
tukroti,	তুক্রতি,	টুকরোটি,	
note,	নোট,	নোটে,	
oiteejyer,	ঐতিজ্যের,	ঐতিহ্যের,	
azaan,	আজান,	আজান,	
danaber,	দানাবের,	দানবের,	
icebarg,	এসাবর্জ,	আইসবার্গ,	
ovigomon,	অভিগমন,	অভিগমন,	
chabir,	ছবির,	চাবির,	
choudhurider,	চৌধুরীদের,	চৌধুরীদের,	
ruby,	রাবি,	রুবী,	
shoti,	সতী,	শোটি,	
sahajlabhbhotar,	সহজ্লভূলতার,	সহজলভ্যতার,	
jaunatar,	যৌনতার,	যৌনতার,	
sheepha,	সেফ,	শেফ,	
shchalastic,	স্কালাস্টিক,	স্কলাস্টিক,	
pooshtir,	পুস্তির,	পুষ্টির,	
tokei,	তকেই,	ত্বকেই,	
samany,	সামানী,	সামান্য,	
adhyattikota,	আধ্যাতিকতা,	আধ্যাত্মিকতা,	
madola,	মোডল,	মাদলা,	
taki,	টাকী,	তকি,	
sachetanatamulak,	স্বচতানাতমূলক,	সচেতনতামূলক,	
hipar,	হিপার,	হাইপার,	
nothivookta,	নথিভুকতা,	নথিভুক্ত,	
agibon,	অগিবন,	আজীবন,	
shekarone,	সেকারণে,	সেকারণে,	
keuyi,	কইউই,	কেউই,	
biswash,	বিশ্বাস,	বিশ্বাস,	
jyestthotar,	জিস্ঠ্যতার,	জ্যেষ্ঠতার,	
ahollar,	আহলার,	অহল্যার,	
gunje,	গুঁজে,	গুঁজে,	
ghenshe,	ঘেঁসে,	ঘেঁষে,	
saseja,	সসজেজ,	সসেজ,	
manobsomajer,	মানবসমাজের,	মানবসমাজের,	
partho,	পার্থ,	পার্থ,	
byabaharkari,	ব্যবহারকারি,	ব্যবহারকারী,	
karmasampadan,	কর্মসম্পদন,	কর্মসম্পাদন,	
durgotsab,	দুর্গটস্ব,	দুর্গোৎসব,	
fand,	ফাঁদ,	ফান্ড,	
sahazlabhbhotar,	সহজ্লভূতার,	সহজলভ্যতার,	
phimel,	ফিমেল,	ফিমেল,	
nirikhe,	নিরিখে,	নিরিখ,	
parshwey,	পারস্বে,	পার্শ্বে,	
upobaasee,	উপবাসী,	উপবাসী,	
karmopantha,	কর্মপন্থা,	কর্মপন্থা,	
chhooteer,	ছুটির,	ছুটির,	
abhidhaneeck,	আভিধানিক,	অভিধানিক,	
engineersh,	ইন্জিনার্স,	ইঞ্জিনিয়ার্স,	
maricha,	মরিচ,	মরিচা,	
hondooras,	হন্দুরস,	হন্ডুরাস,	
debaag,	দেবাগ,	ডিবাগ,	
chalochchitrotike,	চলচ্চিত্রটিকে,	চলচ্চিত্রটিকে,	
orbiit,	অর্বিত,	অরবিট,	
procharona,	প্রচারনা,	প্রচারণা,	
deebatee,	দিবাতী,	ডিবেট,	
jyeshtha,	জেষ্ঠ্য,	জ্যেষ্ঠা,	
setite,	সেতিতে,	সেটিতে,	
bikargrosto,	বিকগ্রস্ত,	বিকারগ্রস্ত,	
adhatik,	আধ্যাতিক,	আধ্যাত্মিক,	
bhenise,	ভেনিসে,	ভেনিসে,	
sonaktokaraner,	সনাক্তকরণের,	সনাক্তকরণের,	
phiqsim,	ফিকসিম,	ফিক্সিং,	
nariikeyi,	নারীকেই,	নারীকেই,	
shektore,	সেক্টোর,	সেক্টরে,	
chetnagato,	চিত্নগত,	চেতনাগত,	
jerusalema,	জেরুসলামা,	জেরুসালেম,	
seekkhaarthirao,	শিক্ষার্থীরাও,	শিক্ষার্থীরাও,	
prapokke,	প্রাপক্কে,	প্রাপককে,	
jonoika,	যনিকা,	জনৈকা,	
marketing,	মার্কেটিং,	মার্কেটিং,	
jetam,	জততম,	যেতাম,	
basinay,	বাসিনে,	বেসিনে,	
aidin,	এদিন,	এইদিন,	
saralya,	সরল্যা,	সারল্য,	
rites,	রাটেস,	রিতেশ,	
uporitaler,	উপরিতালের,	উপরিতলের,	
kiuti,	কিউটি,	কিউটি,	
madhyekar,	মধ্যিকার,	মধ্যেকার,	
granthaty,	গ্রন্থাতি,	গ্রন্থটি,	
skalarashipa,	স্কলারশিপ,	স্কলারশিপ,	
bodhir,	বধির,	বধির,	
torokareer,	তরকারীর,	তরকারীর,	
baraak,	বারক,	বারাক,	
byaboharkarikey,	ব্যবহারকারিকে,	ব্যবহারকারীকে,	
orohan,	অরোহণ,	ওরহান,	
longhaner,	লঙ্ঘনের,	লংঘনের,	
okkhorke,	অক্ষরকে,	অক্ষরকে,	
nuhas,	নূহাস,	নুহাশ,	
assaciates,	অ্যাসোসিয়েটস,	এসোসিয়েটস,	
asor,	আসর,	আসর,	
desiseyer,	দেশিজের,	ডিজিজের,	
nilkuthir,	নিলকুঠির,	নীলকুঠির,	
kram,	ক্রম,	ক্রম,	
pachhi,	পাছি,	পাচ্ছি,	
diznii,	দিজনী,	ডিজনী,	
akpaase,	আকপাশে,	একপাশে,	
graambashio,	গ্রামবিয়,	গ্রামবাসীও,	
bibek,	বিবেক,	বিবেক,	
debdebier,	দেবদেবীর,	দেবদেবীর,	
khorshed,	খোর্সেদ,	খোরশেদ,	
elaakaati,	এলাকাতি,	এলাকাটি,	
scifi,	স্কিই,	সাইফাই,	
grambasi,	গ্রামবাসী,	গ্রামবাসী,	
mohajot,	মহাজত,	মহাজোট,	
roopdaan,	রূপদন,	রুপদান,	
sammatite,	সম্মতিতে,	সম্মতিতে,	
ghenshei,	ঘেনসেই,	ঘেঁষেই,	
gaadha,	গাধা,	গাধা,	
maszid,	মসসিড,	মসজিদ,	
joistho,	জৈষ্ঠ,	জ্যৈষ্ঠ,	
nutoner,	নুতনের,	নূতনের,	
nathibhookta,	নথিভুক্ত,	নথিভুক্ত,	
bosstonte,	বস্ষতন্তে,	বসন্তে,	
avijojan,	অভিযোজন,	অভিযোজন,	
jilyaand,	জিল্যান্ড,	জিল্যান্ড,	
mausumer,	মৌসুমের,	মৌসুমের,	
oodoore,	উদুরে,	অদুরে,	
teenej,	তিনেজ,	টিনেজ,	
aminul,	এমিনুল,	আমিনুল,	
kommppito,	কম্পিপ,	কম্পিত,	
code,	কোড,	কোড,	
vagna,	ভাগ্ন,	ভগ্ন,	
basiney,	বাসিনে,	বেসিনে,	
bhadaka,	ভাদাকা,	ভদকা,	
laesensh,	লেসন্স,	লাইসেন্স,	
provritike,	প্রভূতিকে,	প্রভৃতিকে,	
bolokarak,	বলোকারক,	বলকারক,	
nederlander,	নেদারলান্ডের,	নেদারল্যান্ডের,	
aazadeer,	আজাদীর,	আজাদীর,	
ostader,	অস্তাদের,	ওস্তাদের,	
ray,	রে,	রায়,	
oxfordey,	অক্সফোর্ডে,	অক্সফোর্ডে,	
asovvo,	অসভ্ব,	অসভ্য,	
rajbondir,	রাজবন্দীর,	রাজবন্দীর,	
magical,	ম্যাজিকাল,	ম্যাজিকাল,	
charukala,	চারুকালা,	চারুকলা,	
chidrapathe,	চিদ্রপথে,	ছিদ্রপথে,	
akabar,	একাবার,	আকাবার,	
shector,	স্ক্টর,	সেক্টর,	
kyamone,	ক্যামনে,	কেমনে,	
dephineshana,	ডেফিনেশন,	ডেফিনেশন,	
deepan,	দিপণ,	দীপন,	
troop,	ত্রূপ,	ট্রুপ,	
istoon,	ইস্টন,	স্টোন,	
firth,	ফির্থ,	ফার্থ,	
zuktorastroshoho,	যুক্তরস্্থসূ,	যুক্তরাষ্ট্রসহ,	
durger,	দরর্গের,	দুর্গের,	
bamonder,	ব্যামন্ডের,	বামনদের,	
rudrer,	রুদ্রের,	রুদ্রের,	
cheenja,	চিঞ্জ,	চেঞ্জ,	
nederlande,	নেড্রালন্ডা,	নেদারল্যান্ডে,	
phix,	ফিক্স,	ফিক্স,	
dormetory,	ডরমেটরি,	ডরমিটরি,	
temonbhabe,	তেমনভাবে,	তেমনভাবে,	
sudhuyi,	সুধুই,	শুধুই,	
samabeshti,	সমাবেশ্টি,	সমাবেশটি,	
taunship,	তানশীপ,	টাউনশিপ,	
paschimey,	পশ্চিমে,	পশ্চিমে,	
panchashjan,	পঞ্চাশজন,	পঞ্চাশজন,	
votarer,	ভোটারের,	ভোটারের,	
elaakaatike,	এলাকাতেকে,	এলাকাটিকে,	
thore,	দোর,	থরে,	
satthikata,	সথ্থিকতা,	সঠিকতা,	
rubidiyam,	র্বিডিয়াম,	রুবিডিয়াম,	
jees,	জিস,	জেস,	
maddhuri,	মাধধুরি,	মাধুরী,	
granthati,	গ্রন্থাতি,	গ্রন্থটি,	
mukkho,	মূক্ষ,	মুখ্য,	
hizriite,	হিজরিতে,	হিজরীতে,	
chirontan,	চিরন্তন,	চিরন্তন,	
remacry,	রেমাক্রি,	রেমাক্রী,	
sarolyo,	সরল্য,	সারল্য,	
sthaponake,	স্থাপনাকে,	স্থাপনাকে,	
gitikabitar,	গীতিকাবিতার,	গীতিকবিতার,	
mousum,	মৌসুম,	মৌসুম,	
atitkaale,	অতীতকালে,	অতীতকালে,	
chalochchitroke,	চলচ্চিত্রকে,	চলচ্চিত্রকে,	
mitre,	মিত্রে,	মিত্র,	
marodeha,	মারদেহা,	মরদেহ,	
kada,	কাদা,	কোড,	
ekspression,	এক্সপ্রেশন,	এক্সপ্রেশন,	
bhenasa,	ভেনাস,	ভেনাস,	
chandrimaa,	চন্দ্রিমা,	চন্দ্রিমা,	
talgaachh,	তালগাছ,	তালগাছ,	
modhyostho,	মধ্যস্থ,	মধ্যস্থ,	
jubokey,	যুবকে,	যুবকে,	
udar,	উদার,	উদর,	
dweepgulo,	দ্বিপগুলো,	দ্বীপগুলো,	
uthe,	উঠ,	উঠে,	
expreshshion,	এক্সপ্রেশন,	এক্সপ্রেশন,	
sirameeks,	সিরমেক্স,	সিরামিকস,	
suiti,	সুইটি,	সুইটি,	
naraphoqa,	নরফাকো,	নরফোক,	
netherlande,	নেথারল্যান্ডে,	নেদারল্যান্ডে,	
chyeta,	চ্যাট,	চ্যাট,	
chhatke,	ছাটকে,	ছাতকে,	
suri,	সুরি,	সুরি,	
nothibhookta,	নথিভুকতা,	নথিভুক্ত,	
kunntee,	কুন্তি,	কুন্তী,	
ashocheton,	অসচেতন,	অসচেতন,	
dale,	দলে,	ডালে,	
sheramiksh,	শেরমিক্স,	সিরামিকস,	
paira,	পাইরা,	পাইরা,	
jetei,	যেতেই,	যেতেই,	
oncholsoho,	অঞ্চলসহ,	অঞ্চলসহ,	
paikgacha,	পাকগাছা,	পাইকগাছা,	
hattey,	হাঁটে,	হাঁটতে,	
bafar,	বাফার,	বাফার,	
monmotho,	মন্মঠ,	মন্মথ,	
licensin,	লিকেসনিয়ান,	লাইসেন্সিং,	
armstrang,	আরম্ত্রান,	আর্মস্ট্রং,	
napper,	নাপের,	ন্যাপের,	
subadey,	সুবদে,	সুবাদে,	
chatoke,	চাটকে,	ছাতকে,	
townshhip,	তনঃশীপ,	টাউনশিপ,	
oparogota,	অপরাগত,	অপারগতা,	
ghatleo,	ঘটলেও,	ঘটলেও,	
sibraz,	সিবররাজ,	শিবরাজ,	
bivonno,	বিভন্ন,	বিভন্ন,	
loukikata,	লৌকিকতা,	লৌকিকতা,	
muradkey,	মুরাদকে,	মুরাদকে,	
teman,	তামান,	তেমন,	
chilahati,	চিলাহাটি,	চিলাহাটি,	
zommu,	জমমু,	জম্মু,	
ashonkai,	আসনকাই,	আশঙ্কাই,	
nabotom,	নবতম,	নবতম,	
abdi,	আব্দি,	অব্দি,	
vejano,	ভেজানো,	ভেজানো,	
proteemar,	প্রতিমার,	প্রতিমার,	
machhsoho,	মাশচো,	মাছসহ,	
bikretader,	বিক্রতেদের,	বিক্রেতাদের,	
information,	ইনফর্মেশন,	ইনফরমেশন,	
reno,	রণ,	রেনো,	
dharavahikbhabey,	ধারাভাভিকভাবে,	ধারাবাহিকভাবে,	
sarbhare,	সর্ভারে,	সার্ভারে,	
iraaner,	ইরানের,	ইরানের,	
faridi,	ফরীদি,	ফরিদী,	
bea,	বি,	বি,	
mogert,	মোগার্ট,	মোজার্ট,	
bisshasi,	বিশ্বসী,	বিশ্বাসী,	
dosheeder,	দশীদের,	দোষীদের,	
haze,	হাজে,	হেজ,	
daktikit,	দাকটিকিত,	ডাকটিকিট,	
conflict,	কনফালক্ট,	কনফ্লিক্ট,	
metroopalitana,	মেট্রোপলটাইন,	মেট্রোপলিটন,	
noteti,	নটটি,	নোটটি,	
chesha,	চেষা,	চেস,	
shefa,	সেফ,	শেফ,	
protul,	প্রতুল,	প্রতুল,	
bhittiteo,	ভিত্তিতেও,	ভিত্তিতেও,	
licensing,	লিসেনশিং,	লাইসেন্সিং,	
probeshan,	প্রবেশন,	প্রবেশন,	
japanira,	জাপানীরা,	জাপানিরা,	
deul,	ডিউল,	দেউল,	
bhaibonder,	ভৈবণ্দের,	ভাইবোনদের,	
khelafate,	খেলাফাতে,	খেলাফতে,	
asaborno,	অসবর্ন,	অসবর্ণ,	
pronoti,	প্রণতি,	প্রণতি,	
oncholo,	অঞ্চলো,	অঞ্চলও,	
machhti,	মাছটি,	মাছটি,	
nirapekkho,	নিরপেক্ষ,	নিরপেক্ষ,	
paner,	পানের,	পনের,	
vince,	ভাইনসস,	ভিন্স,	
arthanitike,	অর্থনীতিকে,	অর্থনীতিকে,	
pactar,	প্যাক্টর,	পাঁচটার,	
kalniir,	কাল্নীর,	কালনীর,	
uqeliptas,	উউকেলিপ্টস,	ইউক্যালিপ্টাস,	
jawhar,	জওহর,	জহর,	
sulke,	সুলকে,	শুল্কে,	
atyacharer,	অত্যচরের,	অত্যাচারের,	
cheettronnatyokar,	চিত্রনাট্যকার,	চিত্রনাট্যকার,	
arasie,	আরাসি,	আরসিএ,	
ganjona,	গঞ্জনা,	গঞ্জনা,	
godavari,	গদাবররই,	গোদাবরী,	
seekkharthirao,	শিক্ষার্থীরাও,	শিক্ষার্থীরাও,	
elakaati,	এলাকাতি,	এলাকাটি,	
kingsh,	কিংস,	কিংস,	
zuktorastreo,	যুক্তরাস্ট্রে,	যুক্তরাষ্ট্রেও,	
torup,	তরুপ,	ট্রুপ,	
noitik,	নৈতিক,	নৈতিক,	
bouddha,	বৌদ্ধ,	বৌদ্ধ,	
gujob,	গুজব,	গুজব,	
bon,	বোন,	বন,	
sumoo,	সুমো,	সুমো,	
dhonni,	ধননি,	ধন্যি,	
jahar,	জোহর,	জহর,	
engineers,	ইন্জিনার্স,	ইঞ্জিনিয়ার্স,	
aakkas,	আক্কশ,	আককাস,	
sqolastiq,	স্কলাস্টিক,	স্কলাস্টিক,	
prostototo,	প্রস্ততত,	প্রস্ত্তত,	
shenior,	সেনিওর,	সিনিয়র,	
ancient,	অ্যানিন্ট,	এনসিয়েন্ট,	
kheley,	খেলে,	খেলে,	
madhyastho,	মধ্যস্থ,	মধ্যস্থ,	
faltir,	ফল্টির,	ফলটির,	
addabaz,	আদ্দাবাজ,	আড্ডাবাজ,	
venuser,	ভেনাসের,	ভেনাসের,	
stylish,	স্টাইলস,	স্টাইলিশ,	
durgotsob,	দুর্গতস্ব,	দুর্গোৎসব,	
alimpiqa,	আলিম্পিক,	অলিম্পিক,	
shitei,	শিটেই,	শীতেই,	
touraat,	তৌরাত,	তওরাত,	
bosontokey,	বসন্তকে,	বসন্তকে,	
sharifpur,	শরীপুর,	শরিফপুর,	
ssumoo,	সুমু,	সুমো,	
maradeho,	মারদেশ,	মরদেহ,	
maile,	মইলে,	মাইলি,	
azimpur,	আজিমপুর,	আজিমপুর,	
teta,	তাতা,	টেটা,	
delibhara,	দেলিভার,	ডেলিভার,	
bharma,	ভর্ম,	ভার্মা,	
sangasthatir,	সংস্থটির,	সংস্থাটির,	
asabhyaa,	অসভ্য,	অসভ্য,	
kredit,	ক্রেডিট,	ক্রেডিট,	
naajii,	নাজী,	নাত্সি,	
mast,	মোস্ট,	মাস্ত,	
daul,	ডাউল,	দেউল,	
sanghar,	সংঘর,	সংহার,	
mittrota,	মিত্রতা,	মিত্রতা,	
babilon,	বািবলীন,	ব্যাবিলন,	
fokser,	ফক্সের,	ফক্সের,	
miraclee,	মিরাকল,	মিরাকেল,	
niketon,	নিকেটন,	নিকেতন,	
adhyatmikatar,	আধ্যাতিকতার,	আধ্যাত্মিকতার,	
arop,	অরোপ,	আরোপ,	
aembed,	আইমবেদ,	এম্বেড,	
sarano,	সরাো,	সরানো,	
male,	মোল,	মালে,	
galpokar,	গল্পকার,	গল্পকার,	
jhonkar,	ঝংকার,	ঝঙ্কার,	
choson,	চোষণ,	চোষণ,	
aparogata,	অপরোগত,	অপারগতা,	
sikh,	শিখ,	শিখ,	
horas,	হরাস,	হোরাস,	
sosoa,	সসা,	শশা,	
sofy,	সফি,	সোফি,	
dharabahikbhabey,	ধারাভাবিকভাবে,	ধারাবাহিকভাবে,	
bibade,	বিবাদে,	বিবাদে,	
oncholgulir,	অঞ্চলগুলির,	অঞ্চলগুলির,	
bhangley,	ভাঙলে,	ভাঙলে,	
pyore,	পিরও,	পিওর,	
bisheshshyo,	বিশেষ্ব,	বিশেষ্য,	
qyandi,	ক্যান্ডি,	ক্যান্ডি,	
bissashe,	বিশ্বসে,	বিশ্বাসে,	
shaahaab,	সাহাব,	সাহাব,	
balokarok,	বালোকারক,	বলকারক,	
jolaatanko,	জলাতাঙ্ক,	জলাতঙ্ক,	
jammu,	জমমু,	জম্মু,	
sooter,	সুটের,	শ্যুটার,	
akkaash,	আক্কশ,	আককাস,	
baikalya,	বৈকল্য,	বৈকল্য,	
cholochchitrei,	চলচিত্রেই,	চলচ্চিত্রেই,	
palteche,	পলেটেে,	পাল্টেছে,	
harees,	হারিস,	হ্যারিস,	
vagini,	ভগিনী,	ভগিনী,	
akmat,	একমত,	একমত,	
cilahaati,	চিলাহাটি,	চিলাহাটি,	
thakani,	ঠাকানি,	থাকেনি,	
samosto,	সমস্ত,	সমস্ত,	
ekjoge,	একজোগে,	একযোগে,	
kinsha,	কিংসা,	কিংস,	
pluse,	প্লুস,	প্লাসে,	
ssumita,	সুমিত,	সুমিতা,	
futanto,	ফুটানটো,	ফুটন্ত,	
vittiteo,	ভিত্তিতেও,	ভিত্তিতেও,	
mehonoti,	মেহনটি,	মেহনতি,	
sikarder,	সিকারদের,	শিকারদের,	
bibadey,	বিবাদে,	বিবাদে,	
charban,	চা্বন,	চর্বন,	
nobom,	নবম,	নবম,	
brindabane,	ব্রিন্ববানে,	বৃন্দাবনে,	
jatinkey,	যাতিনকে,	যতীনকে,	
jonesh,	জনস,	জোন্স,	
bhramaner,	ভ্রমণের,	ভ্রমণের,	
haphej,	হাফেজ,	হাফেয,	
oshtader,	অস্তাদের,	ওস্তাদের,	
kormoke,	কর্মকে,	কর্মকে,	
bhadaqa,	ভাদাকা,	ভদকা,	
bahyo,	বহ্য,	বাহ্য,	
ancholtikey,	আঞ্চলতিকে,	অঞ্চলটিকে,	
jandrel,	জন্ড্রেল,	জাঁদরেল,	
bunat,	বুনত,	বুনট,	
gayichhey,	গৈবিছে,	গাইছে,	
mitrader,	মিত্রদদের,	মিত্রদের,	
suparichiti,	সুপারিচিতি,	সুপরিচিতি,	
barakpur,	ব্যারাকপুর,	বারাকপুর,	
chhatogolper,	ছোটোগল্রের,	ছোটগল্পের,	
shkora,	স্কোর,	স্কোর,	
phastara,	ফাস্টার,	ফস্টার,	
heenna,	হিনানা,	হেনা,	
daaloo,	দালু,	ডালু,	
sikkharthirao,	শিক্ষার্থীরাও,	শিক্ষার্থীরাও,	
inasiyinta,	ইনসিয়েন্ট,	এনসিয়েন্ট,	
ramjaner,	রমজানের,	রমযানের,	
mascat,	মাসকাট,	মাস্কাট,	
kata,	কাট,	কোটা,	
tigers,	টিগার্স,	টাইগার্স,	
chesa,	চেষ,	চেস,	
projanankal,	প্রজননক্ল,	প্রজননকাল,	
proshtot,	প্রস্তত,	প্রস্ত্তত,	
raktaksharaner,	রক্তক্ষরণের,	রক্তক্ষরণের,	
agoora,	অগোরা,	আগোরা,	
gazee,	গাজী,	গেজ,	
kaathhmaandute,	কাথ্মনিদুতে,	কাঠমান্ডুতে,	
tateo,	ততেও,	তাতেও,	
natsi,	নাৎসী,	নাত্সি,	
hooldim,	হুলজিং,	হোল্ডিং,	
deefinition,	ডিফিনিশন,	ডেফিনেশন,	
prottokhobhabe,	প্রত্যকভাবে,	প্রত্যক্ষভাবে,	
byaaran,	ব্যারণ,	ব্যারন,	
langhan,	লঙ্ঘন,	লংঘন,	
sajano,	সাজান,	সাজানো,	
addhattik,	আধ্যাত্বিক,	আধ্যাত্মিক,	
basaake,	বসাকে,	বাসাকে,	
melborner,	মেলবর্নের,	মেলবোর্নের,	
geeja,	গেজ,	গেজ,	
score,	স্করে,	স্কোর,	
bedey,	বেদে,	বেদে,	
pratimar,	প্রতিমার,	প্রতিমার,	
zonsa,	জনসা,	জোন্স,	
jeess,	জিস,	জেস,	
machsoho,	মাশস,	মাছসহ,	
tuso,	টুস,	তুসো,	
heena,	হেনা,	হেনা,	
bhowanipur,	ভবানীপুর,	ভবানীপুর,	
udichi,	উদিচিছি,	উদীচী,	
beam,	বিম,	বিম,	
dokangoolote,	দককাগুলোতে,	দোকানগুলোতে,	
ponjeekaar,	পঞ্জিকার,	পঞ্জিকার,	
otyachari,	অত্যাচারী,	অত্যাচারী,	
highcommissionay,	হাইকমিশনের,	হাইকমিশনে,	
aksathei,	একসাথেই,	একসাথেই,	
beeseshyer,	বিশেষের,	বিশেষ্যের,	
mitrata,	মিত্রতা,	মিত্রতা,	
bhromonkale,	ভ্রমণকালে,	ভ্রমণকালে,	
shaatjoner,	সাতজনের,	সাতজনের,	
rajatta,	রাজত্বা,	রাজত্ব,	
noitikatavodh,	নানিতারভোধ,	নৈতিকতাবোধ,	
chess,	চেজ,	চেস,	
digrike,	ডিগ্রীকে,	ডিগ্রিকে,	
prakalpao,	প্রকল্পা,	প্রকল্পও,	
shhooter,	শুটের,	শ্যুটার,	
osommotite,	অসম্মিতে,	অসম্মতি,	
jank,	জাঁক,	জাঁক,	
byaboharkareederke,	ব্যবহারকারীদেরকে,	ব্যবহারকারীদেরকে,	
danob,	দানব,	দানব,	
obhidhanik,	আভিধানিক,	অভিধানিক,	
mitro,	মিত্রো,	মিত্র,	
feemalee,	ফেমলি,	ফিমেল,	
palestinea,	পেলস্টিনিয়া,	প্যালেস্টাইনে,	
hazat,	হজাত,	হজত,	
abadamaner,	আবদামানের,	অবদমনের,	
labonaaktotaar,	লবনাক্ততা,	লবণাক্ততার,	
directorate,	ডিরের্টটের,	ডিরেক্টরেট,	
futanta,	ফুটানট,	ফুটন্ত,	
proshikkhone,	প্রশিক্ষনে,	প্রশিক্ষণে,	
biswashwo,	বিশ্বাস্ব,	বিশ্বাসও,	
sanaktakaran,	সনাক্তকরণ,	সনাক্তকরণ,	
karka,	করকক,	কার্ক,	
messanger,	মেসাঙ্গের,	মেসেঞ্জার,	
dweepgoolotey,	দীব্গগুলোতে,	দ্বীপগুলোতে,	
saarbhaarer,	সররভারের,	সার্ভারের,	
anisha,	অনিশা,	আনিস,	
horidbar,	হরিদবার,	হরিদ্বার,	
poster,	পোস্টার,	পোস্টের,	
yak,	যাযাক,	ইয়াক,	
giitikobita,	গীতিকাবিত,	গীতিকবিতা,	
merjito,	মের্জিত,	মার্জিত,	
shasankarta,	শংসকর্তা,	শাসনকর্তা,	
anan,	আনন,	আনান,	
vor,	ভোর,	ভর,	
orthonitike,	অর্থনীতিকে,	অর্থনীতিকে,	
vivek,	ভিভেক,	বিবেক,	
motke,	মোটকে,	মতকে,	
pounchute,	পৌঁছুতে,	পৌঁছুতে,	
elaakasoho,	এলাকাসহ,	এলাকাসহ,	
