ahalya,	অহল্য,	অহল্যা,	
tofaat,	তফাট,	তফাৎ,	
isahak,	ইসহাক,	ইসাহাক,	
ancholeo,	আঞ্চলেও,	অঞ্চলেও,	
songrahok,	সংগ্রহক,	সংগ্রাহক,	
turqamena,	তুর্কমেন,	তুর্কমেন,	
pituni,	পিতুনী,	পিটুনি,	
turkider,	তুর্কীদের,	তুর্কিদের,	
gasthii,	গ্যাস্থি,	গোষ্ঠীই,	
osamonjoshyopurno,	অসমাস্যপূর্ণ,	অসামঞ্জস্যপূর্ণ,	
ewer,	ইভ়ার,	এভার,	
bouddher,	বৌদ্ধের,	বৌদ্ধের,	
vince,	ভিঞ্চে,	ভিন্স,	
cantan,	কান্টন,	ক্যান্টন,	
projononkal,	প্রজনকালীল,	প্রজননকাল,	
hunayn,	হাউন,	হুনাইন,	
qanasarabheshana,	কাসারভাবেশন,	কনসারভেশন,	
hydra,	হাইড্র,	হাইড্রা,	
niutrino,	নিউট্রিণো,	নিউট্রিনো,	
dhos,	ধোষ,	ধস,	
reflex,	রেফেলেক,	রিফ্লেক্স,	
henna,	হেন্না,	হেনা,	
gezetted,	গেজেট্টেড,	গেজেটেড,	
sahosikotar,	সহশিকতার,	সাহসিকতার,	
amar,	আমার,	আমর,	
plainti,	প্লাইন্টি,	প্লেনটি,	
sunagorik,	সুনগগরিক,	সুনাগরিক,	
mane,	মানে,	মানে,	
shakkhatkarer,	সাক্ষাৎকারের,	সাক্ষাৎকারের,	
varshon,	ভার্সন,	ভারশন,	
phising,	ফিইসিং,	ফিসিং,	
bhenicer,	ভেনিসের,	ভেনিসের,	
akpaase,	একপাশে,	একপাশে,	
carlas,	কার্লস,	কার্লোস,	
ritesh,	রাইটস,	রিতেশ,	
mitrata,	মিত্রট,	মিত্রতা,	
dayra,	দৈরা,	ডেরা,	
beshirbhageyi,	বেশীরভাগেই,	বেশিরভাগেই,	
pingnaa,	পিঙ্না,	পিংনা,	
rikondison,	রিকন্ডিশন,	রিকন্ডিশন,	
digreeo,	ডিগ্রীও,	ডিগ্রিও,	
oindreela,	ঐন্ড্রেল,	ঐন্দ্রিলা,	
jeevjontu,	জীভন্তু,	জীবজন্তু,	
ganosachetanata,	গণসাচনাতা,	গণসচেতনতা,	
filipiner,	ফিলিপিনের,	ফিলিপাইনের,	
kharaar,	খারার,	খরার,	
greep,	গ্রীপ,	গ্রিপ,	
foloshruti,	ফলস্রুতি,	ফলশ্রুতি,	
kolahol,	কলাহল,	কোলাহল,	
akshoti,	একশতি,	একশোটি,	
skirt,	স্কীট,	স্কার্ট,	
shtena,	স্টেন,	স্টেন,	
ghoorchen,	ঘুরছেন,	ঘুরেছেন,	
ostheesandhi,	অস্থিসমধধী,	অস্থিসন্ধি,	
ottacharito,	অত্মচারিত,	অত্যাচারিত,	
shrabastee,	শ্রবস্তি,	শ্রাবস্তী,	
aaminaar,	আমিনার,	আমিনার,	
mukherji,	মুখার্জি,	মুখার্জী,	
instant,	ইনস্টান্ট,	ইনস্ট্যান্ট,	
shaakaar,	শাকার,	সাকার,	
bisshaskey,	বিশ্বাসকে,	বিশ্বাসকে,	
deilee,	দিলি,	ডেইলি,	
muhurto,	মূহূর্ত,	মুহুর্ত,	
udbodhony,	উদ্বধনী,	উদ্বোধনী,	
shatokei,	শতকেই,	শতকেই,	
ghatke,	ঘটকে,	ঘাটকে,	
cholocchitroke,	চলচিত্রাকে,	চলচ্চিত্রকে,	
raha,	রহ,	রঃ,	
zibonnogor,	জীবনগর,	জীবননগর,	
ekla,	একলা,	একলা,	
daaloo,	দালও,	ডালু,	
jyestthotar,	যেস্থতাতার,	জ্যেষ্ঠতার,	
koner,	কোণের,	কনের,	
steeit,	স্টেইট,	স্টেইট,	
dokaan,	ডোকান,	দোকান,	
parswer,	পারস্বের,	পার্শ্বে,	
varotey,	ভারতে,	ভারতে,	
baman,	বামান,	বামন,	
alimpiqa,	আলিম্পিকা,	অলিম্পিক,	
botgach,	বটগগ,	বটগাছ,	
ancholsaha,	অঞ্চলসহ,	অঞ্চলসহ,	
ganonanatto,	গণনাত্য,	গণনাট্য,	
upobaashee,	উপবাসী,	উপবাসী,	
toroonke,	তরুণকে,	তরুণকে,	
baghdad,	বাঘদদ,	বাগদাদ,	
udvabaney,	উদ্ববাে,	উদ্ভাবনে,	
saseeja,	সাশীজা,	সসেজ,	
koreempur,	করিমপুর,	করিমপুর,	
panchasjon,	পঞ্চাশন,	পঞ্চাশজন,	
totokson,	ততক্ষণ,	ততক্ষন,	
songosthatike,	সংস্থাটিকে,	সংস্থাটিকে,	
chhilona,	ছিলনা,	ছিলনা,	
akkaas,	এক্াশ,	আককাস,	
booth,	বুথ,	বুথ,	
sanbadmadhyame,	সংবাধ্যমে,	সংবাদমাধ্যমে,	
shhikara,	শিকারা,	শিকার,	
suresh,	সুরেশ,	সুরেশ,	
tyap,	ট্যাপ,	ট্যাপ,	
vagni,	ভাগনী,	ভগ্নী,	
durgondher,	দুর্গন্ধের,	দুর্গন্ধের,	
mag,	মাগ,	এমএজি,	
laaiseens,	লাইসেন্স,	লাইসেন্স,	
nirgun,	নির্গুণ,	নির্গুণ,	
langhaner,	লঙ্ঘনের,	লংঘনের,	
bhyaatikaner,	ভ্যাটিকাণের,	ভ্যাটিকানের,	
gandhariir,	গান্ধারীর,	গান্ধারীর,	
niranjon,	নিরঞ্জন,	নিরঞ্জন,	
karecho,	করেছ,	করেছ,	
assastikar,	অস্বস্তিকার,	অস্বস্তিকর,	
noditike,	নদীতিকে,	নদীটিকে,	
kuhelika,	কুহলিকা,	কুহেলিকা,	
abhisongson,	অভিষণ্,	অভিশংসন,	
jatiinke,	জাতিনকে,	যতীনকে,	
patjat,	পাটজাত,	পাটজাত,	
shringa,	শ্রীঙ্গ,	শৃঙ্গ,	
niketan,	নিকেতন,	নিকেতন,	
obharabhiu,	অভারভূ,	ওভারভিউ,	
osoborno,	অসবর্ন,	অসবর্ণ,	
nortoki,	নর্তকী,	নর্তকী,	
swarther,	স্বর্থের,	স্বার্থের,	
oshthad,	অষ্টাদ,	ওস্তাদ,	
probeshon,	প্রবেশণ,	প্রবেশন,	
meghnabodh,	মেঘনবব,	মেঘনাদবধ,	
rooby,	রুবি,	রুবি,	
shektor,	সেবটটর,	সেক্টর,	
mosjidkey,	মস্জিদকে,	মসজিদকে,	
phikshim,	ফিক্সিং,	ফিক্সিং,	
harza,	হর্জ,	হার্জ,	
venush,	ভেনুস,	ভেনাস,	
bhalobass,	ভালবাস,	ভালোবাসা,	
chalachchitrai,	চলচিত্রে,	চলচ্চিত্রই,	
treebhuj,	ত্রিভুজ,	ত্রিভূজ,	
romantika,	রোমান্তিক,	রোমান্টিক,	
mandondo,	মন্দন্ড,	মানদণ্ড,	
noiteekvabe,	নৈতিকভাবে,	নৈতিকভাবে,	
bahya,	বহ্য,	বাহ্য,	
bimaataa,	বিমাটা,	বিমাতা,	
oteeteo,	অতিতেও,	অতীতেও,	
seebiai,	সিবিই,	সিবিআই,	
tthela,	ঠেলা,	ঠেলা,	
benj,	বেঞ্জ,	বেঞ্জ,	
janogananar,	জনগণনার,	জনগণনার,	
durgatir,	দুর্গটির,	দুর্গটির,	
blagaarara,	ব্লাগার,	ব্লগাররা,	
kaloniir,	কালনীর,	কালনীর,	
harisher,	হরিসের,	হ্যারিসের,	
daja,	দাজ,	ডোজো,	
bhageroi,	ভাগেরই,	ভাগেরই,	
bosstonte,	বস্তনটে,	বসন্তে,	
srichoitonnodeb,	শ্রীচৈতন্ববে,	শ্রীচৈতন্যদেব,	
hiushtoner,	হিউস্টোনের,	হিউস্টনের,	
shanta,	শান্ত,	সান্তা,	
sthapanagulo,	স্থাপানগুলো,	স্থাপনাগুলো,	
nirapekkho,	নিরপেক্ষ,	নিরপেক্ষ,	
eshkol,	এসকল,	এসকল,	
ummul,	উম্মুল,	উম্মুল,	
mojuter,	মজুতের,	মজুতের,	
avereste,	অভারেস্টে,	এভারেস্টে,	
uponeeshod,	উপনিষদ,	উপনিষদ,	
vaibonera,	বাইবনেরা,	ভাইবোনেরা,	
orhan,	অর্ান,	ওরহান,	
puroheetra,	পুরহিত্র,	পুরোহিতরা,	
shaarther,	সাবার্থের,	স্বার্থের,	
krisenter,	ক্রিসেন্টের,	ক্রিসেন্টের,	
grooth,	গ্রুথ,	গ্রোথ,	
manhputo,	মাহপুট,	মনঃপুত,	
bolechiley,	বলেছিলে,	বলেছিলে,	
deepei,	দিপেই,	দ্বীপেই,	
soorsa,	সুর্স,	সোর্স,	
reliance,	রিলিয়েন্স,	রিলায়েন্স,	
shukranu,	শুক্রাণু,	শুক্রানু,	
primo,	প্রিমো,	প্রিমো,	
daawn,	ডাউন,	ডাউন,	
grambaaseer,	গ্রামবাসীর,	গ্রামবাসীর,	
dephinision,	ডেফিনিশন,	ডেফিনেশন,	
code,	কোড,	কোড,	
dighol,	দিঘল,	দীঘল,	
shniper,	স্নিপের,	স্নাইপার,	
soceitykey,	সসৈতিকে,	সোসাইটিকে,	
abheedhaaner,	অভিধানের,	অভিধানের,	
yuroo,	ইউরু,	ইউরো,	
michilti,	মিইলিটটি,	মিছিলটি,	
benis,	বেইনিস,	ভেনিস,	
oxfordey,	অক্সফার্ডে,	অক্সফোর্ডে,	
donat,	দোনত,	ডোনাট,	
confliqt,	কনফলি্ট,	কনফ্লিক্ট,	
gonoporeebohon,	গণপরিণ,	গণপরিবহন,	
sahocorrzo,	সহচরর্য,	সাহচর্য,	
tata,	তত,	তাতা,	
treend,	ট্রেন্ড,	ট্রেন্ড,	
shnaipara,	স্নাইপার,	স্নাইপার,	
chhai,	ছাই,	ছাই,	
swalpo,	স্বল্প,	স্বল্প,	
anchalsamuho,	অঞ্চলসমূহ,	অঞ্চলসমূহ,	
farn,	ফার্ন,	ফার্ন,	
temanbhabe,	তামনভাবে,	তেমনভাবে,	
elakashaho,	এলাকাশহ,	এলাকাসহ,	
ezenda,	এজেন্ড,	এজেন্ডা,	
daakten,	ডাকতেন,	ডাকতেন,	
nesons,	নেশন্স,	নেশনস,	
janosangjog,	জনসঙ্গাজ,	জনসংযোগ,	
maase,	মাসে,	মাসে,	
objarvar,	অবজার্ভার,	অবজার্ভার,	
karmokerer,	কর্মকের,	কর্মকারের,	
karmasansthaner,	কর্মসংখ্যানের,	কর্মসংস্থানের,	
babilon,	বাবলীন,	ব্যাবিলন,	
quari,	কুয়ারি,	কোয়েরি,	
gosti,	গোসটি,	গোষ্ঠী,	
restuarant,	রেস্টোরেঁ্ট,	রেষ্টুরেন্ট,	
alankaron,	অলঙ্করণ,	অলঙ্করণ,	
fanser,	ফাঁসের,	ফাঁসের,	
sharthe,	সাবের,	স্বার্থে,	
maithili,	মাথিলি,	মৈথিলি,	
chesha,	চেষা,	চেস,	
eporjonto,	এপর্যন্ত,	এপর্যন্ত,	
shangsthati,	সংস্থটি,	সংস্থাটি,	
sahochorjo,	সহচর্য,	সাহচর্য,	
chomke,	চমককে,	চমকে,	
joonsa,	জুনসা,	জোন্স,	
parse,	পার্সে,	পার্শ্বে,	
ibhaner,	ইভাের,	ইভানের,	
shkolastic,	স্কলাক্সিক,	স্কলাস্টিক,	
jyaishtha,	জ্যস্থ,	জ্যৈষ্ঠ,	
nagorikke,	নাগরিকে,	নাগরিককে,	
jaak,	যাক,	জাঁক,	
laishenshe,	লাইসেন্সে,	লাইসেন্স,	
ancholti,	আঞ্চলটি,	অঞ্চলটি,	
arbit,	আর্বিত,	অরবিট,	
aasar,	আসার,	আসর,	
safi,	সাফি,	সাফি,	
mojlis,	মজলিস,	মজলিশ,	
reesideensa,	রেসিডেন্স,	রেসিডেন্স,	
ateetkaale,	অতীতকালে,	অতীতকালে,	
bhugole,	ভুগলে,	ভূগোলে,	
juktorastreo,	যুক্তরাস্ট্রে,	যুক্তরাষ্ট্রেও,	
uposthit,	উপস্থিত,	উপস্থিত,	
sansthatike,	সংস্থতিকে,	সংস্থাটিকে,	
phake,	ফেযাকে,	ফাকে,	
gosthiti,	গোস্থিটি,	গোষ্ঠীটি,	
aieesha,	আইসেস,	আইএএস,	
satarkata,	সাতকরত,	সতর্কতা,	
bhezano,	ভেজানো,	ভেজানো,	
oichchhik,	ঐচ্ছিক,	ঐচ্ছিক,	
tourisht,	টৌরিস্ট,	টুরিস্ট,	
karloosa,	কার্লস,	কার্লোস,	
prakalpotike,	প্রকাপটিকে,	প্রকল্পটিকে,	
juddhahoto,	যুদ্ধহত,	যুদ্ধাহত,	
neutrino,	নিউট্রিণো,	নিউট্রিনো,	
bhogiroth,	ভোগীরথ,	ভগীরথ,	
swarnali,	স্বর্ণালী,	স্বর্ণালী,	
sajja,	সাজ্য,	সজ্জা,	
obhaarbhiu,	অভরর্ভী,	ওভারভিউ,	
lampot,	লম্পট,	লম্পট,	
bamni,	বামনী,	বামনী,	
daale,	দালে,	ডালে,	
pack,	পাঁক,	প্ল্যাক,	
bosontoke,	বসন্তকে,	বসন্তকে,	
seating,	সিটিং,	সিটিং,	
notey,	নোটে,	নোটে,	
maudelke,	মডউলেককে,	মডেলকে,	
silvar,	সিলভার,	সিলভার,	
upobasher,	উপবাসের,	উপবাসের,	
doonata,	দোনতা,	ডোনাট,	
enjineers,	এঞ্জিনার্স,	ইঞ্জিনিয়ার্স,	
sothikota,	সতীকতা,	সঠিকতা,	
kommppito,	কম্পিত,	কম্পিত,	
konar,	কোণার,	কণার,	
whole,	ওহলে,	হোল,	
godamjato,	গদাজ্যত,	গুদামজাত,	
celinar,	সেলিনার,	সেলিনার,	
baarakpur,	বারাকপুর,	বারাকপুর,	
dolu,	দলবু,	ডলু,	
obhigomon,	অভিগমন,	অভিগমন,	
chomski,	চমমকি,	চমস্কি,	
nathivookto,	নথিভুক্ত,	নথিভুক্ত,	
valobasar,	ভালবাসার,	ভালোবাসার,	
bhuushito,	ভূষিত,	ভূষিত,	
thanvee,	থানভী,	থানভী,	
engineersh,	ইঙ্গিনার্স,	ইঞ্জিনিয়ার্স,	
mosjidti,	মসিদটি,	মসজিদটি,	
rajtantrake,	রাজতন্ত্রকে,	রাজতন্ত্রকে,	
skarta,	স্কার্ট,	স্কার্ট,	
yuq,	ইউক,	ইয়াক,	
dovaar,	দোভার,	ডোভার,	
aboshorer,	অবসরের,	অবসরের,	
daakticketer,	ডাক্তিকেটের,	ডাকটিকিটের,	
kartana,	কর্তনা,	করতনা,	
choopi,	চুপি,	চুপি,	
qanaphliqta,	কনফলিক্ট,	কনফ্লিক্ট,	
pushteer,	পুষ্টির,	পুষ্টির,	
carpeter,	কার্পেটের,	কার্পেটের,	
phokskon,	ফকসন,	ফক্সকন,	
bipojjanak,	বিপঞজনক,	বিপজ্জনক,	
lajiqa,	লাজিক,	লজিক,	
teteyer,	টিটের,	টেটের,	
leta,	লাইট,	ল্যাটা,	
falah,	ফলল,	ফালাহ,	
jacksoner,	জাক্সনের,	জ্যাকসনের,	
moithili,	মথথিলী,	মৈথিলি,	
ovarviu,	অভার্ভি,	ওভারভিউ,	
dharabahikvabey,	ধারাাহিকভাবে,	ধারাবাহিকটি,	
ghotleo,	ঘটলেও,	ঘটলেও,	
karmasansthan,	কর্মসংখ্যান,	কর্মসংস্থান,	
segular,	সেগুলার,	সেগুলোর,	
sayeed,	সা়েদ,	সাইদ,	
dhhaloor,	ঢালুর,	ঢালুর,	
daakticket,	ডাক্তিকেট,	ডাকটিকিট,	
upobaaser,	উপবাসের,	উপবাসের,	
hood,	হোড,	হুড,	
dembakriti,	দেম্বকৃতি,	ডিম্বাকৃতি,	
jacqson,	জকসন,	জ্যাকসন,	
ssahocorzo,	সহকর্চ,	সাহচর্য,	
thailandsoho,	থাইল্যান্সহ,	থাইল্যান্ডসহ,	
domonmoolok,	দমন্মলূক,	দমনমূলক,	
chirakumari,	চিরাকুমারী,	চিরকুমারী,	
byabaharkareederke,	ব্যবহারকেরীদে,	ব্যবহারকারীদেরকে,	
chhutir,	ছুটির,	ছুটির,	
somoodrotote,	সমুদ্রতে,	সমুদ্রতটে,	
lyand,	ল্যান্ড,	ল্যান্ড,	
ul,	উল,	উল,	
brail,	ব্রেইল,	ব্রেইল,	
skalastika,	স্কললাস্টিক,	স্কলাস্টিক,	
oojbekistaner,	উজবেবিস্তানের,	উজবেকিস্তানের,	
neerbachoker,	নির্বাচকের,	নির্বাচকের,	
praima,	প্রাইম,	প্রাইম,	
cholochchitratike,	চলচ্চিত্রকীকে,	চলচ্চিত্রটিকে,	
monjushri,	মন্জুরী,	মঞ্জুশ্রী,	
kk,	কিক,	কেকে,	
yukeliptas,	ইউকেলপ্লাস্টস,	ইউক্যালিপ্টাস,	
bipradas,	বিপ্রদাস,	বিপ্রদাস,	
niqela,	নিকেলা,	নিকেল,	
tokei,	তোকেই,	ত্বকেই,	
shpreadshheet,	স্প্রেসেটিস,	স্প্রেডশীট,	
ganokantho,	গণকণ্ঠ,	গণকণ্ঠ,	
fiksa,	ফিক্স,	ফিক্স,	
bu,	বু,	বু,	
up,	উপি,	আপ,	
bashite,	বাঁসিতে,	বাঁশিতে,	
anucheder,	অনুচেদের,	অনুচ্ছেদের,	
darzi,	দার্যি,	দরজি,	
times,	টাইমস,	টাইমস্,	
janomukhee,	জনমুখী,	জনমুখী,	
bedey,	বেদে,	বেদে,	
tuneta,	তুনেট,	টুনাইট,	
jeshh,	জেস,	জেস,	
tiunara,	টিউনার,	টিউনার,	
rinatmak,	ঋণাত্মক,	ঋনাত্মক,	
dokaangulotey,	দোকাঙ্গালাতে,	দোকানগুলোতে,	
shithilota,	সিথিলতা,	শিথিলতা,	
baju,	বাজু,	বাজু,	
mekon,	মেকন,	মেকং,	
siniyara,	সিনিয়ার,	সিনিয়র,	
heeja,	হেজ,	হেজ,	
engrezer,	ইংরেজের,	ইংরেজের,	
chomoski,	চমষ্কী,	চমস্কি,	
cholochchitraeei,	চলচ্ত্রীই,	চলচ্চিত্রেই,	
akmot,	একমত,	একমত,	
heerani,	হেরনি,	হিরানি,	
oedipus,	ওডিপাস,	ইডিপাস,	
jeerusaleem,	জিরুশালিম,	জেরুসালেম,	
ovijojan,	অভিযোজন,	অভিযোজন,	
metroopalitana,	মেট্রোপলিশনা,	মেট্রোপলিটন,	
chirokoomari,	চিরকরমীর,	চিরকুমারী,	
musalmanera,	মুসল্্যানার,	মুসলমানেরা,	
rajbondir,	রাজবনদীর,	রাজবন্দীর,	
samajeri,	সমাজেরী,	সমাজেরই,	
kindama,	কিনদমা,	কিংডম,	
amanisha,	অমনিষ,	অমানিশা,	
sbaajaner,	স্বজনের,	স্বজনের,	
shansthaner,	সংস্থানের,	সংস্থানের,	
mitro,	মিত্রো,	মিত্রও,	
monjurul,	মঞ্জুরুল,	মনজুরুল,	
mesenjarer,	মেশেঞ্জারের,	মেসেঞ্জারের,	
sojja,	সজ্যা,	সজ্জা,	
land,	লাণ্ড,	ল্যান্ড,	
poderthobid,	পদার্থবিদ,	পদার্থবিদ,	
monoputo,	মনপপুত,	মনঃপুত,	
dwibidh,	দ্বিবিধ,	দ্বিবিধ,	
marufer,	মারুফের,	মারুফের,	
xpresion,	এক্সপ্রেশন,	এক্সপ্রেশন,	
abul,	আবুল,	আবুল,	
sumee,	সুমি,	সুমি,	
suporichito,	সুপরিচিত,	সুপরিচিত,	
sachetanotamulok,	সাচেতনামূলক,	সচেতনতামূলক,	
masto,	মস্ত,	মাস্ত,	
udbhaban,	উদ্ভবন,	উদ্ভাবন,	
mesenjjar,	মেসেঞ্জার,	মেসেঞ্জার,	
fokshkon,	ফক্ষণ,	ফক্সকন,	
siima,	সিইম,	সীমা,	
shilbar,	শিলবার,	সিলভার,	
shahanara,	সাহাারা,	শাহানারা,	
deil,	ডিলে,	ডেইল,	
dhoorer,	ধরের,	ধরের,	
firoz,	ফিরজ,	ফিরোজ,	
abheedhaaneec,	অভিধানিক,	অভিধানিক,	
tala,	তল,	তালা,	
besooro,	বেশরু,	বেসুর,	
ghurchen,	ঘুরছেন,	ঘুরেছেন,	
beekaargrasto,	বিকাররক্তস্ত,	বিকারগ্রস্ত,	
loukeek,	লৌকিক,	লৌকিক,	
nadnadir,	নদ্মাদির,	নদনদীর,	
saphalyar,	সাফলার,	সাফল্যের,	
beeru,	বিরু,	বীরু,	
totokhon,	ততক্ষণ,	ততক্ষন,	
loha,	লোহ,	লোহা,	
cholochchitragulor,	চলচ্ছিত্রগুলোর,	চলচ্চিত্রগুলোর,	
dharatir,	ধরাটির,	ধারাটির,	
byaasalt,	ব্যাসল্ট,	ব্যাসল্ট,	
samashtigata,	সমস্তিগত,	সমষ্টিগত,	
kaushalgata,	কৌশল্গট,	কৌশলগত,	
maladobha,	মালদ,	মলদোভা,	
popeke,	পপেকে,	পোপকে,	
jibonnogor,	জীবনগর,	জীবননগর,	
somraatra,	সম্রত্র,	সম্রাটরা,	
kamla,	কমলল,	কামলা,	
spashtatai,	স্পাস্তাটি,	স্পষ্টতই,	
chuti,	চুটি,	ছুটি,	
lambaate,	লম্বাতে,	লম্বাটে,	
stonehenje,	স্টনেহেজ,	স্টোনহেঞ্জ,	
digreeke,	দিগ্রীকে,	ডিগ্রিকে,	
dipon,	দিপন,	দীপন,	
olimpicer,	অলিম্পিসের,	অলিম্পিকের,	
arop,	অরপ,	আরোপ,	
meyiler,	মেইলের,	মেইলের,	
chondrimaa,	চন্ড্রিমা,	চন্দ্রিমা,	
juktorastrey,	যুক্তরাস্ট্রে,	যুক্তরাষ্ট্রে,	
nathivukta,	নথিভুক্ত,	নথিভুক্ত,	
tarbiner,	তারবীনের,	টারবাইনের,	
shringgo,	শ্রীঙ্গ,	শৃঙ্গ,	
gripe,	গ্রীপে,	গ্রিপ,	
sabyastha,	সব্যস্থ,	সাব্যস্থ,	
expose,	এক্সপেসে,	এক্সপোজ,	
koruna,	করুনা,	করুণা,	
orohan,	অরোহন,	ওরহান,	
touraat,	তৌরাট,	তওরাত,	
noiteekotar,	নৈতিকতার,	নৈতিকতার,	
tirmijii,	তিরমিজী,	তিরমিজি,	
nathibhukta,	নথিভুক্ত,	নথিভুক্ত,	
bhenus,	ভেইন,	ভেনাস,	
roshider,	রোশীদের,	রশিদের,	
dong,	ডঙ,	ডং,	
peterke,	পিটারকে,	পিটারকে,	
nischoy,	নিশ্চে,	নিশ্চয়,	
aashanka,	আশঙ্ক,	আশংকা,	
kaamla,	কামলা,	কামলা,	
hoteeltite,	হটিলটিতে,	হোটেলটিতে,	
pathanirdeshona,	পথনিদর্শনা,	পথনির্দেশনা,	
neelfamarir,	নীলফামীর,	নীলফামারীর,	
lyataa,	ল্যাট,	ল্যাটা,	
opohoronn,	অপহরণ,	অপহরন,	
choudhoorir,	চৌধুরির,	চৌধুরীর,	
aabahan,	আবহন,	আবাহন,	
mittrer,	মিত্রের,	মিত্রের,	
shashtra,	শাস্ট্র,	শাস্ত্র,	
idipasha,	আইডিপাস,	ইডিপাস,	
porizon,	পরিজন,	পরিজন,	
shqolastic,	স্কলাক্সিক,	স্কলাস্টিক,	
beca,	বেইক,	বেচা,	
shasankorta,	শাসনকর্ত,	শাসনকর্তা,	
mmesenjar,	মেসেঞ্জার,	মেসেঞ্জার,	
siddhanter,	সিদ্বন্তের,	সিদ্ধান্তের,	
nadigulo,	নাদীগুলো,	নদীগুলো,	
antarktikar,	অন্তর্তিকার,	অ্যান্টার্কটিকার,	
karim,	করিম,	করিম,	
ceramicer,	সেরামিসের,	সিরামিকের,	
gajee,	গাজী,	গেজ,	
byaboharkareer,	ব্যবহারককারীর,	ব্যবহারকারীর,	
biprodas,	বিপ্রদাস,	বিপ্রদাস,	
sommoteer,	সম্মটির,	সম্মতির,	
ponthar,	পোঁথার,	পন্থার,	
deepan,	দীপান,	দীপন,	
ponnee,	পন্যে,	পন্নী,	
keyboard,	কেইবোর্ড,	কীবোর্ড,	
padarthabid,	পদার্থবিদ,	পদার্থবিদ,	
qeyboard,	কেইবোর্ড,	কীবোর্ড,	
vogini,	ভোগিনী,	ভগিনী,	
sanbadmadhyamer,	সংবাধ্যমের,	সংবাদমাধ্যমের,	
chhathke,	ছাঠকে,	ছাতকে,	
dianes,	ডায়ান্স,	ডিএনএস,	
jotinke,	জতিনকে,	যতীনকে,	
noiteek,	নৈতিক,	নৈতিক,	
beshirbhagei,	বেশীরভাগেই,	বেশিরভাগেই,	
mozart,	মজার্ট,	মোজার্ট,	
eastar,	ইস্টার,	ইস্টার,	
ragkey,	রাগকে,	রাগকে,	
teemothee,	তিমথী,	টিমোথি,	
vange,	ভঙ্গে,	ভাঙ্গে,	
ponchasjon,	পঞ্চাশন,	পঞ্চাশজন,	
melborne,	মেলবর্নে,	মেলবোর্নে,	
khoka,	খোকা,	খোকা,	
dibug,	দিবুগ,	ডিবাগ,	
khambaa,	খাম্বা,	খাম্বা,	
bauger,	বাগের,	বাগের,	
meshenjar,	মেশেঞ্জার,	মেসেঞ্জার,	
chaka,	চাকো,	চাকা,	
prema,	প্রেম,	প্রাইম,	
granthei,	গ্রন্থেই,	গ্রন্থেই,	
dheke,	ঢেঁকে,	ঢেকে,	
remakri,	রেমাক্রি,	রেমাক্রী,	
nirikhe,	নিরিখে,	নিরিখ,	
boshoborti,	বসবর্তী,	বশবর্তী,	
shomrat,	সম্রত,	সম্রাট,	
nirbachokder,	নির্বাচকদের,	নির্বাচকদের,	
farider,	ফরীদের,	ফরিদের,	
ghesa,	ঘেস,	ঘেঁষা,	
porisromii,	পরিশ্রমী,	পরিশ্রমী,	
maaktume,	মাকতমে,	মাকতুম,	
agamaner,	আগমানের,	আগমনের,	
akkhar,	আক্ষর,	অক্ষর,	
eesosiyeetasa,	এসোসিয়েশ,	এসোসিয়েটস,	
kortona,	কর্তনা,	করতনা,	
