juktarashtrasaha,	যুক্তরাস্ট্রসহ,	যুক্তরাষ্ট্রসহ,	
bouddher,	বৌদ্ধের,	বৌদ্ধের,	
rabeta,	রবেটা,	রাবেতা,	
tottorat,	তত্তরত,	তওরাত,	
deebug,	দিবুগ,	ডিবাগ,	
bii,	বি,	বি,	
aashanka,	আশংকা,	আশংকা,	
brindabane,	বৃন্দাবনে,	বৃন্দাবনে,	
satjaner,	সৎজানের,	সাতজনের,	
abhidhaaner,	অভিধানের,	অভিধানের,	
naabyota,	নাব্যতা,	নাব্যতা,	
anano,	আনননো,	আনানো,	
aazeez,	আজিজ,	আজিজ,	
badaghat,	বাদাঘাত,	বাদাঘাট,	
uponeesoder,	উপনিষীদের,	উপনিষদের,	
parkin,	পারিকিন,	পার্কিং,	
bopoon,	বপুন,	বপন,	
anish,	অনীশ,	আনিস,	
niurolaji,	নিউরোলজি,	নিউরোলজি,	
muchi,	মুচি,	মুচি,	
elakaao,	এলাকাও,	এলাকাও,	
parbatmala,	পর্বতম্মালা,	পর্বতমালা,	
scoore,	স্কোর,	স্কোর,	
harz,	হার্জ,	হার্জ,	
maniktola,	মনিকতল,	মানিকতলা,	
drissogoolo,	দৃশ্যগুলো,	দৃশ্যগুলো,	
satarkakaree,	সত্তকারী,	সতর্ককারী,	
zommu,	জম্মু,	জম্মু,	
byabasthar,	ব্যবস্থার,	ব্যবস্থার,	
pathanatak,	পাঠানাটক,	পথনাটক,	
adhattikota,	আধ্যাত্যিকতা,	আধ্যাত্মিকতা,	
bolbo,	বলবো,	বলবো,	
nothibhukta,	নথিভুক্ত,	নথিভুক্ত,	
sangrahok,	সংগ্রহণক,	সংগ্রাহক,	
ewil,	এইল,	ইভিল,	
gotibegey,	গতিবেগে,	গতিবেগে,	
uparjoner,	উপারজনের,	উপার্জনের,	
kormozog,	কর্মযোগ,	কর্মযোগ,	
cheph,	চেফ,	শেফ,	
gonoporeebohon,	গণপরিবহণ,	গণপরিবহন,	
thime,	থিমে,	থিমে,	
manab,	মানব,	মানব,	
poorohitke,	পুরহীতকে,	পুরোহিতকে,	
dreeshtiheen,	দৃষ্টিহীন,	দৃষ্টিহীন,	
batsmaner,	বাযাসমানের,	ব্যাটসম্যানের,	
hepataitisa,	হেপোটেটিস,	হেপাটাইটিস,	
nirgamon,	নির্জামন,	নির্গমন,	
shkirt,	স্কার্ট,	স্কার্ট,	
site,	সিটে,	সিটে,	
ajim,	আজিম,	আজিম,	
parikshateo,	পরীক্ষাতেও,	পরীক্ষাতেও,	
hizriite,	হিজরিতে,	হিজরীতে,	
rezidence,	রেজিডেন্স,	রেসিডেন্স,	
seo,	সিও,	সেও,	
porikhar,	পরীক্ষার,	পরিখার,	
horinner,	হরিন্র,	হরিণের,	
aanis,	আনিস,	আনিস,	
moushumer,	মুসুমের,	মৌসুমের,	
muhamad,	মুহামাদ,	মুহাম্মদ,	
sikarer,	শিকারের,	শিকারের,	
chalchhe,	চালছে,	চলছে,	
shodhon,	সোধন,	শোধন,	
swajaner,	স্বজনের,	স্বজনের,	
tekno,	ট্যাকনো,	টেকনো,	
joruri,	জরুরি,	জরূরী,	
roomantik,	রোমান্তিক,	রোমান্টিক,	
eenjeel,	এঞ্জেল,	ইঞ্জিল,	
anurbor,	অনুর্বর,	অনুর্বর,	
grooth,	গ্রুথ,	গ্রোথ,	
ibhara,	ইভার,	এভার,	
roktokshoroney,	রক্তকরষণে,	রক্তক্ষরণে,	
noitikotabodh,	নৈতিতাবাদব,	নৈতিকতাবোধ,	
madhobi,	মাধবী,	মাধবীর,	
dhhalur,	ঢালুর,	ঢালুর,	
sovanetri,	সভানেত্রী,	সভানেত্রী,	
jonosamaj,	জনসমাজ,	জনসমাজ,	
bikargrosto,	বিকারগ্রস্ত,	বিকারগ্রস্ত,	
pade,	পদে,	পাড়ে,	
dipan,	ডীপন,	দীপন,	
thailyanda,	থাইল্যান্ড,	থাইল্যান্ড,	
pacbar,	পাঁবর,	পাঁচবার,	
somosto,	সমস্ত,	সমস্ত,	
katbey,	কাটবে,	কাটবে,	
nirabota,	নিরবতা,	নিরবতা,	
mett,	ম্যাট,	ম্যাট,	
plus,	প্লাস,	প্লাস,	
jatti,	যাতি,	জাতটি,	
tafsirer,	তাফসীরের,	তাফসীরের,	
mitro,	মিত্রো,	মিত্রও,	
janachche,	জানাচ্ছে,	জানাচ্ছে,	
udbodhoney,	উদ্বধ্বনে,	উদ্বোধনে,	
bandhubhaabaapanna,	বন্ধুবব্পন্ন,	বন্ধুভাবাপন্ন,	
deputii,	দিপুতি,	ডেপুটি,	
naneer,	নানির,	নানীর,	
khelaphatey,	খেলাফাতে,	খেলাফতে,	
sbatantrota,	স্বত্তন্ত্র,	স্বতন্ত্রতা,	
karadonder,	কারাদন্ডের,	কারাদণ্ডের,	
dorjee,	দরজী,	দরজি,	
karpeter,	কার্পেটের,	কার্পেটের,	
crucer,	ক্রুসের,	ক্রুশের,	
miraqela,	মাইারেল,	মিরাকেল,	
otyacharito,	অত্যাচারিত,	অত্যাচারিত,	
zzojyota,	জ্যোয্যতা,	যোজ্যতা,	
bm,	বিএমএ,	বিএম,	
poste,	পোস্টে,	পোষ্টে,	
sbaajan,	স্বজন,	স্বজন,	
dankaan,	ডাকনন,	ডানকান,	
garner,	গর্ণের,	গার্নার,	
jarul,	জারুল,	জারুল,	
sotorkokaree,	সত্তকারী,	সতর্ককারী,	
ramantik,	রামান্তিক,	রোমান্টিক,	
billaho,	বিল্লাহ,	বিল্লাহ,	
gitikobitar,	গীতিকাবিতার,	গীতিকবিতার,	
muphti,	মুফতী,	মুফতি,	
saamaanya,	সামান্য,	সামান্য,	
kailas,	কাইলস,	কৈলাস,	
starcer,	স্টার্কের,	স্টার্কের,	
bhenisa,	ভেনিস,	ভেনিস,	
manushtike,	মনুষ্টিকে,	মানুষটিকে,	
siramiker,	শিরামিকের,	সিরামিকের,	
abheedhaanik,	আভিধানিক,	অভিধানিক,	
nilkomol,	নিলকোম,	নীলকমল,	
koommatei,	কুম্তাই,	কমাতেই,	
rinatmak,	ঋণাত্মক,	ঋনাত্মক,	
korkot,	করকত,	কর্কট,	
shapholler,	সাফলের,	সাফল্যের,	
associetes,	অ্যাসোসিযেটেস,	এসোসিয়েটস,	
musolmanderkey,	মুসল্যমন্দ্রকে,	মুসলমানদেরকে,	
abosorer,	অবসরের,	অবসরের,	
durgotshob,	দুর্গটশব,	দুর্গোৎসব,	
rahie,	রাহি,	রাহি,	
ancholgoolote,	আঁচলগুলোতে,	অঞ্চলগুলোতে,	
zerusalemer,	জিরোসালেমের,	জেরুজালেমের,	
chereche,	চেরেছে,	ছেড়েছে,	
garjan,	গর্জন,	গর্জন,	
cetholic,	চাঠলিক,	ক্যাথলিক,	
juktarashtre,	যুক্তরাস্ট্রে,	যুক্তরাষ্ট্রে,	
besirbhagi,	বেশিরভাগই,	বেশিরভাগই,	
kindom,	কিন্দম,	কিংডম,	
sabchey,	সবচে,	সবচে,	
consarvation,	কনোস্ভারেশন,	কনসারভেশন,	
nirdeshika,	নির্দেশিকা,	নির্দেশিকা,	
cheere,	চিরে,	চিরে,	
ikbaaler,	একবালের,	ইকবালের,	
isahak,	ইসহাক,	ইসাহাক,	
adhit,	অধিত,	অধীত,	
iran,	ইরান,	ইরান,	
vageri,	ভাগেরি,	ভাগেরই,	
haphej,	হাফেজ,	হাফেয,	
bossoben,	বসসবেন,	বসবেন,	
ddheela,	ঢেলা,	ঢিলা,	
window,	উইন্ডো,	উইন্ডো,	
bhagirath,	ভাগীরাথ,	ভগীরথ,	
gonoporeebohoner,	গণপরিবহণের,	গণপরিবহনের,	
chedon,	চেদন,	ছেদন,	
romantic,	রোমান্টিক,	রোমান্টিক,	
dei,	দেই,	দিই,	
rakhtokkharoner,	রক্তক্ষরণার,	রক্তক্ষরণের,	
niketan,	নিকেতন,	নিকেতন,	
utsaahe,	উৎসাহে,	উৎসাহে,	
masey,	মাসে,	মাসে,	
auncholo,	আঞ্চল,	অঞ্চলও,	
kattor,	কাত্তর,	কট্টর,	
alaol,	আলল,	আলাওল,	
credit,	ক্রিডিট,	ক্রেডিট,	
jahora,	জহহরা,	যাহরা,	
byabaharkareei,	ব্যবহারকারই,	ব্যবহারকারীই,	
shtonahenja,	স্টোনাহেঞ্জ,	স্টোনহেঞ্জ,	
lutheereen,	লুঠিরেন,	লুথেরান,	
aansarir,	আনসারির,	আনসারীর,	
faltir,	ফলটির,	ফলটির,	
olimpicer,	অলিম্পিকের,	অলিম্পিকের,	
kibord,	কিবোর্ড,	কীবোর্ড,	
rajoshri,	রাজশ্রী,	রাজশ্রী,	
asoociates,	অ্যাসোসিয়েট,	এসোসিয়েটস,	
kormer,	করমের,	কর্মের,	
mojlishpoor,	মজিলসুপুর,	মজলিশপুর,	
songbadmadhyame,	সংবাদ্ধমাধে,	সংবাদমাধ্যমে,	
jwolbe,	জুলবে,	জ্বলবে,	
bosoben,	বসবেন,	বসবেন,	
hishaber,	হিসাবের,	হিসাবের,	
dharabahikeo,	ধারাবাহিকে,	ধারাবাহিকেও,	
baait,	বাইত,	বাইট,	
joneser,	জনসের,	জোন্সের,	
akai,	একই,	একাই,	
siitei,	সিইতেই,	শীতেই,	
turqi,	তুর্কী,	তুর্কি,	
musharraf,	মুসাররফ,	মশাররফ,	
hilser,	হিলসের,	হিলসের,	
pratishhta,	প্রতিশ্টা,	প্রতিষ্টা,	
sausagee,	সৌশাগী,	সসেজ,	
ovishangsan,	অভিশাসন,	অভিশংসন,	
soomita,	সুমিতা,	সুমিতা,	
kyanela,	ক্যানেল,	ক্যানেল,	
bodhirta,	বোধিরতা,	বধিরতা,	
moushumeo,	মুসুমেও,	মৌসুমেও,	
hundayi,	হান্দাই,	হুন্দাই,	
abheedhaner,	অভিধানের,	অভিধানের,	
provu,	প্রভূ,	প্রভু,	
oitijhyer,	ঐতিহ্যের,	ঐতিহ্যের,	
bonshoke,	বংশকে,	বংশকে,	
bishshasho,	বিশ্বাসও,	বিশ্বাসও,	
krisenter,	ক্রিসেন্টার,	ক্রিসেন্টের,	
baaik,	বাইক,	বাইক,	
ralph,	রাফ,	রালফ,	
jathon,	যথন,	যথন,	
bolovodro,	বলভদ্র,	বলভদ্র,	
benis,	বেনিশ,	ভেনিস,	
shatoker,	শতকের,	শতকের,	
bhramaner,	ভ্রামণের,	ভ্রমণের,	
siite,	শিআতে,	শীতে,	
grambaashio,	গ্রামবাসীও,	গ্রামবাসীও,	
zonsa,	জনস,	জোন্স,	
bosanta,	বসন্ত,	বসন্ত,	
kousholgoto,	কৌশলগত,	কৌশলগত,	
stoonehenge,	স্টোনেনহেগে,	স্টোনহেঞ্জ,	
madeelim,	মাডিলিম,	মডেলিং,	
ovidhaner,	অভিধানের,	অভিধানের,	
turki,	তুর্কী,	তুর্কি,	
sakara,	সককার,	সাকার,	
taufiq,	টৌফিক,	তৌফিক,	
amarjita,	অমর্জিত,	অমার্জিত,	
bhaibonera,	ভাইবনেরা,	ভাইবোনেরা,	
onodhikaar,	অনধিকার,	অনধিকার,	
choudhoorir,	চৌধুরির,	চৌধুরীর,	
dazjo,	দজজ,	দাহ্য,	
culing,	কুলিং,	কুলিং,	
shourshe,	সৌর্স,	সোর্স,	
sosar,	সসার,	সকার,	
prokolpow,	প্রকলপপ,	প্রকল্পও,	
floodlighter,	ফ্লকোমিটার,	ফ্লাডলাইটের,	
chotogolpe,	ছটোগলপে,	ছোটগল্পে,	
saqara,	সকের,	সকার,	
juddhahato,	যুদ্ধাহত,	যুদ্ধাহত,	
otyachari,	অত্যাচারী,	অত্যাচারী,	
samabeshti,	সমবেষ্টি,	সমাবেশটি,	
mosjidke,	মসজিিকে,	মসজিদকে,	
cheettronnattokar,	চিত্রনাট্যকর,	চিত্রনাট্যকার,	
siddharther,	সিদ্ধার্থের,	সিদ্ধার্থের,	
orbiit,	অর্বিত,	অরবিট,	
definitian,	ডেফিনিশন,	ডেফিনেশন,	
societytey,	সসিতিতে,	সোসাইটিতে,	
bhittio,	ভিট্িও,	ভিত্তিও,	
zuktorastreo,	যুক্তরাস্ত্রী,	যুক্তরাষ্ট্রেও,	
vince,	ভিনস,	ভিন্স,	
uponisod,	উপনিষদ,	উপনিষদ,	
sukumari,	সুকুমারী,	সুকুমারী,	
saaralya,	সারাল্য,	সারল্য,	
bondikey,	বন্দিকে,	বন্দীকে,	
oojbekistaner,	অযবেকিস্তানের,	উজবেকিস্তানের,	
mugdhota,	মুগধধতা,	মুগ্ধতা,	
romonar,	রোমানার,	রমনার,	
babul,	বাবুল,	বাবুল,	
aksathe,	একসাথে,	একসাথে,	
chikittsar,	চিকিৎসার,	চিকিত্সার,	
spreadshiit,	স্প্রাডসিট,	স্প্রেডশীট,	
gaadhaa,	গাধা,	গাধা,	
maheendra,	মহিন্দ্র,	মাহিন্দ্রা,	
noditi,	নদীতি,	নদীটি,	
osamonjoshyopurno,	অসমাস্যপূর্ণ,	অসামঞ্জস্যপূর্ণ,	
leader,	লিডের,	লিডার,	
maladoobha,	মালাভাদো,	মলদোভা,	
chhatrorai,	ছাত্রহারই,	ছাত্ররাই,	
nathivukto,	নথিভুক্ত,	নথিভুক্ত,	
dana,	ডানা,	ডায়না,	
madhuree,	মাধুরি,	মাধুরী,	
faj,	ফাজ,	ফাজ,	
difinisian,	ডিফিনিশন,	ডেফিনেশন,	
teamothy,	টিমোথি,	টিমোথি,	
dadader,	দাদাদের,	দাদাদের,	
taroni,	তরণী,	তরণী,	
bongshoke,	বংশকে,	বংশকে,	
bojhey,	বোঝে,	বোঝে,	
gobeshokgon,	গবেষকগণ,	গবেষকগণ,	
onnkita,	অঙ্কিত,	অঙ্কিতা,	
probhuder,	প্রভূদের,	প্রভুদের,	
yathaarthabhaabe,	ভঠ্থরভাবে,	যথার্থভাবে,	
basalt,	বসল্ট,	ব্যাসল্ট,	
ul,	উল,	উল,	
otorkeitey,	অতরটিকেই,	অতর্কিতে,	
ceramiker,	সিরামিকের,	সিরামিকের,	
agiboner,	অগিবনের,	আজীবনের,	
ghesei,	ঘেষেই,	ঘেঁষেই,	
towraat,	তোরাট,	তওরাত,	
prabhura,	প্রভূরা,	প্রভুরা,	
sanaktokaraner,	সনাক্তকরণের,	সনাক্তকরণের,	
themey,	থিমে,	থিমে,	
zansa,	জনস,	জন্স,	
anchaleo,	আঞ্চলেও,	অঞ্চলেও,	
samashti,	সমস্তি,	সমষ্টি,	
biseshyer,	বিশেষ্যের,	বিশেষ্যের,	
nirantar,	নিরন্তর,	নিরন্তর,	
jackshan,	যকক্ষণ,	জ্যাকসন,	
gezeteda,	গেজেটেড,	গেজেটেড,	
ancieent,	অনযান্সেট,	এনসিয়েন্ট,	
susamo,	সুসম,	সুসম,	
juboksoho,	যুবকসহ,	যুবকসহ,	
rah,	রা,	রঃ,	
quoota,	কোওটা,	কোটা,	
patthon,	পাঠান,	পঠন,	
muktilabh,	মুক্তিলাভ,	মুক্তিলাভ,	
taali,	তালি,	তালি,	
armstrang,	আর্মস্রাং,	আর্মস্ট্রং,	
kormokarke,	কর্মকারকে,	কর্মকারকে,	
oiteejyer,	ঐতিজ্ঞের,	ঐতিহ্যের,	
vimsen,	ভিমসেন,	ভীমসেন,	
shitey,	সিটে,	শীতে,	
prodip,	প্রদিপ,	প্রদীপ,	
eshtoniya,	এস্টোনিয়া,	এস্তোনিয়া,	
taorat,	তারাত,	তওরাত,	
siropar,	শিরোপার,	শিরোপার,	
larshon,	লার্শন,	লারসন,	
jor,	জোর,	জ্বর,	
zyaka,	জ্যাক,	জ্যাক,	
modelling,	মোডেলিং,	মডেলিং,	
folo,	ফল,	পোলো,	
tikta,	টিকটা,	তিক্ত,	
anchaltitey,	আঞ্চলতিতে,	অঞ্চলটিতে,	
shita,	সিট,	সিট,	
overviu,	অভারভো,	ওভারভিউ,	
landey,	ল্যান্ডে,	ল্যান্ডে,	
vobanir,	ভবানীর,	ভবানীর,	
dumaa,	ডুমা,	দুমা,	
ekkoghore,	একদঘরে,	একঘরে,	
shchalastik,	স্চালাস্টিক,	স্কলাস্টিক,	
heja,	হেজ,	হেজ,	
nirapattamulok,	নিরাপত্বমূলক,	নিরাপত্তামূলক,	
cholocchitroke,	চলচচিত্রকে,	চলচ্চিত্রকে,	
dekhbar,	দেখবার,	দেখবার,	
chittronatyokar,	চিত্রনাট্যকর,	চিত্রনাট্যকার,	
meghnabodh,	মেঘনাবাদ,	মেঘনাদবধ,	
papri,	পাপরি,	পাপরি,	
dale,	দলে,	ডালে,	
tobe,	তবে,	টবে,	
shasheja,	সাসেজা,	সসেজ,	
saarbhare,	সার্ভারে,	সার্ভারে,	
teempaleeta,	টেম্পালেট,	টেম্পলেট,	
daakten,	ডাকতেন,	ডাকতেন,	
mousumeo,	মুসুমেও,	মৌসুমেও,	
naarsaari,	নার্সারী,	নার্সারি,	
kalam,	কলম,	কালাম,	
sonali,	সোনালি,	সোনালী,	
chitronatyakar,	চিত্রনাট্যকর,	চিত্রনাট্যকার,	
aedipus,	আদিপুজ,	ইডিপাস,	
chhotogolpe,	ছোটোগলপে,	ছোটগল্পে,	
chanje,	চ্যাঞ্জ,	চেঞ্জ,	
homske,	হোমসে,	হোমসকে,	
thanvee,	থ্যান্ভি,	থানভী,	
shikshagato,	শিক্ষাগত,	শিক্ষাগত,	
kadarer,	কাদারের,	কদরের,	
elakashaho,	এলাকাশহ,	এলাকাসহ,	
byetasamyan,	ব্যতসম্যান,	ব্যাটসম্যান,	
antorvuktimulok,	অন্তর্বর্তুকূলক,	অন্তর্ভুক্তিমূলক,	
reejideencee,	রেজিডেন্স,	রেসিডেন্স,	
rigthter,	রিথটের,	রাইটের,	
samratder,	সমর্তদের,	সম্রাটদের,	
mosjidtir,	মসজিি্তির,	মসজিদটির,	
tarokareer,	তারকারির,	তরকারীর,	
mataram,	মাতারাম,	মাতারাম,	
deily,	ডিলি,	ডেইলি,	
rayyaleti,	রোয়েলটি,	রয়্যালটি,	
gronthoty,	গ্রন্থটি,	গ্রন্থটি,	
aalkaatraa,	আলকাত্র,	আলকাতরা,	
beekaargrasta,	বিকারগ্রস্ত,	বিকারগ্রস্ত,	
swartho,	স্বার্থ,	স্বার্থ,	
prety,	প্রেটি,	প্রিটি,	
naditike,	নাদিটিকে,	নদীটিকে,	
lyaataa,	ল্যাট,	ল্যাটা,	
jakrit,	যকৃত,	যকৃৎ,	
bishshashi,	বিশ্বাসী,	বিশ্বাসই,	
suity,	সুইটি,	সুইটি,	
sadhwi,	সাধ্য,	সাধ্বী,	
matthews,	ম্যাথিউস,	ম্যাথিউস,	
nathivookto,	নথিভুক্ত,	নথিভুক্ত,	
melobborner,	মেলববর্ণের,	মেলবোর্নের,	
moldowa,	মল্দওয়া,	মলদোভা,	
setikey,	সেটিকে,	সেটিকে,	
gaaddaafee,	গাদ্দাফী,	গাদ্দাফী,	
oncoleo,	অঁ্কলেও,	অঞ্চলেও,	
priti,	প্রীতি,	প্রিটি,	
patthkrom,	পাঠক্রম,	পাঠক্রম,	
chorchito,	চর্চিত,	চর্চিত,	
ekghare,	একঘারে,	একঘরে,	
vimshen,	ভীমসেন,	ভীমসেন,	
jonoikaa,	জননিকা,	জনৈকা,	
blagarara,	ব্লগারার,	ব্লগাররা,	
nazi,	নাজি,	নাত্সি,	
shanta,	শান্ত,	সান্তা,	
agam,	আগাম,	আগম,	
kraantikaale,	ক্রান্তিকালে,	ক্রান্তিকালে,	
abarto,	আবর্ত,	আবর্ত,	
upobaser,	উপবাসের,	উপবাসের,	
mashjid,	মাসজিদ,	মসজিদ,	
pro,	প্রো,	প্রো,	
priimo,	প্রিম,	প্রিমো,	
gitikabitar,	গীতিকাবিতার,	গীতিকবিতার,	
expreshshion,	এক্সপ্রেশন,	এক্সপ্রেশন,	
amanisa,	অমননিসা,	অমানিশা,	
wenice,	ভেনিস,	ভেনিস,	
cyphy,	সিফি,	সাইফাই,	
jibanta,	জীবনতা,	জীবন্ত,	
mukhomaundol,	মুখোসম্ডল,	মুখমণ্ডল,	
tafsherer,	তাফসেরের,	তাফসীরের,	
ponni,	পন্নি,	পন্নী,	
seqtara,	সেক্টার,	সেক্টর,	
futanto,	ফুটান্ত,	ফুটন্ত,	
daaktickete,	ডাক্তিকেতে,	ডাকটিকিটে,	
tata,	তাটা,	তাতা,	
chalachchitratike,	চলাচিত্রটিকে,	চলচ্চিত্রটিকে,	
ajibooner,	আজীবনের,	আজীবনের,	
tanu,	তানু,	তনু,	
shhow,	শ্ব,	শো,	
bbs,	বিএসএস,	বিবিএস,	
feroza,	ফেরোজা,	ফিরোজা,	
bboponer,	ব্যপনের,	বপনের,	
zeeland,	জিল্যান্ড,	জিল্যান্ড,	
bajite,	বাজিতে,	বাজিতে,	
abhidhaanick,	অভিধানিক,	অভিধানিক,	
protijogider,	প্রতিযোগিদের,	প্রতিযোগীদের,	
akbakke,	একবককে,	একবাক্যে,	
karlosa,	কার্লস,	কার্লোস,	
chitronatyokar,	চিত্রনাট্যকর,	চিত্রনাট্যকার,	
nodiiteyi,	নদীতেই,	নদীতেই,	
vabnar,	ভাবনার,	ভাবনার,	
rakhtokkharone,	রক্তক্ষরণে,	রক্তক্ষরণে,	
upobaasee,	উপবাসী,	উপবাসী,	
atwobishvashi,	অত্মবিশ্বাসী,	আত্মবিশ্বাসী,	
tookrokey,	টুকরকে,	টুকরোকে,	
seemaa,	সেমা,	সীমা,	
beetlaser,	বিটলসের,	বিটলসের,	
logicer,	লুগিকের,	লজিকের,	
sanmukh,	সন্মুখ,	সন্মুখ,	
