choudhureeo,	চৌধুরিও,	চৌধুরীও,	
rilayeensa,	রিলেয়ে্্স,	রিলায়েন্স,	
siima,	সিমম,	সীমা,	
thishisher,	থিশিশের,	থিসিসের,	
cilahaati,	চিলাহাী,	চিলাহাটি,	
jaj,	জাজ,	জাজ,	
abul,	আবুল,	আবুল,	
atyacharito,	অত্যাচিত,	অত্যাচারিত,	
deliver,	ডিলিভের,	ডেলিভার,	
laagche,	লাগছে,	লাগছে,	
sekarone,	সেকারণে,	সেকারণে,	
ganoporibahoner,	গণপরিবানের,	গণপরিবহনের,	
rifleks,	রিইলেলে্স,	রিফ্লেক্স,	
surke,	সুরকে,	সুরকে,	
garora,	গ্যারা,	গারোরা,	
romantiq,	রোমান্ন্টিক,	রোমান্টিক,	
juktorashtrosaha,	যুক্তরসস্তরর,	যুক্তরাষ্ট্রসহ,	
inastyanta,	ইনস্ট্টা্ট,	ইনস্ট্যান্ট,	
debdebier,	দেববেদের,	দেবদেবীর,	
akkash,	এককাশ,	আককাস,	
alaoler,	আলালের,	আলাওলের,	
debug,	দেবুগ,	ডিবাগ,	
alubokhara,	অলুলবারা,	আলুবোখারা,	
zhalokatthi,	ঝালকাঠি,	ঝালকাঠী,	
meghnabodh,	মেঘনাবধ,	মেঘনাদবধ,	
fand,	ফাযান্ড,	ফান্ড,	
upcharzo,	উপচার্্,	উপাচার্য,	
shasonkarta,	শাসনকর্তা,	শাসনকর্তা,	
dristiheen,	দৃষ্টিহীন,	দৃষ্টিহীন,	
manmath,	মনমমা,	মন্মথ,	
bipajjanak,	বিপাজযজজনক,	বিপজ্জনক,	
jilyand,	জিল্যান্ড,	জিল্যান্ড,	
sthaponagulo,	স্থানপাগুলো,	স্থাপনাগুলো,	
neermolota,	নির্মলতা,	নির্মলতা,	
daalu,	দালু,	ডালু,	
ias,	আযএস,	আইএএস,	
adhyattik,	অধ্যাতিতিক,	আধ্যাত্মিক,	
bidrup,	বিদ্রুপ,	বিদ্রূপ,	
awrbit,	আরবীত,	অরবিট,	
aukhando,	অখনন্ড,	অখন্ড,	
vandarey,	ভান্ডারে,	ভাণ্ডারে,	
pat,	পাট,	পেত,	
mukhamandoler,	মুখমন্ডলের,	মুখমণ্ডলের,	
nitikotha,	নীতিকথঠয,	নীতিকথা,	
papri,	পাপ্রী,	পাপরি,	
dinifitian,	ডিনিফিংন,	ডেফিনেশন,	
noveel,	নভভি,	নভেল,	
orthoneeti,	অর্থনীতি,	অর্থনীতির,	
cholochchitraeeo,	চলচ্ছিত্রেও,	চলচ্চিত্রেও,	
patenter,	পটযাটেন্টের,	পেটেন্টের,	
boring,	বরিং,	বোরিং,	
byabaharkariderke,	ব্যবহারকারীদে,	ব্যবহারকারীদেরকে,	
gafiloti,	গফিললটি,	গাফিলতি,	
samudrotate,	সমুদ্রতাতে,	সমুদ্রতটে,	
dajjho,	দাজ্,	দাহ্য,	
definision,	ডেফিনিশন,	ডেফিনেশন,	
eemeergeency,	এমেরজেন্সি,	এমার্জেন্সি,	
dianes,	ডায়ননস,	ডিএনএস,	
jokkher,	যক্ষের,	যক্ষের,	
alaol,	আলাল,	আলাওল,	
zuktorastroshoho,	যুক্তরসস্তরর,	যুক্তরাষ্ট্রসহ,	
moshzidke,	মস্জিদকে,	মসজিদকে,	
siddhantokey,	সিদ্বানটতকে,	সিদ্ধান্তকে,	
oodoore,	আদূরে,	অদুরে,	
tinhajar,	তিনহাজার,	তিনহাজার,	
fasi,	ফাসি,	ফাঁসী,	
saholobhyotar,	সহলভযভাটার,	সহজলভ্যতার,	
oitijhya,	ঐতিহ্য,	ঐতিহ্য,	
anyorup,	অন্যরূপ,	অন্যরূপ,	
kule,	কূলে,	কুলে,	
ancholsoho,	অঞ্চলসো,	অঞ্চলসহ,	
atma,	আত্মা,	আত্ম,	
shotokeo,	শতকেও,	শতকেও,	
muradke,	মুরাদকে,	মুরাদকে,	
varma,	ভর্ম,	ভার্মা,	
dweepgulo,	দ্বীপপুলো,	দ্বীপগুলো,	
daankan,	ডানকান,	ডানকান,	
babyloney,	বেবালোনে,	ব্যাবিলনে,	
baarbadoj,	বারবাাদাজ,	বার্বাডোজ,	
wrighter,	ররঘেটর,	রাইটের,	
adorso,	আদর্শ,	আর্দশ,	
america,	অমেরিকা,	আমেরিকা,	
enimeted,	এনিমেটেড,	এনিমেটেড,	
nilkamol,	নিলকালম,	নীলকমল,	
lajiqa,	লজজজ,	লজিক,	
taunashipa,	তাউনস্প,	টাউনশিপ,	
chereche,	চেরেছে,	ছেড়েছে,	
nirarthok,	নিরার্থক,	নিরর্থক,	
chetna,	চেতনা,	চেতনা,	
boner,	বনেের,	বনের,	
mulaadi,	মুলাদী,	মুলাদি,	
lendol,	লেন্ডল,	লেন্ডল,	
ruble,	রুবে,	রুবল,	
moonshi,	মুনসী,	মুন্সি,	
hugheske,	হুউেসকে,	হিউজকে,	
nilfamarir,	নিলফামারীর,	নীলফামারীর,	
michiler,	মিচিলের,	মিছিলের,	
somsher,	সমসের,	সমশের,	
noitikotabodh,	নৈতিতাবকভধ,	নৈতিকতাবোধ,	
satthikota,	সাথিকিয,	সঠিকতা,	
taalal,	তাললল,	তালাল,	
gorjon,	গর্জন,	গর্জন,	
proteesthan,	প্রতিষ্ঠান,	প্রতিষ্টান,	
taitela,	টাইটেল,	টাইটেল,	
debeting,	ডেবেটিং,	ডিবেটিং,	
nischitrupe,	নিশ্চিত্রুপে,	নিশ্চিতরূপে,	
samratra,	সা্র্র্ত,	সম্রাটরা,	
stoona,	স্তোনা,	স্টোন,	
ileeing,	ইলিই,	ইলিং,	
rightsh,	রাইটস,	রাইটস,	
abolokon,	অবলোকন,	অবলোকন,	
stanehenge,	স্তানেনহগ্,	স্টোনহেঞ্জ,	
idaningkale,	ইদািংককলে,	ইদানীংকালে,	
sommotitey,	সম্মতিটে,	সম্মতিতে,	
anyoroop,	অন্যরূপ,	অন্যরূপ,	
sulfate,	সুলফাতে,	সালফেট,	
sorjur,	সর্জুর,	সরযূর,	
sylvi,	সিলভী,	সিলভি,	
militaryr,	মিলিটারির,	মিলিটারির,	
shelina,	সেলিন,	সেলিনা,	
abheedhaaneec,	অভিধানিক,	অভিধানিক,	
thelyanda,	থেল্য্ন্ড,	থাইল্যান্ড,	
siddhantao,	সিদ্ধা্্তও,	সিদ্ধান্তও,	
phutantoa,	ফুটন্ত,	ফুটন্ত,	
khodeza,	খোদেজা,	খোদেজা,	
bharma,	ভর্ম,	ভার্মা,	
janapath,	জনপথ,	জনপথ,	
ruvbla,	রুবলা,	রুবল,	
patochitra,	পততিতরর্য,	পটচিত্র,	
diznee,	ডিজনি,	ডিজনী,	
bisheshshyo,	বিশেষ্্য,	বিশেষ্য,	
krisenta,	কৃষিন্ট,	ক্রিসেন্ট,	
aholla,	আহলা,	অহল্যা,	
keyu,	কেউ,	কেউ,	
chhooteete,	ছুটিতে,	ছুটিতে,	
maase,	মাসে,	মাসে,	
shithilota,	সীথিলতা,	শিথিলতা,	
fokshkon,	ফক্ষক,	ফক্সকন,	
dunkan,	দা্কন,	ডানকান,	
jarusalem,	জারুশােম,	জেরুসালেম,	
bishad,	বিষদ,	বিষদ,	
pachchen,	পাঁচছেন,	পাচ্ছেন,	
obheegomon,	অভিগমন,	অভিগমন,	
sakaar,	সাকার,	সকার,	
byepass,	ব্যপসস,	বাইপাস,	
karkatkranti,	করকককরণটি,	কর্কটক্রান্তি,	
hazirhaat,	হািিরাত,	হাজিরহাট,	
shiramikasha,	শিরামিকাশ,	সিরামিকস,	
rautine,	রাউটিন,	রুটিন,	
bai,	বাই,	বাঈ,	
batsmani,	বাসটটনী,	ব্যাটসম্যানই,	
saajano,	সাজানো,	সাজানো,	
rejidens,	রেজিডেন্স,	রেসিডেন্স,	
aiieubi,	আইউউবি,	আইইউবি,	
bimata,	বিমতা,	বিমাতা,	
creesceent,	ক্রিসেেন্ট,	ক্রিসেন্ট,	
ohollar,	ওহলার,	অহল্যার,	
jeellool,	জিলালু,	জিল্লুল,	
bedanto,	বেদন্ত,	বেদান্ত,	
bikaargrasto,	বিকারগ্রস্ত,	বিকারগ্রস্ত,	
ekpaashe,	একপাশে,	একপাশে,	
dosha,	দোষ,	দোসা,	
superheror,	সুপারেহরর,	সুপারহিরোর,	
barnis,	বার্নিস,	বার্নিশ,	
dakshinangsho,	দক্ষিণাংশ,	দক্ষিণাংশ,	
shringey,	শৃঙে,	শৃঙ্গে,	
choudhooreer,	চৌধুরির,	চৌধুরীর,	
sudhuyi,	সুধুই,	শুধুই,	
lambaate,	লম্বেতে,	লম্বাটে,	
bhaabaponno,	ভাবাপন্ন,	ভাবাপন্ন,	
kruser,	ক্রাসের,	ক্রুশের,	
institutioner,	ইন্সটিটিশননের,	ইনস্টিটিউশনের,	
sidiul,	সিউিউল,	শিডিউল,	
ekooghore,	একুঘরে,	একঘরে,	
sten,	স্টেন,	স্টেন,	
sukkho,	সূক্ষ্,	সুক্ষ্ম,	
lohar,	লোহার,	লোহার,	
parshwey,	পারস্যে,	পার্শ্বে,	
paare,	পারে,	পাড়ে,	
uchchataro,	উচ্চতার,	উচ্চতর,	
bhyatikaaner,	ভ্যাতিকানের,	ভ্যাটিকানের,	
omanisha,	অমানিশা,	অমানিশা,	
eoki,	একক,	এওকি,	
chalechi,	চলেছি,	চলেছি,	
oitihye,	ঐতিহ্যে,	ঐতিহ্যে,	
herpher,	হারফের,	হেরফের,	
hajirhat,	হািরহাত,	হাজিরহাট,	
thyachara,	থ্যাচার,	থ্যাচার,	
eshiyatika,	এশিয়েটকক,	এশিয়াটিক,	
daaraa,	ডারা,	দারা,	
pudim,	পুদিং,	পুডিং,	
loukik,	লৌকিক,	লৌকিক,	
sthapanar,	স্থাপনার,	স্থাপনার,	
drishyake,	দৃষ্যকে,	দৃশ্যকে,	
sithilotar,	সিথিলতার,	শিথিলতার,	
birishirite,	বিরিষিরে,	বিরিশিরিতে,	
shekarone,	শেকারণে,	সেকারণে,	
oitijhyo,	ঐতিহও,	ঐতিহ্য,	
jalbe,	জলবেব,	জ্বলবে,	
klauda,	ক্লা,	ক্লাউড,	
fridom,	ফ্রিডম,	ফ্রীডম,	
abartey,	আববর্তে,	আবর্তে,	
injiniyarim,	ইনজজিনিরিয,	ইঞ্জিনিয়ারিং,	
alpai,	আলপাই,	অল্পই,	
societytey,	সোকিতিতে,	সোসাইটিতে,	
dhalur,	ধালুর,	ঢালুর,	
somonnitobhabe,	সমান্নীতভাবে,	সমন্বিতভাবে,	
baipash,	বৈপাশ,	বাইপাস,	
sanaktokaraner,	সনাক্তককরেের,	সনাক্তকরণের,	
manushti,	মানুষটি,	মানুষটি,	
rupdaan,	রূপদ্যান,	রুপদান,	
muhommoder,	মুহমম্মদের,	মুহম্মদের,	
graambaasee,	গ্রামবাসী,	গ্রামবাসী,	
vangley,	ভাঙলে,	ভাঙলে,	
karmokarke,	কর্মকাকে,	কর্মকারকে,	
gandhike,	গন্ধিকে,	গান্ধীকে,	
jorer,	জোরের,	জ্বরের,	
laeshesh,	লেসেস,	লাইসেন্স,	
dong,	দংং,	ডং,	
bronze,	ব্রেঞ্জ,	ব্রোঞ্জ,	
armeeniyana,	আর্েমিযান,	আর্মেনিয়ান,	
lokkhero,	লক্ষেরও,	লক্ষেরও,	
ashociatesh,	অ্যাসোসিটেস,	এসোসিয়েটস,	
osthisondhi,	অস্সিসন্ধি,	অস্থিসন্ধি,	
sachetanbhabe,	সােতনাভাবে,	সচেতনভাবে,	
aasirbaad,	আশীর্বাদ,	আশির্বাদ,	
hitoishi,	হিতইসি,	হিতৈষী,	
surkarder,	সুরার্ডের,	সুরকারদের,	
gunman,	গুনমমান,	গুণমান,	
mozlishpur,	মজলিশপুর,	মজলিশপুর,	
vdp,	বিডিপি,	ভিডিপি,	
teamothy,	টেমোথি,	টিমোথি,	
guzob,	গুবব,	গুজব,	
nirgamon,	নির্জমণ,	নির্গমন,	
sikar,	শিকার,	শিকার,	
qoyartara,	কোয়ার্টার,	কোয়ার্টার,	
abhidhaneeck,	অভিধানিক,	অভিধানিক,	
deraa,	দেরা,	ডেরা,	
ssumoo,	শুমু,	সুমো,	
shoili,	সৈলি,	শৈলী,	
nothibhooktir,	নথিভূক্তির,	নথিভুক্তির,	
shrabosty,	শ্রবসটতি,	শ্রাবস্তী,	
ghotleyo,	ঘটেেও,	ঘটলেও,	
granthatike,	গ্রন্থাটিকে,	গ্রন্থটিকে,	
phutanto,	ফুটান্ত,	ফুটন্ত,	
overview,	অভারভভিউ,	ওভারভিউ,	
atok,	অতো,	আটক,	
baarnis,	বার্নিস,	বার্নিশ,	
salphat,	সলফাত,	সালফেট,	
ardasho,	অর্দাশ,	আর্দশ,	
granthao,	গ্রন্থা,	গ্রন্থও,	
haak,	হাক,	হুক,	
shangsthati,	সংস্থাটি,	সংস্থাটি,	
tachnach,	তাঁচাচ,	তছনছ,	
lesens,	লিসেং্স,	লাইসেন্স,	
ganesh,	গনেস,	গণেশ,	
palbangser,	পালবাংশের,	পালবংশের,	
paakshenara,	পকক্েনারা,	পাকসেনারা,	
pillai,	পিল্লাই,	পিল্লাই,	
mukhamandal,	মুখমন্ডল,	মুখমণ্ডল,	
iqbalke,	ইকবালে,	ইকবালকে,	
turqamena,	তুর্ামিনা,	তুর্কমেন,	
bhotara,	ভোাটা,	ভোটার,	
kaale,	কালে,	কালে,	
oxfordey,	অক্সফাডে,	অক্সফোর্ডে,	
vittiei,	ভিটিইই,	ভিত্তিই,	
chhootochhooti,	ছোটোচচ্টি,	ছুটোছুটি,	
shoya,	শোয়া,	সোয়া,	
parjotaker,	পর্যটাকের,	পর্যটকের,	
tintike,	তিনটিকে,	তিনটিকে,	
license,	লিইেংসে,	লাইসেন্স,	
artillery,	আর্টিলারি,	আর্টিলারি,	
hoteltite,	হটালেেটে,	হোটেলটিতে,	
cool,	কোল,	কুল,	
elakaate,	এলাকাতে,	এলাকাতে,	
arke,	আরকে,	আরকে,	
dwibidh,	দ্বিবিধ,	দ্বিবিধ,	
granthe,	গ্রন্থে,	গ্রন্থে,	
niurolaji,	নির্যালি,	নিউরোলজি,	
horidbare,	হরিদারে,	হরিদ্বারে,	
ongshogrohon,	অংশগ্রহণ,	অংশগ্রহন,	
torabgunj,	তররাবব্্জ,	তোরাবগঞ্জ,	
sunagarik,	সুনাগারক,	সুনাগরিক,	
protijogii,	প্রতিযোগী,	প্রতিযোগী,	
artillary,	অর্টিলারি,	আর্টিলারি,	
udvaboker,	উদ্ভাবককের,	উদ্ভাবকের,	
bhogirath,	ভগৃরাথ,	ভগীরথ,	
jeevjontu,	জীবনয্তু,	জীবজন্তু,	
cakee,	কেক,	কেকে,	
chopal,	চোপাল,	চপল,	
allah,	আল্লাহ,	আল্লাহ্,	
pyor,	প্য়রর,	পিওর,	
enamel,	এনামেল,	এনামেল,	
jatinkey,	জাতিংকে,	যতীনকে,	
samudratate,	সমুদ্রতাতে,	সমুদ্রতটে,	
prokolpeo,	প্রকললপেওও,	প্রকল্পেও,	
marjito,	মার্জিত,	মার্জিত,	
phiqsim,	ফিক্সিম,	ফিক্সিং,	
crucer,	ক্রুকের,	ক্রুশের,	
gaphiloti,	গফফিলতটি,	গাফিলতি,	
chaanu,	চানু,	চানু,	
dera,	দের,	ডেরা,	
kulim,	কুলিং,	কুলিং,	
jeellul,	জিলাল,	জিল্লুল,	
mataram,	মাতাম,	মাতরম,	
taorat,	তারাট,	তওরাত,	
osshoshtikor,	অস্বস্তিকর,	অস্বস্তিকর,	
sausaje,	সৌসজে,	সসেজ,	
chai,	চাই,	ছাই,	
phormat,	ফরমাট,	ফরম্যাট,	
sikkhaou,	শিক্ষাও,	শিক্ষাও,	
jackshan,	জেক্ষম,	জ্যাকসন,	
jacksan,	জেকসসম,	জ্যাকসন,	
phikshim,	ফিক্সিম,	ফিক্সিং,	
sookkho,	সুক্ষ,	সুক্ষ্ম,	
peengna,	পেংননন,	পিংনা,	
niqela,	নিকেলা,	নিকেল,	
hiragaana,	হিরাগান,	হিরাগানা,	
bhaabaaponno,	ভাবাপন্ন,	ভাবাপন্ন,	
uper,	উপার,	আপের,	
latimer,	লািির,	লাটিমের,	
shikshakramer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
nazi,	নাজি,	নাত্সি,	
shepherd,	শেফার্ড,	শেফার্ড,	
kaaferder,	কাফারদের,	কাফেরদের,	
siddhantai,	সিদ্ধানটিই,	সিদ্ধান্তই,	
sachetanvabe,	সাচতানভাবে,	সচেতনভাবে,	
varote,	ভারতে,	ভারতে,	
abosaney,	অবসানে,	অবসানে,	
nothivooktir,	নথিভুক্তির,	নথিভুক্তির,	
evar,	ইভার,	এভার,	
jaubankal,	যৌবনকাল,	যৌবনকাল,	
ganosakkhorota,	গণস্ককরষ,	গণসাক্ষরতা,	
longhaner,	লংঘঘাের,	লংঘনের,	
proo,	প্রু,	প্রো,	
shombhobonao,	সম্ভবণনও,	সম্ভবনাও,	
itostato,	ইতস্তত,	ইতস্তত,	
gor,	গর,	গোর,	
touraat,	তৌরাত,	তওরাত,	
khannkaj,	খননকাজ,	খননকাজ,	
sushri,	সুসরি,	সুশ্রী,	
sanyal,	সা্য্ল,	সান্যাল,	
paab,	পা,	পাব,	
note,	নোে,	নোটে,	
baasake,	বাসাকে,	বাসাকে,	
