areek,	আরেক,	আরিক,	
adhyattikotar,	আধ্যাতিকতার,	আধ্যাত্মিকতার,	
ship,	শিপ,	শিপ,	
torabgonj,	তরবাগঞ্জ,	তোরাবগঞ্জ,	
selina,	সেলিনা,	সেলিনা,	
rooshod,	রুশদ,	রুশদ,	
megh,	মেঘ,	মেঘ,	
mawdeel,	মাদেল,	মডেল,	
ganoporibohoner,	গণপরিবহনের,	গণপরিবহনের,	
archimedes,	আর্কিমেসস,	আর্কিমিডিস,	
dormetoree,	ডরমেটরি,	ডরমিটরি,	
aashok,	আশোক,	আশোক,	
flux,	ফ্লাক্স,	ফ্লাস্ক,	
sanbadmadhyamgulote,	সংবাদমাদমুলকতে,	সংবাদমাধ্যমগুলোতে,	
prozononkal,	প্রজননকাল,	প্রজননকাল,	
songbadmadhyome,	সংবাদমাদমে,	সংবাদমাধ্যমে,	
khilaphat,	খিলাফাত,	খিলাফত,	
browser,	ব্রসের,	ব্রাউজার,	
plaiin,	প্লেইন,	প্লেন,	
zubokder,	যুবকদের,	যুবকদের,	
temone,	টেমনে,	তেমনই,	
hoteltee,	হটেলটি,	হোটেলটি,	
siqhar,	শিখর,	শিকার,	
nadnodir,	নদ্নদির,	নদনদীর,	
billaho,	বিল্লাহ,	বিল্লাহ,	
fastara,	ফাস্টার,	ফস্টার,	
addabaj,	আদ্াাবাজ,	আড্ডাবাজ,	
pratisthanikvabe,	প্রতিষ্ঠানিকভাবে,	প্রাতিষ্ঠানিকভাবে,	
falah,	ফলল,	ফালাহ,	
dakteekite,	ডাক্তিকিতে,	ডাকটিকিটে,	
sorbopori,	সর্বোপরি,	সর্বোপরী,	
jarul,	জরুল,	জারুল,	
iran,	ইরান,	ইরান,	
tolemyr,	তলেমির,	টলেমির,	
vogni,	ভগ্নি,	ভগ্নী,	
venkatesh,	ভেনকোাস,	ভেঙ্কটেশ,	
soasage,	সোসেজ,	সসেজ,	
nirmaankaaj,	নির্মাণকাজ,	নির্মাণকাজ,	
varshon,	ভার্সন,	ভারশন,	
anyorup,	অনযারূপ,	অন্যরূপ,	
dharabhashyakar,	ধারাভাষ্যকার,	ধারাভাষ্যকার,	
iash,	আয়াশ,	আইএএস,	
gaaddafee,	গ্যাড্ডাফি,	গাদ্দাফী,	
charzara,	চার্জার,	চার্জার,	
kaande,	কান্ডে,	কাণ্ডে,	
pluse,	প্লাজ,	প্লাসে,	
sealvi,	সেলভি,	সিলভি,	
asavya,	অসভব্য,	অসভ্য,	
naobihar,	নৌবিহার,	নৌবিহার,	
bhogirath,	ভগিগারথ,	ভগীরথ,	
taffsher,	তাফসের,	তাফসীর,	
skolarseep,	স্কলারশিপ,	স্কলারশিপ,	
ishiyatika,	এসিয়েটিক,	এশিয়াটিক,	
oboshore,	অবশরে,	অবসরে,	
mandander,	মানদন্ডের,	মানদণ্ডের,	
lokeson,	লোকেশন,	লোকেশন,	
saseza,	সসেজ,	সসেজ,	
aiisa,	আইএস,	আইএএস,	
senabahineeow,	সেনাবেহিনিও,	সেনাবাহিনীও,	
moogdal,	মুগদাল,	মুগডাল,	
renoo,	রেনু,	রেনো,	
somosto,	সমস্ত,	সমস্ত,	
koordider,	কুর্দিদের,	কুর্দিদের,	
sheekarer,	শিকারের,	শিকারের,	
alngkoron,	অলংকরণ,	অলঙ্করণ,	
janmat,	জন্মাত,	জন্মাত,	
chalochchitrer,	চলচিত্রের,	চলচ্চিত্রের,	
sur,	সুর,	সুর,	
pooroheetke,	পুরহীতকে,	পুরোহিতকে,	
prakalpatike,	প্রকল্পটিকে,	প্রকল্পটিকে,	
seelbhee,	সিলভী,	সিলভি,	
sulfete,	সালফাইট,	সালফেট,	
shaddhi,	স্বাধি,	সাধ্বী,	
neerbachoker,	নির্বাচকের,	নির্বাচকের,	
harbore,	হার্বরে,	হারবারে,	
shkalarashhipa,	স্কলারশিপ,	স্কলারশিপ,	
steen,	স্টিন,	স্টেন,	
makang,	ম্যাক,	মেকং,	
shuparahiro,	সুপারহীর,	সুপারহিরো,	
osthisandhi,	অস্থিষান্ধি,	অস্থিসন্ধি,	
maldava,	মালদাভা,	মলদোভা,	
ancholei,	আঞ্চলেই,	অঞ্চলেই,	
petenter,	পেটেন্টার,	পেটেন্টের,	
tunar,	টুনার,	টিউনার,	
jamjomat,	যামজামাত,	জমজমাট,	
liceencee,	লাইজেন্স,	লাইসেন্স,	
shotokei,	শতকেই,	শতকেই,	
shhikha,	শিখা,	শিখ,	
madrasi,	মাদ্রাসী,	মাদ্রাজি,	
choopi,	চুপি,	চুপি,	
aairees,	আইরেস,	আইরিস,	
mukhobondho,	মুখবন্ধ,	মুখবন্ধ,	
beshorkarikarone,	বেসরকারীকরণে,	বেসরকারিকরণ,	
sarsa,	সর্শ,	সোর্স,	
sweety,	স্বৈতি,	সুইটি,	
siqh,	সিখ,	শিখ,	
pustio,	পুষ্টিও,	পুষ্টি,	
orbit,	অর্বিত,	অরবিট,	
mohiboor,	মহীবূর,	মহিবুর,	
archimedeser,	আর্কিমেজাসের,	আর্কিমিডিসের,	
pouchhute,	পৌঁছতে,	পৌঁছুতে,	
hari,	হরি,	হরি,	
choudhurio,	চৌধুরেও,	চৌধুরীও,	
sphincter,	স্ফিন্ক্টর,	স্ফিংটার,	
janomukhee,	জনমুুখী,	জনমুখী,	
janagononar,	জনগণনার,	জনগণনার,	
hights,	হাইটস,	হাইটস,	
primo,	প্রীম,	প্রিমো,	
jaubankal,	যৌবনকাল,	যৌবনকাল,	
dijeejer,	ডিজিজের,	ডিজিজের,	
loombinee,	লম্বিনী,	লুম্বিনী,	
udbodhaner,	উদ্বোধনের,	উদ্বোধনের,	
ustad,	উষ্টদ,	উস্তাদ,	
marmaara,	মার্মার,	মারমারা,	
addhattik,	অধ্যাত্বিক,	আধ্যাত্মিক,	
holdim,	হোল্ডিং,	হোল্ডিং,	
kuary,	কোয়ারি,	কোয়েরি,	
uparjoner,	উপার্জনের,	উপার্জনের,	
amiratas,	আমিরাটস,	এমিরেটাস,	
beatleser,	বেটলসের,	বিটলসের,	
dadaa,	ডাদা,	দাদা,	
bahaati,	বাহাটি,	বাহাতি,	
steitt,	স্টেট,	স্টেইট,	
porijon,	পরিজন,	পরিজন,	
taaler,	তালের,	তালের,	
ekoghore,	একঘোরে,	একঘরে,	
danaber,	ডানাবের,	দানবের,	
choudhurir,	চৌধুরির,	চৌধুরীর,	
okritakarjo,	অক্তরতিরার্য,	অকৃতকার্য,	
zacksan,	যাকসন,	জ্যাকসন,	
gafilati,	গফিলাটি,	গাফিলতি,	
tottenhamer,	ততিনহামের,	টটেনহামের,	
jakrit,	যকৃত,	যকৃৎ,	
karpeter,	কর্পেটের,	কার্পেটের,	
teestar,	টেস্টার,	তিস্তার,	
khoja,	খোজ,	খোজা,	
machsaho,	মাচসহ,	মাছসহ,	
gonjona,	গঞ্জনা,	গঞ্জনা,	
stoonehenge,	স্টুনেঞ্জ,	স্টোনহেঞ্জ,	
taholo,	তাহল,	তাহলো,	
sudhui,	সুধ্যু,	শুধুই,	
dosha,	দশা,	দোসা,	
rubidiyaam,	রুবিদিয়াম,	রুবিডিয়াম,	
tatira,	তাতিরা,	তাঁতিরা,	
swapad,	স্বপদ,	শ্বাপদ,	
dhonyi,	ধনবি,	ধন্যি,	
jaak,	যাক,	জাঁক,	
source,	সার্স,	সোর্স,	
murader,	মুরদের,	মুরাদের,	
ragi,	রাগী,	রাগী,	
ptolemir,	প্লোমেরির,	টলেমির,	
candi,	চা্ডি,	ক্যান্ডি,	
dolguloo,	দলগুলো,	দলগুলোও,	
bikargrasta,	বিকারগ্রস্ত,	বিকারগ্রস্ত,	
ogrodoot,	অগ্রদূত,	অগ্রদূত,	
asamonjoshyopurno,	অসমানস্যপূর্ণ,	অসামঞ্জস্যপূর্ণ,	
dhyaan,	ধ্যান,	ধ্যান,	
nilabha,	নীলভা,	নীলাভ,	
dorjee,	দর্জি,	দরজি,	
juktorashtre,	যুক্তরাস্ট্রে,	যুক্তরাষ্ট্রে,	
upbasher,	উপবাের,	উপবাসের,	
chalechi,	চলেছি,	চলেছি,	
arunima,	অরুণিমা,	অরুণিমা,	
daqten,	ডাকতেন,	ডাকতেন,	
vvimsenn,	ভিভমেন,	ভীমসেন,	
nothivukteer,	নথিভুক্তির,	নথিভুক্তির,	
capshule,	কাপ্সুলে,	ক্যাপসুল,	
akabar,	একাবার,	আকাবার,	
saccar,	সকক্কার,	সকার,	
doobhara,	দুভারা,	ডোভার,	
doorger,	দুর্গের,	দুর্গের,	
bird,	বার্ড,	বার্ড,	
aakkaash,	আককাশ,	আককাস,	
neutrina,	নিউট্রিন,	নিউট্রিনো,	
onodhikaar,	অনধিকার,	অনধিকার,	
kruser,	ক্রাসের,	ক্রুশের,	
eidaning,	এডাইনিং,	ইদানীং,	
torkaryr,	তরকারীর,	তরকারীর,	
rezidens,	রেজিডেন্স,	রেসিডেন্স,	
savanetri,	সভানেত্রী,	সভানেত্রী,	
daver,	ডেভার,	ডোভার,	
paripakey,	পরিপাকে,	পরিপাকে,	
koilas,	কৈলাশ,	কৈলাস,	
nagorikderkey,	নাগরীকরকে,	নাগরিকদেরকে,	
zonite,	যোনিতে,	যোনীতে,	
stalin,	স্ত্লিন,	স্টালিন,	
tempaleta,	টেম্পলেট,	টেম্পলেট,	
dover,	ডেভার,	ডোভার,	
yaak,	যাক,	ইয়াক,	
kooda,	কোড,	কোড,	
kk,	ক্স,	কেকে,	
gezetted,	গেজেটে,	গেজেটেড,	
biplobi,	বিপ্লবি,	বিপ্লবী,	
gaandaas,	গান্ডাস,	জ্ঞানদাস,	
gaichey,	গেছে,	গাইছে,	
batsmani,	বৎসম্ানী,	ব্যাটসম্যানই,	
starcer,	স্টার্সার,	স্টার্কের,	
konar,	কোণার,	কণার,	
akkhar,	অক্ষর,	অক্ষর,	
suparheiro,	সুপারহীর,	সুপারহিরো,	
brekethru,	ব্রেকেতারু,	ব্রেকথ্রু,	
somratder,	সম্রাতের,	সম্রাটদের,	
chenja,	চেঞ্জ,	চেঞ্জ,	
gayichhey,	গেছে,	গাইছে,	
boother,	বুঠের,	বুথের,	
paikgacha,	পাক্কোচা,	পাইকগাছা,	
sarollo,	সরল,	সারল্য,	
janosamaj,	জনসমাজ,	জনসমাজ,	
zubokti,	যুবক্তি,	যুবকটি,	
muchi,	মুছি,	মুচি,	
jerujaleme,	জেরুজাইলে,	জেরুসালেমে,	
photanor,	ফোটানোর,	ফোটানোর,	
postar,	পোস্টার,	পোস্টের,	
ovishangson,	অভিসংসন,	অভিশংসন,	
shikshakbrindo,	শিক্ষাকৃণ্দ,	শিক্ষকবৃন্দ,	
dail,	দেল,	ডেইল,	
digreeke,	ডিগ্রীকে,	ডিগ্রিকে,	
dwibidha,	দ্বিবিধ,	দ্বিবিধ,	
chhatogalpe,	ছোটোগল্পে,	ছোটগল্পে,	
sazano,	সাজান,	সাজানো,	
zonsa,	জনসস,	জোন্স,	
jomkaalo,	জমকালো,	জমকালো,	
dibi,	দিবী,	দিবি,	
nathivookta,	নথিভুক্ত,	নথিভুক্ত,	
mukhbaundho,	মুখবুন্ধ,	মুখবন্ধ,	
machder,	মাচদের,	মাছদের,	
charrjar,	চার্জার,	চার্জার,	
ajeempur,	আজিমপুর,	আজিমপুর,	
coshon,	কোষন,	চোষণ,	
meetropalitana,	মেট্রোপালিনান,	মেট্রোপলিটন,	
shoccar,	শক্কার,	সকার,	
godabari,	গদাবরী,	গোদাবরী,	
farider,	ফরীদের,	ফরিদের,	
muktoome,	মুকতমম,	মাকতুম,	
jotharthovabey,	যথার্থভাবে,	যথার্থভাবে,	
jeebonto,	জীবন্ত,	জীবন্ত,	
bondhuvabaponyo,	বন্ধুবানপনও,	বন্ধুভাবাপন্ন,	
noditei,	নদিতেই,	নদীতেই,	
daoon,	ডাউন,	ডাউন,	
achis,	এচিস,	আছিস,	
gitikobitar,	গীতিকাবতার,	গীতিকবিতার,	
bhenasha,	ভেনাস,	ভেনাস,	
sangostha,	সংস্থা,	সংস্থা,	
nagorik,	নাগরিক,	নাগরিক,	
ganoporibahon,	গণপরিবহন,	গণপরিবহন,	
jeesh,	জিস,	জেস,	
ghoorte,	ঘুর্ে,	ঘুরতে,	
ministara,	মিনিস্টার,	মিনিস্টার,	
nagariker,	নাগরিকের,	নাগরিকের,	
kaash,	কাস,	কাস,	
chaabir,	চাবির,	চাবির,	
pharna,	ফার্ন,	ফার্ন,	
janatey,	জানাতে,	জানাতে,	
seguloi,	সেগুলোই,	সেগুলোই,	
nagalyand,	নাগল্যান্ড,	নাগাল্যান্ড,	
aholla,	আহলা,	অহল্যা,	
kraanti,	ক্রান্টি,	ক্রান্তি,	
suraaropito,	সুরারপিত,	সুরারোপিত,	
omitrakkhor,	অমিত্রাক্ষর,	অমিত্রাক্ষর,	
aidii,	এইদি,	আইডিই,	
falkser,	ফ্যাক্সের,	ফক্সের,	
beda,	বেদা,	বেদ,	
omeettrakkhor,	অমিত্রাক্ষর,	অমিত্রাক্ষর,	
shapod,	শাপদ,	শ্বাপদ,	
kormosongsthan,	কর্মসংস্থান,	কর্মসংস্থান,	
shikshakram,	শিক্ষাক্রম,	শিক্ষাক্রম,	
diaraesha,	ডায়েরেস,	ডিআরএস,	
kaansaat,	কাঁসাত,	কানসাট,	
timur,	টিমুর,	তিমুর,	
advanced,	অ্যাডভাঞ্সেড,	অ্যাডভান্সড,	
lendol,	লেন্ডল,	লেন্ডল,	
haraten,	হারাতেন,	হারাতেন,	
sukkhma,	সূক্ষ্ম,	সুক্ষ্ম,	
ghetu,	ঘিতু,	ঘেটু,	
creesceent,	ক্রিস্সেন্ট,	ক্রিসেন্ট,	
siddhanto,	সিদ্বান্ত,	সিদ্ধান্তও,	
male,	মালে,	মালে,	
madola,	মদলা,	মাদলা,	
sibraj,	শিবরাজ,	শিবরাজ,	
totokhon,	ততকখণ,	ততক্ষন,	
deputee,	দেপুটি,	ডেপুটি,	
soceitykey,	সোকিটিকে,	সোসাইটিকে,	
longghon,	লঙ্ঘন,	লংঘন,	
soccar,	সকচার,	সকার,	
imirgincy,	এমেরিজিনি,	এমার্জেন্সি,	
nutaner,	নূতানের,	নূতনের,	
shadena,	সাদেনা,	সাডেন,	
ko,	কো,	কেও,	
eesa,	ঈসা,	আইএএস,	
podarthobidder,	পদার্থবিদদের,	পদার্থবিদদের,	
meloonborrone,	মেলুনবরনে,	মেলবোর্নে,	
aminul,	আমিনুল,	আমিনুল,	
masterer,	মাস্টারের,	মাস্টারের,	
klauda,	ক্লাউড,	ক্লাউড,	
chowdhuryo,	চৌধুর্য,	চৌধুরীও,	
militari,	মিলিটারী,	মিলিটারি,	
purbancoler,	পূর্বাঞ্চলের,	পূর্বাঞ্চলের,	
hamburgey,	হাম্ববর্গে,	হামবুর্গে,	
reno,	রেন,	রেনো,	
mononiitoder,	মনোনিতদের,	মনোনীতদের,	
basa,	বসসা,	বাসা,	
ghamtaa,	ঘামটা,	ঘোমটা,	
gobeshonar,	গবেষণার,	গবেষনার,	
moshion,	মশিয়ন,	মোশন,	
dhoka,	ধোকা,	ধোঁকা,	
phiqsa,	ফিক্স,	ফিক্স,	
shtone,	স্তন,	স্টোন,	
ganona,	গণনা,	গননা,	
saphallyar,	সাফল্যার,	সাফল্যের,	
abartey,	আবর্তে,	আবর্তে,	
shikhechi,	শিখেছি,	শিখেছি,	
jwaluk,	জ্বালুক,	জ্বলুক,	
saarbharer,	সার্ভারের,	সার্ভারের,	
fiksa,	ফিক্স,	ফিক্স,	
hiushtoner,	হিউস্থনের,	হিউস্টনের,	
simaa,	সিমা,	সীমা,	
deambakriti,	ডেম্বাকৃতি,	ডিম্বাকৃতি,	
rajbandi,	রাজবন্দী,	রাজবন্দী,	
loukik,	লৌকিক,	লৌকিক,	
bisnooke,	বিষ্ণুকে,	বিষ্ণুকে,	
jolaatonko,	জলাকান্ক,	জলাতঙ্ক,	
engrejra,	ইংরেজার,	ইংরেজরা,	
phirati,	ফিরাটি,	ফিরতি,	
bosoben,	বসবেন,	বসবেন,	
observer,	অবার্ভের,	অবজার্ভার,	
byepass,	ব্যাপস,	বাইপাস,	
akai,	একাই,	একাই,	
iranayer,	ইরোনযয়র,	ইরানের,	
somoshtike,	সমস্তিকে,	সমষ্টিকে,	
asor,	আশর,	আসর,	
durgandha,	দুর্গান্য,	দুর্গন্ধ,	
madraji,	মাদ্রাজী,	মাদ্রাজি,	
hoilo,	হইল,	হইল,	
bhange,	ভঙে,	ভাঙ্গে,	
shima,	সীম,	সীমা,	
thechar,	ঠেচার,	থ্যাচার,	
ajiban,	অজিবান,	আজীবন,	
aboshorer,	অবশরের,	অবসরের,	
manikyo,	মাণিক্য,	মানিক্য,	
priti,	প্রীতি,	প্রিটি,	
byatikramdharmi,	ব্যাতিকর্মাধরী,	ব্যতিক্রমধর্মী,	
parabortee,	পরবর্তী,	পরর্বতী,	
jommu,	জম্মু,	জম্মু,	
chapal,	চাপাল,	চপল,	
anurbar,	অনুর্বর,	অনুর্বর,	
uporital,	উপরেতাল,	উপরিতল,	
nyaper,	ম্যাপার,	ন্যাপের,	
conistho,	কনিষ্ঠ,	কনিষ্ঠ,	
gudamjaato,	গুদমজাত,	গুদামজাত,	
showti,	শৌটি,	শোটি,	
sangosthatir,	সংস্থাটির,	সংস্থাটির,	
falokti,	ফালকটি,	ফলকটি,	
taler,	তালের,	তালের,	
aamude,	আমুদে,	আমুদে,	
temonbhabe,	তেমনভাবে,	তেমনভাবে,	
pratishta,	প্রতিষ্ট,	প্রতিষ্টা,	
sansthati,	সংস্থাটি,	সংস্থাটি,	
ashachetan,	অসেকচন,	অসচেতন,	
mulaadi,	মুলাদি,	মুলাদি,	
chhutite,	ছুটিতে,	ছুটিতে,	
paner,	পানের,	পানের,	
enamel,	এনামেল,	এনামেল,	
augustin,	আগাস্টিন,	অগাস্টিন,	
shomsti,	সমস্তি,	সমষ্টি,	
amarica,	আ্যামারিকা,	আমেরিকা,	
gaafeeloti,	গাফিলোটি,	গাফিলতি,	
mujibur,	মুজিবর,	মুজিবুর,	
kansater,	কাঁসতের,	কানসাটের,	
kharar,	খারার,	খরার,	
bem,	বেম,	বিম,	
awnurbor,	অনুর্বর,	অনুর্বর,	
protijogitar,	প্রতিযোগিতার,	প্রতিযোগীতার,	
bhagno,	ভাগ্ন,	ভগ্ন,	
arthoneeti,	অর্থনীতি,	অর্থনীতির,	
nations,	নেযানশন,	নেশনস,	
zubokera,	যুবকেরা,	যুবকেরা,	
sotteo,	সত্বেও,	সত্ত্বেও,	
pabo,	পাব,	পাব,	
lohaar,	লোহার,	লোহার,	
porikkhateo,	পরীক্ষাতেও,	পরীক্ষাতেও,	
kanshat,	কাঁশত,	কানসাট,	
cyphy,	সাইফি,	সাইফাই,	
transfarm,	ট্রান্সফর্ম,	ট্রান্সফর্ম,	
riphleksa,	রাইফক্ল,	রিফ্লেক্স,	
prasadhaner,	প্রসাধানের,	প্রসাধনের,	
nazad,	নাযাদ,	নজদ,	
chorchito,	চর্চিত,	চর্চিত,	
poderthobid,	পদার্থবিদ,	পদার্থবিদ,	
chironton,	চিরন্টন,	চিরন্তন,	
nadnodeer,	না্দদীর,	নদনদীর,	
kram,	ক্রাম,	ক্রম,	
tolemi,	তোলেমি,	টলেমির,	
deaubande,	ডেভাবন্ডে,	দেওবন্দে,	
eshtoniya,	এস্টনি,	এস্তোনিয়া,	
swarthe,	স্বর্থে,	স্বার্থে,	
upobaaser,	উপবাসের,	উপবাসের,	
skara,	স্কার,	স্কোর,	
kkunti,	কুন্তি,	কুন্তী,	
vault,	ভোল্ট,	ভল্ট,	
chhotogolpe,	ছোটোগল্পে,	ছোটগল্পে,	
lumbinee,	লাম্বিনী,	লুম্বিনী,	
jotsna,	জোসসা,	জ্যোৎস্না,	
porinoti,	পরিণতি,	পরিণতি,	
maszid,	মস্জীদ,	মসজিদ,	
smarok,	স্মররক,	স্মারক,	
unitsaho,	উনিতসহ,	ইউনিটসহ,	
nagare,	নাগর,	নগরে,	
ganoporibahoner,	গণপরিবহনের,	গণপরিবহনের,	
agamanke,	আগামানকে,	আগমনকে,	
anuchcheder,	অনুচ্ছেদের,	অনুচ্ছেদের,	
bishwashoi,	বিশ্বাসই,	বিশ্বাসই,	
dibet,	দিবেত,	ডিবেট,	
mojdoor,	মজুদুর,	মজদুর,	
shuri,	সুরি,	সুরি,	
aamontrito,	আমন্ত্রিত,	আমন্ত্রিত,	
aakaabar,	আকাবার,	আকাবার,	
huqa,	হুক,	হুক,	
deul,	ডিউল,	দেউল,	
chorban,	চর্বন,	চর্বন,	
netions,	নেশনয়ন্স,	নেশনস,	
sofi,	সফি,	সোফি,	
daun,	ডন,	ডাউন,	
nischitvabe,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
poschimae,	পশ্চিমা,	পশ্চিমে,	
ajibon,	অজিবন,	আজীবন,	
longghoner,	লঙ্ঘনের,	লংঘনের,	
kaalki,	কালকি,	কালকি,	
elakashaho,	এলাকাসহ,	এলাকাসহ,	
shekend,	সেকেন্ড,	সেকেণ্ড,	
plena,	প্লেন,	প্লেন,	
debodebi,	দেবদেবি,	দেবদেবী,	
chhatke,	ছটকে,	ছাতকে,	
shoow,	শোব,	শো,	
setike,	সেটিকে,	সেটিকে,	
nodiitei,	নদীতেই,	নদীতেই,	
dormitori,	ডরমেটরি,	ডরমিটরি,	
hajarti,	হাজারটি,	হাজারটি,	
vittiei,	ভিট্যেই,	ভিত্তিই,	
graambasir,	গ্রামবাসির,	গ্রামবাসীর,	
bipradas,	বিপ্রোাস,	বিপ্রদাস,	
rifleksa,	রাইফকেলস,	রিফ্লেক্স,	
bandi,	বন্দি,	বন্দী,	
aarcia,	আর্সিয়া,	আরসিএ,	
sikkhokke,	শিক্ষককে,	শিক্ষককে,	
songbadmadhyomer,	সংবাদমাদমের,	সংবাদমাধ্যমের,	
aazadir,	আযাদির,	আজাদীর,	
rubi,	রুবি,	রুবী,	
shiniyara,	সিনিয়র,	সিনিয়র,	
juktorastrosoho,	যুক্তরস্রসসহ,	যুক্তরাষ্ট্রসহ,	
gajipur,	গাজীপুর,	গাজীপুর,	
procharona,	প্রচারনা,	প্রচারণা,	
daayitto,	দৈত্য,	দায়িত্ব,	
mehonnotee,	মেহনাটি,	মেহনতি,	
cooling,	কোলিং,	কুলিং,	
asommati,	অসমামতি,	অসম্মতি,	
anucheder,	অনুচেদের,	অনুচ্ছেদের,	
norfolq,	নরফলল,	নরফোক,	
jerusalem,	জেরোসালেম,	জেরুসালেম,	
teemothy,	তেমথি,	টিমোথি,	
mosharrof,	মোশাররফ,	মশাররফ,	
meghachonno,	মেঘাছন্য,	মেঘাচ্ছন্ন,	
navel,	নেভেল,	নভেল,	
gandhariir,	গান্ধারীর,	গান্ধারীর,	
poorohitder,	পুরহীতদের,	পুরোহিতদের,	
