gosthii,	গোষ্ঠী,	গোষ্ঠীই,	
batsmanei,	বাসসমানেই,	ব্যাটসম্যানই,	
setan,	সেতান,	শয়তান,	
direqtareta,	ডিরেক্টরেট,	ডিরেক্টরেট,	
orhan,	ওরহান,	ওরহান,	
abdur,	আব্দুর,	আবদুর,	
asor,	আসর,	আসর,	
dovaar,	দোবর,	ডোভার,	
jokey,	জোকে,	জকি,	
varma,	ভার্ম,	ভার্মা,	
arthonitite,	অর্থনীতিতে,	অর্থনীতিতে,	
natunatwa,	নতুনত্ব,	নতুনত্ব,	
basaalt,	বাসল্ট,	ব্যাসল্ট,	
loukeek,	লৌকিক,	লৌকিক,	
