futbolarra,	ফুটবলরারা,	ফুটবলাররা,	
lotheran,	লথারেন,	লুথেরান,	
poroborti,	পরবর্তী,	পরর্বতী,	
phirati,	ফিরাটি,	ফিরতি,	
leadar,	লিডার,	লিডার,	
pleta,	প্ল্যাট,	প্লেটো,	
zyakasana,	জ্যাকশন,	জ্যাকসন,	
sbajaner,	স্বজনের,	স্বজনের,	
segulo,	সেগুলো,	সেগুলো,	
lokhindorer,	লকিন্দরের,	লখিন্দরের,	
provu,	প্রভূ,	প্রভু,	
dephinesana,	ডেফিনেশন,	ডেফিনেশন,	
bishaashke,	বিশাসকে,	বিশ্বাসকে,	
aiisa,	এইএসএস,	আইএএস,	
amarjito,	অমর্জিত,	অমার্জিত,	
bhushito,	ভূষিত,	ভূষিত,	
hastantar,	হসস্তন্টর,	হস্তান্তর,	
dwipke,	দ্বিপকে,	দ্বীপকে,	
shtona,	স্টন,	স্টোন,	
alankaran,	অলংকরণ,	অলঙ্করণ,	
marketey,	মার্কেটে,	মার্কেটে,	
gej,	গেজ,	গেজ,	
sohopathike,	সহপাঠীকে,	সহপাঠীকে,	
allubokhara,	অল্বলকখারা,	আলুবোখারা,	
sangosthatir,	সংস্থাতির,	সংস্থাটির,	
parbatmala,	পার্বতত্মাল,	পর্বতমালা,	
besharkarikarone,	বেসরকারীকরণে,	বেসরকারিকরণ,	
governorer,	গর্ভরনেরর,	গভর্ণরের,	
chalabe,	চালাবে,	চালাবে,	
jaank,	জাঁক,	জাঁক,	
shakara,	শ্কার,	সাকার,	
joubanbati,	যৌবন্বটী,	যৌবনবতী,	
khodeja,	খোদেজ,	খোদেজা,	
asamonjoshyopurno,	অসমানসযুপ্ণর্ণ,	অসামঞ্জস্যপূর্ণ,	
digreer,	ডিগ্রীর,	ডিগ্রির,	
oholla,	ওহললা,	অহল্যা,	
shtonehenge,	স্টনেেহেঞ্জে,	স্টোনহেঞ্জ,	
dweepgoolotey,	দ্বীগ্লতুতে,	দ্বীপগুলোতে,	
arop,	অরোপ,	আরোপ,	
bosten,	বসসতেন,	বসতেন,	
soceitykey,	সসেটিকে,	সোসাইটিকে,	
abahan,	অবহান,	আবাহন,	
bandra,	বন্দ্র,	বন্দীরা,	
zohns,	জনস,	জন্স,	
tarokareer,	তারাকারীর,	তরকারীর,	
injeel,	ইঞ্জেল,	ইঞ্জিল,	
dinifitian,	ডিনিফিউিন,	ডেফিনেশন,	
masjidti,	ম্জাদিদি,	মসজিদটি,	
nyaper,	ন্যাপের,	ন্যাপের,	
poshte,	পোস্টে,	পোষ্টে,	
panni,	পন্নি,	পন্নী,	
sidharther,	সিধার্থের,	সিদ্ধার্থের,	
tottorat,	তত্তরত,	তওরাত,	
ja,	যা,	জ্যা,	
parbottyo,	পার্বতত্ত্ব,	পার্বত্য,	
jolatongko,	জলাতন,	জলাতঙ্ক,	
thatchar,	থাচার,	থ্যাচার,	
sadhwi,	সাধ্যী,	সাধ্বী,	
ancholsaho,	অঞ্চলসহ,	অঞ্চলসহ,	
niketon,	নিকেতন,	নিকেতন,	
kanshat,	কাঁাাস্ট,	কানসাট,	
orbeet,	অর্বিত,	অরবিট,	
jamkalo,	জামকালো,	জমকালো,	
bishwaashshoi,	বিশ্বাসই,	বিশ্বাসই,	
agahir,	আগহীর,	অগভীর,	
phakay,	ফককে,	ফাকে,	
ekghare,	একঘরে,	একঘরে,	
vandarey,	ভান্ডারে,	ভাণ্ডারে,	
meiler,	মেইলের,	মেইলের,	
mase,	মসে,	মাসে,	
saamaanya,	সামান্য,	সামান্য,	
zuktorastrer,	যুক্তরাস্ট্রের,	যুক্তরাষ্ট্রের,	
soori,	শুরি,	সুরি,	
swarnali,	স্বর্ণালী,	স্বর্ণালী,	
kibord,	কিবোর্ড,	কীবোর্ড,	
shef,	সেফ,	শেফ,	
bekey,	বেকে,	বেঁকে,	
hepara,	হেপার,	হাইপার,	
amanisha,	অ্যামান্স,	অমানিশা,	
sanaktokaran,	সনাক্তকরণ,	সনাক্তকরণ,	
ponchashjon,	পঞ্চাশজন,	পঞ্চাশজন,	
transcom,	ট্রান্সমক,	ট্রান্সকম,	
ajimpoor,	আজিমপুর,	আজিমপুর,	
janamukhi,	জনমুখু,	জনমুখী,	
chironton,	চিরন্তন,	চিরন্তন,	
debodebir,	দেবদেবীর,	দেবদেবীর,	
dephinition,	ডেফিনিশন,	ডেফিনেশন,	
chilahatee,	ছিলাহাটি,	চিলাহাটি,	
habshee,	হববী,	হাবশী,	
remacry,	রেমক্রি,	রেমাক্রী,	
rajotta,	রাজত্ব,	রাজত্ব,	
gonohottar,	গণহত্তর,	গণহত্যার,	
somoshtike,	সমস্তিকে,	সমষ্টিকে,	
bondira,	বন্দিরা,	বন্দীরা,	
prokolpotike,	প্রকল্পটিকে,	প্রকল্পটিকে,	
chhatrorai,	ছাত্ররাই,	ছাত্ররাই,	
nevate,	নেভাতে,	নেভাতে,	
lyanda,	ল্যান্ড,	ল্যান্ড,	
sampadonkari,	সম্পাদনকারী,	সম্পাদনকারী,	
godabari,	গদবারী,	গোদাবরী,	
manober,	মানবের,	মানবের,	
forma,	ফরমা,	ফর্মা,	
kkompito,	কম্পিত,	কম্পিত,	
pnouchute,	পৌঁছুতে,	পৌঁছুতে,	
falashrutiti,	ফলা্রুতিটি,	ফলশ্রুতি,	
ssumita,	সুমিতা,	সুমিতা,	
crescent,	ক্র্সেন্ট,	ক্রিসেন্ট,	
purbancoler,	পূর্বাঞ্চলের,	পূর্বাঞ্চলের,	
ekghore,	একঘরে,	একঘরে,	
divya,	দিব্য,	দিব্যা,	
soteciety,	সোটেকিশিই,	সোসাইটিতে,	
armeenian,	আরমেনিয়ান,	আর্মেনিয়ান,	
parser,	পার্সার,	পার্শ্বের,	
kkunti,	কুন্টি,	কুন্তী,	
longghoner,	লঙ্ঘনের,	লংঘনের,	
sachetonvabe,	সচেতনাতভাবে,	সচেতনভাবে,	
everestey,	ইভারেস্টে,	এভারেস্টে,	
masjidsaha,	মাজিদসহ,	মসজিদসহ,	
cholochchitraeei,	চলচ্চিত্রেই,	চলচ্চিত্রেই,	
summi,	সুমি,	সুমি,	
ankeeta,	অংকিতা,	অঙ্কিতা,	
shenior,	সেনিওর,	সিনিয়র,	
sikkharthirao,	শিক্ষার্থারীরা,	শিক্ষার্থীরাও,	
yuro,	ইউরো,	ইউরো,	
chootite,	চুটিতে,	ছুটিতে,	
iviem,	ইভিএম,	ইভিএম,	
bhagerei,	ভাগেরেই,	ভাগেরই,	
canflikt,	কাঙ্লিক্ট,	কনফ্লিক্ট,	
teresha,	তেরেসা,	টেরেসা,	
prasadhoni,	প্রসাধনী,	প্রসাধনী,	
domonmulok,	দমনমূলক,	দমনমূলক,	
rajshri,	রজশ্রী,	রাজশ্রী,	
sonali,	সোনালি,	সোনালী,	
jotharthovabey,	যথার্থভাবে,	যথার্থভাবে,	
technocrat,	টেকনোর্ট্র,	টেকনোক্র্যাট,	
chalochchitrogulor,	চলচ্তিত্রগুলোর,	চলচ্চিত্রগুলোর,	
macher,	মেচার,	মাছের,	
ganosakkharata,	গণস্ক্ষরত,	গণসাক্ষরতা,	
bagda,	বাজডা,	বাগদা,	
poromartho,	পরমর্থ,	পরমার্থ,	
shiqha,	শিখা,	শিখ,	
oporishodhito,	অপরিশোধিত,	অপরিশোধিত,	
mesenjarer,	মেসেন্জারের,	মেসেঞ্জারের,	
daun,	ডন,	ডাউন,	
samanyoi,	সামান্যই,	সামান্যই,	
jolrang,	জললরাং,	জলরঙ,	
yaq,	য্ক,	ইয়াক,	
bisshasi,	বিশ্বাসী,	বিশ্বাসী,	
pchok,	পচচক,	পাচক,	
bibechyo,	বিবেছ্য,	বিবেচ্য,	
societykey,	সোসিটিকে,	সোসাইটিকে,	
kansater,	কাঁসাতের,	কানসাটের,	
madhoori,	মাধুরি,	মাধুরী,	
yura,	ইউরা,	ইউরো,	
tenish,	টেনিশ,	টেনিস,	
dharavahikti,	ধারাভাহিক্তি,	ধারাবাহিকটি,	
sastra,	সাস্ত্র,	শাস্ত্র,	
horiddare,	হরিড্ড্রে,	হরিদ্বারে,	
tuning,	টাউনিং,	টিউনিং,	
musalmanra,	মুসলমননা,	মুসলমানরা,	
bibhonno,	বিভন্ন,	বিভন্ন,	
uponeeshod,	উপনিশদ,	উপনিষদ,	
nochiketa,	নচিকেত,	নচিকেতা,	
ramonar,	রামনার,	রমনার,	
monzeele,	মঞ্জিলে,	মঞ্জিলে,	
sikhar,	শিখর,	শিকার,	
moshleh,	মসলে,	মোসলেহ,	
wictor,	ভিচ্টর,	ভিক্টর,	
bagdadii,	বাগদাদী,	বাগদাদী,	
byabaharkareederke,	ব্যবহারকারীদেরকে,	ব্যবহারকারীদেরকে,	
porizoner,	পরিজনের,	পরিজনের,	
konoroop,	কোনরূপ,	কোনরূপ,	
okhhunno,	অখ্ষুন্ন,	অক্ষুণ্ণ,	
chhai,	ছাই,	ছাই,	
nirbachaker,	নির্বাচকের,	নির্বাচকের,	
sayaneda,	সায়েনেড,	সায়ানাইড,	
obhaarbhiu,	অভার্ভু,	ওভারভিউ,	
samajikotar,	সামজিকতার,	সামাজিকতার,	
akrup,	একরুপ,	একরূপ,	
graambaasheeo,	গ্রামবাশীও,	গ্রামবাসীও,	
suporichito,	সুপরিচিত,	সুপরিচিত,	
haipara,	হাইপার,	হাইপার,	
domonmoolok,	দমনমুলক,	দমনমূলক,	
karleo,	করলেও,	করলেও,	
anchaltite,	আঞচলতিতে,	অঞ্চলটিতে,	
brooklyn,	ব্রোকলিন,	ব্রুকলিন,	
saseeja,	সাশিজা,	সসেজ,	
abosare,	অবসারে,	অবসরে,	
saphallyar,	সাফল্যার,	সাফল্যের,	
set,	সেট,	সিট,	
cho,	চি,	ছোঁ,	
ghoorchen,	ঘোরছেন,	ঘুরেছেন,	
tyunar,	টুউনার,	টিউনার,	
kraantikaale,	ক্রান্টিকালে,	ক্রান্তিকালে,	
shilpojaat,	শিল্পজাত,	শিল্পজাত,	
chondrimaa,	চন্দ্রীমা,	চন্দ্রিমা,	
heepataitisa,	হেপোটাইটিস,	হেপাটাইটিস,	
roktokhoron,	রক্ততরণ,	রক্তক্ষরণের,	
drishtiheen,	দৃষ্টিহীন,	দৃষ্টিহীন,	
laisensa,	লাইসেন্স,	লাইসেন্স,	
chalochchitroi,	চলচিত্রী,	চলচ্চিত্রই,	
tahalo,	তাহল,	তাহলো,	
hart,	হার্ট,	হার্ট,	
dharavahiker,	ধারাবাহীকের,	ধারাবাহিকের,	
naitikatavodh,	নৈতিকাবযোদ,	নৈতিকতাবোধ,	
credit,	ক্রডিড,	ক্রেডিট,	
jatinke,	যাতিনকে,	যতীনকে,	
caramics,	ক্যারামিক্স,	সিরামিকস,	
ajibooner,	অজিবুনের,	আজীবনের,	
dhouto,	ধৌত,	ধৌত,	
paste,	পাস্টে,	পেষ্ট,	
bosano,	বসানো,	বসানো,	
vittitei,	ভিতিতেই,	ভিত্তিতেই,	
jyaqa,	জ্যাক,	জ্যাক,	
pratishthanikbhabe,	প্রতিষ্ঠানিকভাবে,	প্রাতিষ্ঠানিকভাবে,	
hedje,	হেজ,	হেজ,	
tourisht,	ট্রারিস্ট,	টুরিস্ট,	
chatoke,	চাটকে,	ছাতকে,	
byetasamyan,	ব্যাতসম্যান,	ব্যাটসম্যান,	
messengerer,	মেশেনারের,	মেসেঞ্জারের,	
nariiderke,	নারীদেরকে,	নারীদেরকে,	
rohosyo,	রহস্য,	রহস্য,	
vugorvey,	ভুগর্ভে,	ভূগর্ভে,	
naditi,	নদীতী,	নদীটি,	
pingnaa,	পিঙ্ন,	পিংনা,	
taap,	তাপ,	ট্যাপ,	
carpet,	কর্পেট,	কার্পেট,	
azadir,	আযাদির,	আজাদীর,	
seater,	সেটার,	সিটের,	
naditir,	নদীতীর,	নদীটির,	
duuma,	দুমা,	দুমা,	
pratiyogira,	প্রতিযোগীরা,	প্রতিযোগীরা,	
bone,	বোন,	বনে,	
bharma,	ভা্মা,	ভার্মা,	
siddhantoi,	সিদ্বনন্তই,	সিদ্ধান্তই,	
besorkarikoron,	বেসরকারীকরণ,	বেসরকারিকরণ,	
soinyosaho,	সৈন্যসহ,	সৈন্যসহ,	
skalarashipa,	স্কলারশিপ,	স্কলারশিপ,	
naker,	নাকের,	নেকের,	
ayantarkatika,	অ্যান্টার্ক্টিক,	অ্যান্টার্কটিকা,	
tintikey,	তিনটিকে,	তিনটিকে,	
tofat,	টফাট,	তফাৎ,	
sammatir,	সম্মাতির,	সম্মতির,	
ishan,	ঈশন,	ঈশান,	
jomanor,	জমানোর,	জমানোর,	
uponisoder,	উপনিশদের,	উপনিষদের,	
porikhar,	পরীক্ষার,	পরিখার,	
akhhunno,	অখ্ষুন্ন,	অক্ষুণ্ণ,	
suporichiti,	সুপরিচিতি,	সুপরিচিতি,	
boponer,	বোপনের,	বপনের,	
shiropar,	শিরপার,	শিরোপার,	
korleo,	করলেও,	করলেও,	
olympik,	অলিম্পিক,	অলিম্পিক,	
tader,	তাদের,	তদের,	
karlei,	করলেই,	করলেই,	
rajotwa,	রাজত্ব,	রাজত্ব,	
clintoner,	ক্লিন্টনের,	ক্লিনটনের,	
samajikatar,	সমাজিকতার,	সামাজিকতার,	
apocheshta,	অপচেস্ট,	অপচেষ্টা,	
joubankal,	যৌবনকাল,	যৌবনকাল,	
protista,	প্রতিষ্ট,	প্রতিষ্টা,	
bostubad,	বস্তুবাদ,	বস্তুবাদ,	
paakshenara,	পাক্সেনার,	পাকসেনারা,	
pleeta,	প্ল্যাট,	প্লেট,	
sangasthati,	সংস্ঠাতি,	সংস্থাটি,	
catholic,	কাঠলোিক,	ক্যাথলিক,	
konagulo,	কোনাগুলো,	কণাগুলো,	
tukrotey,	তুকরোতে,	টুকরোতে,	
rubidiyam,	রুবিডিয়াম,	রুবিডিয়াম,	
bisheshyo,	বিশেষ্য,	বিশেষ্য,	
poripakey,	পরিপাকে,	পরিপাকে,	
choudhurider,	চৌধুরিদের,	চৌধুরীদের,	
houstoner,	হাস্টনের,	হিউস্টনের,	
ogrodoot,	অগ্রদূত,	অগ্রদূত,	
obie,	অবিই,	ওবিই,	
elaakatite,	এলাকাতিতে,	এলাকাটিকে,	
dokaangulotey,	দোকানগুলোতে,	দোকানগুলোতে,	
jhankar,	ঝাঁকার,	ঝঙ্কার,	
jyaishtha,	জৈষ্ঠ্য,	জ্যৈষ্ঠ,	
angsogrohon,	অংশগ্রহণ,	অংশগ্রহন,	
kanar,	কানার,	কণার,	
keuoi,	কিউই,	কেউই,	
azizer,	আজিজের,	আজিজের,	
bizito,	বিজিত,	বিজিত,	
sohokaree,	সহকারি,	সহকারী,	
noiteekota,	নৈতিকতা,	নৈতিকতা,	
jomaanor,	জমানোর,	জমানোর,	
vastuvad,	বস্তুবাদ,	বস্তুবাদ,	
byakhyatito,	ব্যাখ্যাতিত,	ব্যাখ্যাতীত,	
serverer,	সার্ভারের,	সার্ভারের,	
neerbaho,	নির্বাহ,	নির্বাহ,	
riphleeksa,	রাইফ্লেক্স,	রিফ্লেক্স,	
letara,	লেটার,	লেটার,	
sachetanotamulok,	সচেতাননতম,	সচেতনতামূলক,	
paree,	পরী,	পাড়ে,	
hajjirhat,	হাজিরহাট,	হাজিরহাট,	
roialti,	রো়্লটি,	রয়্যালটি,	
sakshatkarer,	সাক্ষাৎকারের,	সাক্ষাৎকারের,	
ottacharer,	ওট্চাচারের,	অত্যাচারের,	
satorkovabe,	সতর্কভাবে,	সতর্কভাবে,	
aholar,	আহলার,	অহল্যার,	
beshirvagei,	বেশীরভাগেই,	বেশিরভাগেই,	
dunkan,	দুনকান,	ডানকান,	
ias,	আয়স,	আইএএস,	
lohar,	লোহার,	লোহার,	
dolgulo,	দলগুলো,	দলগুলো,	
miraclee,	মিরাকল,	মিরাকেল,	
shombhobonao,	সম্ভবনাও,	সম্ভবনাও,	
bonoshri,	বনশ্রী,	বনশ্রী,	
aairis,	আইরিশ,	আইরিস,	
shasankorta,	শাসনকর্তা,	শাসনকর্তা,	
ganokantha,	গণকণ্ঠ,	গণকণ্ঠ,	
chhutochhuti,	ছুটুছুটি,	ছুটোছুটি,	
swamijir,	স্বামীজীর,	স্বামীজীর,	
sobrakamer,	সব্রকমের,	সবরকমের,	
prokalpeo,	প্রকল্পেও,	প্রকল্পেও,	
somabeshti,	সমবেস্তি,	সমাবেশটি,	
bhortuki,	ভর্তুকি,	ভর্তুকি,	
soomi,	সুমি,	সুমি,	
bodhirta,	বোধির্া,	বধিরতা,	
drissoi,	দৃশ্যই,	দৃশ্যই,	
ragei,	রাগেই,	রাগেই,	
canflict,	কাঙ্লিক্ট,	কনফ্লিক্ট,	
bikargrosto,	বিকরগ্রস্ত,	বিকারগ্রস্ত,	
ralf,	রাফ,	রালফ,	
lettar,	লেটার,	লেটার,	
musolmanera,	মুসলমনেরা,	মুসলমানেরা,	
prothati,	প্রথাতি,	প্রথাটি,	
chesha,	চেস,	চেস,	
stena,	স্টেন,	স্টেন,	
bonvumite,	বনভূমিতে,	বনভূমিতে,	
shhow,	শা,	শো,	
golpokar,	গল্পকার,	গল্পকার,	
murader,	মুরাদের,	মুরাদের,	
ekoirokom,	একররমক,	একইরকম,	
paschimey,	পশ্চিমে,	পশ্চিমে,	
korta,	করত্,	করতা,	
pattern,	পাটার্ন,	প্যাটার্ন,	
totokshon,	ততক্ষণ,	ততক্ষন,	
yeaster,	ইয়েস্টার,	ইস্টের,	
bytes,	বিটেশ,	বাইটস,	
dalu,	ডালু,	ডালু,	
jini,	জিনি,	যিনি,	
shannal,	স্যান্লাল,	সান্যাল,	
horir,	হরির,	হরির,	
zubokti,	যুবকটি,	যুবকটি,	
graambaseer,	গ্রামবাসীর,	গ্রামবাসীর,	
majhari,	মাঝারী,	মাঝারী,	
chocchitrei,	চকচ্ছিত্রেই,	চলচ্চিত্রেই,	
sooresh,	সুরেশ,	সুরেশ,	
mosharroph,	মোশাররফ,	মশাররফ,	
crecenter,	ক্রেসেন্টের,	ক্রিসেন্টের,	
deul,	ডিউল,	দেউল,	
chalachchitreo,	চলচ্চিত্রে,	চলচ্চিত্রেও,	
haze,	হাজ,	হেজ,	
obhishangsan,	অভিসংসং,	অভিশংসন,	
gostheeti,	গোষ্ঠীতি,	গোষ্ঠীটি,	
