antarbhuttirmulok,	অন্তর্ভূত্ূমূলক,	অন্তর্ভুক্তিমূলক,	
fartha,	ফার্থ,	ফার্থ,	
anyorup,	অন্যরূপ,	অন্যরূপ,	
matthews,	ম্যাথিওস,	ম্যাথিউস,	
aembed,	এম্বেদ,	এম্বেড,	
aakkaash,	আকাশ,	আককাস,	
anodhikar,	অনোধীকার,	অনধিকার,	
bosontokey,	বসন্তকে,	বসন্তকে,	
moshion,	মশিন,	মোশন,	
farider,	ফরিদের,	ফরিদের,	
aiees,	আইএএস,	আইএএস,	
shaswato,	শাস্বত,	শাশ্বত,	
gojano,	গজান,	গজানো,	
naubom,	নবম,	নবম,	
wedanta,	বেন্তা,	বেদান্ত,	
bem,	বেম,	বিম,	
azibon,	আজিবন,	আজীবন,	
shikkharthirao,	শিক্ষার্থীরা,	শিক্ষার্থীরাও,	
baaraak,	বারাক,	বারাক,	
setike,	সেটিকে,	সেটিকে,	
apohoron,	অপহরণ,	অপহরন,	
satarkata,	সর্তকতা,	সতর্কতা,	
muhammad,	মুহাম্মাদ,	মুহম্মদ,	
niketan,	নিকেতান,	নিকেতন,	
nirbahey,	নির্বাহে,	নির্বাহে,	
orthanitir,	অর্থনীটির,	অর্থনীতির,	
ekooghore,	একঘরে,	একঘরে,	
bondhutto,	বন্ধুত্ব,	বন্ধুত্ত্ব,	
breakthraugh,	বৃক্রাঘার,	ব্রেকথ্রু,	
deenes,	ডিনেস,	দীনেশ,	
klaud,	ক্লাউড,	ক্লাউড,	
bed,	বেড,	বেদ,	
ankush,	অঙ্কুষ,	অংকুশ,	
bujhechhila,	বুঝেছিল,	বুঝেছিল,	
khagen,	খাগেন,	খগেন,	
titlee,	টিটলে,	টাইটেল,	
bukhari,	বুখারী,	বুখারি,	
tintikey,	তিনটিকে,	তিনটিকে,	
juktorastrosoho,	যুক্তরাস্ত্রস,	যুক্তরাষ্ট্রসহ,	
ishpredshhit,	ইসপ্রেদিষিত,	স্প্রেডশীট,	
kuntee,	কুন্তি,	কুন্তী,	
taholei,	তহলেই,	তাহলেই,	
jeebjontu,	জীবন্তু,	জীবজন্তু,	
thaken,	থাকেন,	থাকেন,	
konroop,	কনরূপ,	কোনরূপ,	
inziniyarim,	ইন্জিনিয়ারিং,	ইঞ্জিনিয়ারিং,	
vageroi,	ভাগেরই,	ভাগেরই,	
casper,	কাসপার,	ক্যাসপার,	
shikarder,	শিকার্ডের,	শিকারদের,	
garden,	গারদেন,	গার্ডেন,	
beam,	বিম,	বিম,	
omarendro,	অমারেন্দ্র,	অমরেন্দ্র,	
ralapha,	রলফ,	রালফ,	
nirbahe,	নির্বাহে,	নির্বাহে,	
shkolashtik,	স্কলাস্টিক,	স্কলাস্টিক,	
musharraf,	মুশাররফ,	মশাররফ,	
engrejra,	ইংরেজরা,	ইংরেজরা,	
hundai,	হান্ডাই,	হুন্দাই,	
bjp,	বিজিপি,	বিজেপি,	
oitijhye,	ঐতিহ্যে,	ঐতিহ্যে,	
steit,	স্টেট,	স্টেইট,	
utkhaat,	উত্খাত,	উত্খাত,	
mashtersh,	মাস্টার্স,	মাস্টার্স,	
lishensh,	লিসেন্স,	লাইসেন্স,	
dokan,	ডোকান,	দোকান,	
abheedhaneeck,	অভিধানিক,	অভিধানিক,	
saholobhyotar,	সহলভয্তার,	সহজলভ্যতার,	
omanisa,	অমানিশা,	অমানিশা,	
eebhiem,	ইভিমে,	ইভিএম,	
elakashaho,	এলাকাসহ,	এলাকাসহ,	
sammatitey,	সম্মতিতে,	সম্মতিতে,	
anchalti,	অঞ্চলটি,	অঞ্চলটি,	
dayra,	দৈর,	ডেরা,	
mag,	মগ,	এমএজি,	
sikkhokbreendo,	শিক্ষাবৃক্দ,	শিক্ষকবৃন্দ,	
mataram,	মাতরাম,	মাতরম,	
veniser,	ভেনিসের,	ভেনিসের,	
jakkher,	যক্ষের,	যক্ষের,	
tarokareer,	তারকারীর,	তরকারীর,	
odurey,	অদূরে,	অদুরে,	
mase,	মাসে,	মাসে,	
probeshan,	প্রবেশন,	প্রবেশন,	
lotheeran,	লাথিরণ,	লুথেরান,	
uponisod,	উপনিষোদ,	উপনিষদ,	
twakei,	ত্বকেই,	ত্বকেই,	
bhogiroth,	ভগীরথ,	ভগীরথ,	
kaansaat,	কানসাত,	কানসাট,	
cholochchitrake,	চলচ্তিত্রকে,	চলচ্চিত্রকে,	
categoryr,	ক্যাটেগরির,	ক্যাটাগরির,	
direektareeta,	ডিরেক্টরাইট,	ডিরেক্টরেট,	
jotinkey,	যতিনকে,	যতীনকে,	
konishtho,	কনিষ্ঠ,	কনিষ্ঠ,	
amitrakkhor,	অমিত্রক্ষ,	অমিত্রাক্ষর,	
shektara,	সেক্টর,	সেক্টর,	
besuro,	বেশূরো,	বেসুর,	
aqram,	একরাম,	আকরাম,	
nischitarupey,	নিশ্চিতরূপে,	নিশ্চিতরূপে,	
aviyojan,	অভিযোন,	অভিযোজন,	
janalo,	জানালো,	জানালো,	
morathee,	মোরাঠী,	মরাঠি,	
ranodeep,	রণদীপ,	রণদীপ,	
gaddaafee,	গদ্যাফি,	গাদ্দাফী,	
templet,	টেম্পলেট,	টেম্পলেট,	
beeswasee,	বিশ্বাসী,	বিশ্বাসে,	
chaalke,	চালকে,	চালকে,	
eksapresana,	এক্সপ্রেসন,	এক্সপ্রেশন,	
jakso,	যক্ষ,	যক্ষ,	
graambaasi,	গ্রাম্বাসী,	গ্রামবাসী,	
muhammod,	মুহাম্মদ,	মুহম্মদ,	
soundarja,	সৌন্দর্য্য,	সৌর্ন্দয্য,	
meghnadbadh,	মাহনদ্বাধ,	মেঘনাদবধ,	
parqing,	পার্কিং,	পার্কিং,	
abheedhaanik,	অভিধানিক,	অভিধানিক,	
foshter,	ফোস্টার,	ফস্টার,	
soinyosaho,	সৈন্যসহ,	সৈন্যসহ,	
byaboharkariderkey,	ব্যবহারকারীকে,	ব্যবহারকারীদেরকে,	
prettii,	প্রেতী,	প্রিটি,	
mulgato,	মুলগত,	মূলগত,	
zozyota,	যোজ্যতা,	যোজ্যতা,	
chhatto,	ছট্ট,	ছোট্ট,	
otyachari,	অট্যাচারী,	অত্যাচারী,	
shajano,	সাজন,	সাজানো,	
bhalapuka,	ভলাপুক,	ভোলাপুক,	
chalachchitro,	চলচিত্র,	চলচ্চিত্র,	
pounchute,	পৌঁছুতে,	পৌঁছুতে,	
vorodwaj,	ভরদভাজ,	ভরদ্বাজ,	
noitikbhabey,	নৈতিকভাবে,	নৈতিকভাবে,	
byabosthar,	ব্যবস্থার,	ব্যাবস্থার,	
chaity,	চাইতি,	চৈতি,	
janasangjog,	জনসংযোগ,	জনসংযোগ,	
bimaataa,	বিমতা,	বিমাতা,	
motabolombira,	মোটবালম্বীরা,	মতাবলম্বীরা,	
dosha,	দশা,	দোসা,	
vastuvad,	বস্তুবাদ,	বস্তুবাদ,	
siropar,	শিরপার,	শিরোপার,	
gobeshona,	গবেষণা,	গবেষনা,	
heenna,	হিন্ন,	হেনা,	
shtone,	স্টনে,	স্টোন,	
shhikar,	শিকড়,	শিকার,	
sotorkobhabe,	সর্তকভাবে,	সতর্কভাবে,	
machsaho,	মাসসহ,	মাছসহ,	
sadeena,	সাদিনা,	সাডেন,	
oitijjhe,	ঐতিজ্যে,	ঐতিহ্যে,	
governorer,	গভর্নরের,	গভর্ণরের,	
janosonjog,	জনসংযোগ,	জনসংযোগ,	
aholyar,	অহল্যার,	অহল্যার,	
mandonder,	মানদন্ডের,	মানদণ্ডের,	
roomantic,	রোম্যান্টিক,	রোমান্টিক,	
durgotsav,	দুর্গতস্ব,	দুর্গোৎসব,	
akritakarjo,	অকৃতিরার্য,	অকৃতকার্য,	
valobase,	ভালবাসে,	ভালোবাসে,	
rotheen,	রথিন,	রথীন,	
iston,	ইস্টন,	স্টোন,	
khappor,	খাপর,	খপ্পর,	
yukeliptash,	ইউকেলিপ্টাস,	ইউক্যালিপ্টাস,	
zack,	যাক,	জ্যাক,	
gafeeloti,	গেফলিট,	গাফিলতি,	
smaroker,	স্মরকের,	স্মারকের,	
bhageroi,	ভাগেরই,	ভাগেরই,	
vishnuu,	ভিষ্ণু,	বিষ্ণু,	
juktorastrer,	যুক্তরাস্ট্রের,	যুক্তরাষ্ট্রের,	
gujaber,	গুজবের,	গুজবের,	
bhotara,	ভোটর,	ভোটার,	
daakticketer,	ডাক্তিকেটর,	ডাকটিকিটের,	
phiqsim,	ফিকসিম,	ফিক্সিং,	
kode,	কোডে,	কোডে,	
bhandaare,	ভান্ডারে,	ভাণ্ডারে,	
songrahak,	সংগ্রহক,	সংগ্রাহক,	
rajtantrey,	রাজতন্ত্রে,	রাজতন্ত্রে,	
ekroop,	একরুপ,	একরূপ,	
nischitobhave,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
meeting,	মেটিং,	মিটিং,	
sahooseekotar,	সহসিকতার,	সাহসিকতার,	
teemothee,	তিমথী,	টিমোথি,	
bikretaara,	বিক্রেটার,	বিক্রেতারা,	
bodhirata,	বধিতরা,	বধিরতা,	
shite,	শিটে,	শীতে,	
shoreef,	শরীফ,	শরিফ,	
vromoner,	ভ্রমণের,	ভ্রমণের,	
dharabahikbhabey,	ধারাবিকভাবে,	ধারাবাহিকভাবে,	
sharthe,	সার্থে,	স্বার্থে,	
hariken,	হারিকেন,	হ্যারিকেন,	
uipoka,	উইপোক,	উইপোকা,	
bikaargrasta,	বিক্রাগ্রস্ত,	বিকারগ্রস্ত,	
chinto,	চিন্ত,	চিনতো,	
phokskon,	ফক্ষণ,	ফক্সকন,	
lokeshon,	লোকেশন,	লোকেশন,	
ingrejraa,	ইংরেজরা,	ইংরেজরা,	
dakkhinangsho,	দক্ষিণাংশ,	দক্ষিণাংশ,	
hedje,	হেজ,	হেজ,	
cholochchitragulor,	চলচ্ষিত্রগুলোর,	চলচ্চিত্রগুলোর,	
ap,	এপি,	আপ,	
bhramankale,	ভ্রমণকালে,	ভ্রমণকালে,	
raiter,	রেইটার,	রাইটের,	
mulbhitti,	মুলভীত্তি,	মূলভিত্তি,	
saarbhaarti,	সার্ভারটি,	সার্ভারটি,	
licencer,	লিসেন্সের,	লাইসেন্সের,	
ganohotyake,	গণহত্যকে,	গণহত্যাকে,	
satyaki,	সত্যকি,	সাত্যকি,	
pubancholer,	পুবন্ছলের,	পূর্বাঞ্চলের,	
katbey,	কাটবে,	কাটবে,	
sammatir,	সম্তাির,	সম্মতির,	
saurce,	সার্স,	সোর্স,	
lecense,	লেসেন্স,	লাইসেন্স,	
chhaai,	ছাই,	ছাই,	
sipht,	সিফট,	শিফট,	
cyanide,	স্যানিডে,	সায়ানাইড,	
bhenasa,	ভেনসস,	ভেনাস,	
jonoshomaj,	জনসমাজ,	জনসমাজ,	
onshogrohoner,	অংশগ্রহণের,	অংশগ্রহনের,	
oedipus,	আদিপাস,	ইডিপাস,	
dharabahikeo,	ধারাবাহিকেও,	ধারাবাহিকেও,	
spreadsiit,	স্প্রদেশিৎ,	স্প্রেডশীট,	
roomantika,	রোমান্টিক,	রোমান্টিক,	
shilpojat,	শিল্পজাত,	শিল্পজাত,	
naagaalyand,	নাগল্যান্ড,	নাগাল্যান্ড,	
roialti,	রয়লটি,	রয়্যালটি,	
homasha,	হোমস,	হোমস,	
aiieubi,	এইএয়েবি,	আইইউবি,	
oichchheek,	ঐচ্ছিক,	ঐচ্ছিক,	
daltagi,	দলটতগী,	দলত্যাগী,	
hartz,	হরত্জ,	হার্জ,	
farex,	ফরেক্স,	ফরেক্স,	
jesthaa,	জেষ্ঠায,	জ্যেষ্ঠা,	
seekkhaarthirao,	শিক্ষার্থীরা,	শিক্ষার্থীরাও,	
neermol,	নির্মল,	নির্মল,	
eshkol,	এসকল,	এসকল,	
anshograhone,	অংশগ্রহণে,	অংশগ্রহনের,	
hijriite,	হিজরিতে,	হিজরীতে,	
paksenaara,	পক্সেনার,	পাকসেনারা,	
ponchasjon,	পঞ্চামশন্য,	পঞ্চাশজন,	
akkas,	একাশ,	আককাস,	
dinner,	দিনের,	ডিনার,	
sharther,	সার্থের,	স্বার্থের,	
obhijojon,	অভিযোজন,	অভিযোজন,	
korleyi,	করলেই,	করলেই,	
mashajida,	মাসজিদা,	মসজিদ,	
chase,	চাষে,	চেস,	
sangharshik,	সংস্রষিক,	সাংঘর্ষিক,	
drishyoi,	দৃশ্যই,	দৃশ্যই,	
uporitaley,	উপরিতালে,	উপরিতলে,	
laisensa,	লেসেন্স,	লাইসেন্স,	
ohalyar,	অহল্যার,	অহল্যার,	
safin,	সফিন,	সাফিন,	
akpaase,	একপাশে,	একপাশে,	
pirujalee,	পিরুজালি,	পিরুজালী,	
degreer,	ডিগ্রীর,	ডিগ্রির,	
rakibul,	রাকিবুল,	রকিবুল,	
postay,	পোষ্টে,	পোষ্টে,	
anciint,	অ্যানাইন্ট,	এনসিয়েন্ট,	
taffsher,	তাফসের,	তাফসীর,	
durgoto,	দুর্গত,	দূর্গত,	
manjurul,	মঞ্জুরুল,	মনজুরুল,	
kanshater,	কাঁসাতের,	কানসাটের,	
cheenja,	চিঞ্জ,	চেঞ্জ,	
restuarant,	রেস্টুরেন্ট,	রেষ্টুরেন্ট,	
sparsher,	স্পার্সের,	স্পর্শের,	
bilati,	বিলাটি,	বিলাতী,	
lyaata,	ল্যাট,	ল্যাটা,	
dobhara,	দোভারা,	ডোভার,	
kara,	কারা,	কর,	
jhonkar,	ঝংকার,	ঝঙ্কার,	
vandare,	ভান্ডারে,	ভাণ্ডারে,	
elaakaa,	এলাকা,	এলাকা,	
tata,	তোটো,	তাতা,	
dharavassyokar,	ধারাভাশ্যকর,	ধারাভাষ্যকার,	
agomone,	অগমনে,	আগমনে,	
obhijojan,	অভিযোজন,	অভিযোজন,	
wagadada,	ভগদদ,	বাগদাদ,	
fix,	ফিক্স,	ফিক্স,	
masterer,	মস্তারের,	মাস্টারের,	
choudhooreeo,	চৌধুরিও,	চৌধুরীও,	
manohputo,	মনোহপত,	মনঃপুত,	
saleha,	সললহ,	সালেহা,	
istara,	ইস্টার,	ইস্টার,	
shkora,	স্কোর,	স্কোর,	
baitsh,	বৈয়স,	বাইটস,	
nilabho,	নিলভ,	নীলাভ,	
texaser,	ট্যাস্কের,	টেক্সাসের,	
hafez,	হাফেজ,	হাফেয,	
kk,	কাক,	কেকে,	
jonoikaa,	জননিকা,	জনৈকা,	
lendol,	লেন্ডল,	লেন্ডল,	
syfy,	সিফি,	সাইফাই,	
chilahatee,	চিলাহাটি,	চিলাহাটি,	
biswashi,	বিশ্বাসী,	বিশ্বাসই,	
nirapottamulak,	নিরপত্তমূলক,	নিরাপত্তামূলক,	
gandho,	গন্ধ,	গন্ধ,	
kemonay,	কেমনে,	কেমনে,	
rautine,	রাউটিন,	রুটিন,	
nopdikey,	নপদিকে,	নদীকে,	
bodh,	বধ,	বোধ,	
fatakeshto,	ফটকেস্ট,	ফাটাকেষ্ট,	
poper,	পপার,	পোপের,	
soomitrar,	সুমিত্রার,	সুমিত্রার,	
jathon,	যথন,	যথন,	
uparjaner,	উপারজনের,	উপার্জনের,	
oshovyo,	অস্বও,	অসভ্য,	
neemitto,	নিমিত্ত,	নিমিত্ত,	
mumtaz,	মমতাজ,	মুমতাজ,	
monjooshree,	মন্জুসরী,	মঞ্জুশ্রী,	
somaazer,	সমাজের,	সমাজের,	
haila,	হইল,	হইল,	
akreetokarjo,	অকৃতিরক্য,	অকৃতকার্য,	
risort,	রিসর্ট,	রিসোর্ট,	
dhani,	ধনী,	ধানি,	
sikh,	শিখ,	শিখ,	
poddhotitei,	পদ্ধতিতেই,	পদ্ধতিতেই,	
trup,	ট্রুপ,	ট্রুপ,	
shangkulaan,	সংকুলান,	সংকুলান,	
balabhadra,	বলভাদরর,	বলভদ্র,	
samaveshke,	সমবেশকে,	সমাবেশকে,	
pathanirdeshana,	পথনির্দেশনা,	পথনির্দেশনা,	
nagorikderkey,	নাগরিকদেরকে,	নাগরিকদেরকে,	
shaahocharjo,	সাহাচার্য,	সাহচর্য,	
sahoocorzoe,	সাহকর্যে,	সাহচর্যে,	
taioyana,	টাইয়ান,	তাইওয়ান,	
lajika,	লজিকা,	লজিক,	
murli,	মুর্লি,	মুরলী,	
obosorer,	অবসের,	অবসরের,	
ajuhat,	অযুহত,	অজুহাত,	
duckticketer,	ডাক্তিকটির,	ডাকটিকিটের,	
odhito,	অধিত,	অধীত,	
tourist,	ট্যারিস্ট,	টুরিস্ট,	
saifai,	সাইফাই,	সাইফাই,	
jansa,	জনসা,	জোন্স,	
horas,	হরাস,	হোরাস,	
ujobekeestaner,	উজবেক্ষিতাঁার,	উজবেকিস্তানের,	
sanaktokoroner,	সনাক্তকরণের,	সনাক্তকরণের,	
uttar,	উত্তর,	উওর,	
siddhantake,	সিদ্ধান্তকে,	সিদ্ধান্তকে,	
chalochchitrer,	চলচিত্রের,	চলচ্চিত্রের,	
maudelke,	মৌদলেলকে,	মডেলকে,	
estaniya,	এস্টেনিয়া,	এস্তোনিয়া,	
raktaksharaney,	রক্তকারণণে,	রক্তক্ষরণে,	
akik,	একিক,	আকিক,	
kunti,	কুন্তি,	কুন্তী,	
