dhonuker,	ধ্নুকের,	ধনুকের,	
nirbaaher,	নির্বাহের,	নির্বাহের,	
stabhdho,	স্তভ্ধ,	স্তব্ধ,	
durvagyer,	দুর্ভাগ্যের,	দূর্ভাগ্যের,	
academia,	একাডেমিয়া,	একাডেমিয়া,	
maasu,	মাসু,	মাসু,	
procesor,	প্রসেসর,	প্রসেসর,	
paulke,	পালকে,	পালকে,	
decca,	ডেকা,	ডেকা,	
dai,	দাই,	দৈ,	
somaaze,	সমাজে,	সমাজে,	
yani,	যনি,	যোনী,	
taholeo,	টাললেও,	তাহলেও,	
vobishyatke,	ভবিষ্যত্কে,	ভবিষ্যৎকে,	
melborron,	মেলবররন,	মেলবোর্ন,	
bhai,	ভাই,	ভাই,	
zaanao,	জানাও,	জানাও,	
halka,	হাক্ক,	হালকা,	
granthasomuher,	গ্রন্থাসমূহের,	গ্রন্থসমূহের,	
benifeet,	বেনিফিট,	বেনিফিট,	
chetonake,	ছেটনাকে,	চেতনাকে,	
ashorti,	আসর্তি,	আসরটি,	
asamartha,	অসমর্থ,	অসমর্থ,	
udbigno,	উদ্বিজ্ন,	উদ্বিগ্ন,	
shinta,	শিন্তা,	শিন্তো,	
revishion,	রেভিশন,	রিভিশন,	
romantikota,	রোমান্তিকতা,	রোমান্টিকতা,	
abanijjik,	অবানিজ্জিক,	অবাণিজ্যিক,	
grajuate,	গ্র্যাজাত,	গ্রাজুয়েট,	
handbill,	হ্যান্ডবিল,	হ্যান্ডবিল,	
nodisoho,	নদীশহ,	নদীসহ,	
pajorer,	পাজরের,	পাঁজরের,	
pokkher,	পক্ষের,	পক্ষের,	
grajuete,	গ্রেজুয়েট,	গ্রাজুয়েট,	
prasadhon,	প্রসাধন,	প্রসাধন,	
murfy,	মারফি,	মারফি,	
mali,	মলি,	মলি,	
aisalyandiqa,	আইসল্যননিক,	আইসল্যান্ডিক,	
anto,	অন্ত,	আন্ত,	
elaakagulor,	এলাকাগুলোর,	এলাকাগুলোর,	
bolteo,	বলতেও,	বলতেও,	
kistitey,	কিস্তিতে,	কিস্তিতে,	
niraanondo,	নিরানন্দ,	নিরানন্দ,	
shikkhakata,	শিক্ষকতা,	শিক্ষকতা,	
ovinetader,	অভিনেতদার,	অভিনেতাদের,	
jibonjapone,	জীবনযাপনে,	জীবনযাপনে,	
loyara,	লোয়ার,	লোয়ার,	
arjoder,	অর্জদের,	আর্যদের,	
gamchhaa,	গামচা,	গামছা,	
prakalpogulir,	প্রকল্পগুলির,	প্রকল্পগুলির,	
musafeer,	মুসাফীর,	মুসাফির,	
deebit,	দিবিত,	ডেবিট,	
yadu,	যদদু,	যদু,	
stori,	স্তরর,	স্টোরি,	
vau,	ভাউ,	ভাউ,	
obosthatei,	অবস্থাতেই,	অবস্থাতেই,	
lop,	লোপ,	লোপ,	
texus,	টেক্স,	টেক্সাস,	
chayeesa,	চোয়েস,	চয়েস,	
guinee,	গুণি,	গিনি,	
bonshe,	বংশে,	বংশে,	
neejekeo,	নিজেকেও,	নিজেকেও,	
chanir,	চানির,	ছানির,	
udarey,	উদারে,	উদরে,	
bhabisshatke,	ভবিষ্যতকে,	ভবিষ্যৎকে,	
juktorastrokey,	যুক্তরাস্ট্রকে,	যুক্তরাষ্ট্রকে,	
prosashonik,	প্রশাসনিক,	প্রসাশনিক,	
prostutkaraker,	প্রস্তুতকারকের,	প্রস্তুতকারকের,	
natnii,	নাটনী,	নাতনী,	
obosor,	অবসর,	অবসর,	
mrittikar,	মৃত্মিকার,	মৃত্তিকার,	
drisho,	দৃশ,	দৃশ্য,	
electian,	ইলেকশন,	ইলেকশন,	
odhikrito,	অধিকৃত,	অধিকৃত,	
akkhorey,	আক্ষরে,	অক্ষরে,	
chiro,	চিরো,	চির,	
obheeneta,	অভিনেতা,	অভিনেতা,	
janmadag,	জন্মাদাগ,	জন্মদাগ,	
paintings,	পেন্টিংস,	পেইন্টিংস,	
ashamartho,	অসমম্থ্থ,	অসমর্থ,	
doc,	ডকক,	ডক,	
nimnorup,	নিম্নরূপ,	নিম্নরূপ,	
neirajyer,	নেরাজ্যের,	নৈরাজ্যের,	
japanider,	জাপানীদের,	জাপানিদের,	
aropito,	আরোপিত,	আরোপিত,	
khunike,	খুনিকে,	খুনিকে,	
hooker,	হুকের,	হুকের,	
sootout,	সোটাউট,	শ্যুটআউট,	
manglo,	মাংল,	মোংলা,	
aantoh,	আন্তঃ,	আন্ত,	
ostheesandhite,	অস্থিসন্ধীতে,	অস্থিসন্ধিতে,	
andamane,	আন্দমানে,	আন্দামানে,	
sidhartha,	সিধার্থ,	সিদ্ধার্থ,	
shaapholle,	সাফলে,	সাফল্যে,	
koutukkar,	কৌতুক্তার,	কৌতুককর,	
nobobibahito,	নববিহাহিত,	নববিবাহিত,	
jerusaleme,	জেরুসলেমে,	জেরুজালেমে,	
janaboler,	জনাবলের,	জনবলের,	
tattsanglagno,	তৎ্তসংগ্যান,	তৎসংলগ্ন,	
jeebonjaponer,	জীবনযাপনের,	জীবনযাপনের,	
sthapotyobid,	স্থাপত্যবিদ,	স্থাপত্যবিদ,	
shoodhrey,	শুধ্রে,	শুধরে,	
peeqaaso,	পিকাশো,	পিকাসো,	
satarkatamulak,	সতারকতমকূলক,	সতর্কতামূলক,	
spokeen,	স্পকিন,	স্পোকেন,	
nirapekkhota,	নিরপপক্ষতা,	নিরপেক্ষতা,	
turisom,	তুরিশম,	ট্যুরিজম,	
nishkashito,	নিষ্কাশিত,	নিষ্কাশিত,	
durgatoder,	দুর্গটদের,	দুর্গতদের,	
shikkhakatar,	শিক্ষকতার,	শিক্ষকতার,	
radan,	রদান,	রেডিয়ান,	
asaho,	আসহ,	অসহ,	
shubshcription,	সাস্ক্রিপশন,	সাবস্ক্রিপশন,	
sansthaguli,	সংস্থাগুলি,	সংস্থাগুলি,	
shelimer,	সেলিমের,	সেলিমের,	
gosthite,	গোষ্ঠিতে,	গোষ্ঠীতে,	
mashterpeesh,	মাস্টারপিস,	মাস্টারপিস,	
kulungi,	কুলুঙ্গি,	কুলুঙ্গি,	
ivan,	ইভান,	ইভান,	
suj,	সুজ,	সুজ,	
holdinsa,	হললিস্স,	হোল্ডিংস,	
soudagar,	সৌদগর,	সওদাগর,	
kabjir,	কব্জির,	কবজির,	
krishijomi,	কৃষিজমী,	কৃষিজমি,	
dokandaarra,	দোকানদারাা,	দোকানদাররা,	
khalider,	খলিদের,	খালিদের,	
heelir,	হেলির,	হিলির,	
boondhya,	বন্ধ্যা,	বন্ধ্যা,	
doltyag,	দলত্যাগ,	দলত্যাগ,	
thimer,	থিমের,	থিমের,	
natepaed,	নাটপেড,	নোটপ্যাড,	
agee,	এজি,	এজে,	
santosher,	সন্তোষের,	সন্তোষের,	
ovidhaney,	অভিধানে,	অভিধানে,	
manabgosthi,	মানবগগ্ঠী,	মানবগোষ্ঠী,	
gowri,	গৌরী,	গৌরি,	
heem,	হিম,	হিম,	
urjeentina,	ইর্জেন্টিন,	আর্জেন্টিনা,	
citizenship,	সিটিজেন্সিপ,	সিটিজেনশিপ,	
erpurbe,	এরপূর্বে,	এরপূর্বে,	
ghatee,	ঘটটি,	ঘাটি,	
demoqratic,	ডেমোক্রেটিক,	ডেমোক্র্যাটিক,	
songkeertan,	সংকীর্তন,	সংকীর্তন,	
fibar,	ফিবার,	ফাইবার,	
latari,	ল্যাটারি,	লটারী,	
deshtroyer,	দেশ্ট্রের,	ডেস্ট্রয়ার,	
aaisotop,	এইসতত,	আইসোটোপ,	
kyareeta,	ক্যারেট,	ক্যারেট,	
architeectural,	আর্কিটেকচ্রাল,	আর্কিটেকচারাল,	
mesapatemiya,	মেসপোটেমিয়া,	মেসোপটেমিয়া,	
mohammadke,	মোহাম্মাদকে,	মুহাম্মদকে,	
dharatike,	ধারাটিকে,	ধারাটিকে,	
femina,	ফেমিনা,	ফেমিনা,	
vandari,	ভান্ডারি,	ভাণ্ডারী,	
moshzidgulor,	মস্িিগুলোর,	মসজিদগুলোর,	
poribestito,	পরিবেশ্টিত,	পরিবেষ্টিত,	
manobhitoishi,	মনোভিতিশী,	মানবহিতৈষী,	
baardsh,	বার্ডস,	বার্ডস,	
oitijjhake,	ঐতিহ্যকে,	ঐতিহ্যকে,	
oncholtir,	অঞ্চলটির,	অঞ্চলটির,	
chalacchilo,	চালাচ্ছিল,	চালাচ্ছিল,	
sbatantrabhave,	স্বতানত্রভাবে,	স্বতন্ত্রভাবে,	
libaral,	লিবারেল,	লিবারাল,	
subscription,	সাবস্কিপশন,	সাবস্ক্রিপশন,	
turkyra,	তুর্কীরা,	তুর্কিরা,	
breekim,	ব্রিকিং,	ব্রেকিং,	
saltha,	সল্থা,	সালথা,	
topoor,	তপুর,	তপুর,	
mafidul,	মাফিডুল,	মফিদুল,	
adhikrito,	অধিকৃত,	অধিকৃত,	
ghumacchen,	ঘুমাচ্ছেন,	ঘুমাচ্ছেন,	
orizin,	অরিজিন,	অরিজিন,	
argentinakey,	অর্গেন্টিকেকে,	আর্জেন্টিনাকে,	
niropekshbhabe,	নিরপপক্ষভাবে,	নিরপেক্ষভাবে,	
only,	অনলি,	ওনলি,	
drainaje,	ড্রেইনেজ,	ড্রেনেজ,	
sangasthake,	সংগ্ঠাকে,	সংস্থাকে,	
asammata,	আসামাতা,	অসম্মত,	
peekaaso,	পিকাশো,	পিকাসো,	
amaratta,	আমরতত্তা,	অমরত্ব,	
ekkoshi,	এককশি,	এককোষী,	
nobi,	নবী,	নবি,	
osthisandhite,	অস্থিসন্ধীতে,	অস্থিসন্ধিতে,	
mudir,	মুদীর,	মুদীর,	
chhilonaa,	ছিলনা,	ছিলোনা,	
aslilota,	আসলিলতা,	অশ্লীলতা,	
rupar,	রূপার,	রুপার,	
lekho,	লেখ,	লেখ,	
jayanta,	জায়ন্ট,	জায়ান্ট,	
manjurer,	মঞ্জুরের,	মঞ্জুরের,	
chargin,	চার্জিন,	চার্জিং,	
vabun,	ভাবুন,	ভাবুন,	
bandidasha,	বন্দিদশা,	বন্দীদশা,	
shoodhoo,	শোধু,	শুধু,	
hyendbuk,	হ্যান্ডবুক,	হ্যান্ডবুক,	
tendon,	তেন্ডন,	টেন্ডন,	
mahinda,	মহিন্দা,	মাহিন্দা,	
abasthantor,	অবস্থান্তর,	অবস্থান্তর,	
bagdaaner,	বাগদানের,	বাগদানের,	
parlaur,	পারলার,	পার্লার,	
gavaskarer,	গভস্কারের,	গাভাস্কারের,	
aksapharda,	এক্সফোর্ড,	অক্সফোর্ড,	
shomrater,	শম্রাতের,	সম্রাটের,	
chintashil,	চিন্তাশীল,	চিন্তাশীল,	
ananno,	অনায্ন,	অনন্য,	
noirajya,	নৈরাজ্য,	নৈরাজ্য,	
bondider,	বন্দিদের,	বন্দীদের,	
ujjho,	উজ্ঝ,	উহ্য,	
mehnaj,	মেহনাজ,	মেহনাজ,	
onkit,	অংকিত,	অঙ্কিত,	
jounotake,	যৌনতাকে,	যৌনতাকে,	
patent,	পোটেন্ট,	পেটেন্ট,	
shinger,	সিঙ্গের,	শৃঙ্গের,	
resortti,	রিসোর্টি,	রিসোর্টটি,	
bakoron,	বাকরণ,	ব্যকরণ,	
sarkaaser,	সরকাশের,	সার্কাসের,	
bojhaan,	বোঝান,	বোঝান,	
biletter,	বিলেট্টার,	বিলেতের,	
kyatagori,	ক্যাতলগরর,	ক্যাটাগরি,	
meilke,	মেলকে,	মেইলকে,	
agronthita,	অগ্রন্থিত,	অগ্রন্থিত,	
pratipad,	প্রতিপাদ,	প্রতিপদ,	
jhure,	ঝুরে,	ঝুরে,	
dhaser,	ধাসের,	ধসের,	
galili,	গ্যালিলি,	গালিলি,	
kodar,	কোদার,	কদর,	
angsagrohonkari,	অংশগ্রহণকারী,	অংশগ্রহনকারী,	
sharokti,	শারকটি,	স্মারকটি,	
railline,	রেইলিন,	রেললাইন,	
durgotoder,	দুর্গটদের,	দুর্গতদের,	
chalachchitragulo,	চলচ্চিত্রগুলো,	চলচ্চিত্রগুলো,	
chowdhory,	চৌধরী,	চৌধরী,	
secand,	সেকন্ড,	সেকেন্ড,	
thoomree,	থুমি,	ঠুমরী,	
ananumodita,	অনানুমোদিত,	অননুমোদিত,	
kaalaamer,	কালামের,	কালামের,	
troops,	ট্রাস,	ট্রুপস,	
cooli,	কুলি,	কুলী,	
shosiety,	শোসিযি,	সোসাইটি,	
lifaleta,	লিফলটট,	লিফলেট,	
bhau,	ভাউ,	ভাউ,	
ulamaagon,	উলামাগন,	উলামাগণ,	
aphsari,	আফসারি,	আফসারী,	
selfish,	সেল্সিস,	সেলফিস,	
ranakhetrey,	রণা্্তীত্রে,	রণক্ষেত্রে,	
panchanan,	পঞ্চানন,	পঞ্চানন,	
oitijjhoke,	ঐতিহ্যকে,	ঐতিহ্যকে,	
choudhureera,	চৌধুরীরা,	চৌধুরীরা,	
ribhishon,	রিভিশন,	রিভিশন,	
iteem,	ইটিম,	আইটেম,	
krishijaat,	কৃষিজাত,	কৃষিজাত,	
baasati,	বাসাটি,	বাসাটি,	
shikhte,	শিখটে,	শিখতে,	
oyelasha,	ওয়েলস,	ওয়েলশ,	
antorbhuktir,	অন্তর্ভূক্তির,	অন্তর্ভুক্তির,	
gheta,	ঘেট,	ঘাট,	
khulechilo,	খুলেছিল,	খুলেছিল,	
holdings,	হললিডস,	হোল্ডিংস,	
shootkee,	সূতকি,	শুঁটকি,	
proopaganda,	প্রপাগন্ড,	প্রোপাগান্ডা,	
karamoot,	কারামুট,	কারামত,	
storyer,	স্তররির,	স্টোরির,	
karmokandoi,	কর্মকান্ডই,	কর্মকাণ্ডই,	
damoner,	দাননের,	দমনের,	
artilleryir,	আর্টিলারি,	আর্টিলারির,	
phuko,	ফুকো,	ফুকো,	
bonjangale,	বনযাঙ্গলে,	বনজঙ্গলে,	
apoton,	আপতন,	আপতন,	
digreedhari,	দিগ্রীধারী,	ডিগ্রিধারী,	
taiksaas,	টেক্সস,	টেক্সাস,	
ayasheta,	অ্যাসেট,	অ্যাসেট,	
chirotar,	চিরতার,	চিরতার,	
marbo,	মার্ব,	মারবো,	
breaking,	ব্রেকিং,	ব্রেকিং,	
preshidiyama,	প্রেসিডিয়াম,	প্রেসিডিয়াম,	
mozoot,	মজুট,	মজুত,	
olangkoroner,	অলংকরণের,	অলঙ্করণের,	
chalochchitragulo,	চলচ্চিত্রগুলো,	চলচ্চিত্রগুলো,	
asantosher,	অশান্তশের,	অসন্তোষের,	
jonoshomabesh,	জনসমাবেশ,	জনসমাবেশ,	
nadnadee,	নাদদাদী,	নদনদী,	
kodo,	কোডো,	কোডও,	
rothindro,	রথীন্দ্র,	রথীন্দ্র,	
kay,	কে,	কে,	
ojontar,	অজন্তর,	অজন্তার,	
khappore,	ক্ষাপোরে,	খপ্পরে,	
parishromer,	পরিশ্রমের,	পরিশ্রমের,	
licensee,	লিসেন্স,	লাইসেন্সে,	
chhatker,	ছাটকের,	ছাতকের,	
dreneza,	ড্রেনেজ,	ড্রেনেজ,	
soner,	সোনের,	সানের,	
sharge,	স্বার্গে,	সার্জ,	
waden,	ওদেেন,	ওয়ার্ডেন,	
eshechilo,	এসেছিল,	এসেছিল,	
neture,	নেউচার,	নেচার,	
panga,	পাঙ্গা,	পাঙ্গা,	
maashtarpeeshh,	মাস্টার্সিস,	মাস্টারপিস,	
ranotory,	রেনোটরি,	রণতরী,	
bhugarbho,	ভূগর্ভ,	ভূগর্ভ,	
shalim,	সালিম,	সালিম,	
chotokder,	ছোটকদের,	চটকদার,	
letershh,	লিটার্স,	লেটারস,	
baards,	বার্ডস,	বার্ডস,	
shushan,	শুশন,	সুসান,	
brush,	ব্রুস,	ব্রাশ,	
garoder,	গ্যারোদের,	গারোদের,	
jaanaten,	জানাতেন,	জানাতেন,	
joyintapur,	জৈন্তাপুর,	জৈন্তাপুর,	
ragiba,	রাগিবা,	রাগীব,	
sikkhoksoho,	শিক্ষসকহ,	শিক্ষকসহ,	
dudhoroner,	দুধরনের,	দুধরনের,	
jokerer,	জোকারের,	জোকারের,	
daayitte,	দাইত্যে,	দায়িত্বে,	
vaticane,	ভ্যাকেন,	ভ্যাটিকানে,	
khaanek,	খানেক,	খানেক,	
samonjasyapurno,	সমমন্যস্পূর্ণ,	সামঞ্জস্যপূর্ণ,	
upos,	উপসস,	উপোষ,	
ashrafaful,	আশ্রফফুল,	আশরাফুল,	
karma,	কর্ম,	কর্মা,	
uvochar,	উভচার,	উভচর,	
jubokke,	যুবককে,	যুবককে,	
tinsho,	টিনস,	তিনশ,	
prokolposhomuher,	প্রকল্পসমূহের,	প্রকল্পসমূহের,	
denishe,	ডেনিস,	ডেনিস,	
tevisi,	টেভিসি,	টিভিসি,	
samaptite,	সমাপ্তিতে,	সমাপ্তিতে,	
birjopat,	বীর্যপাত,	বীর্যপাত,	
ponjikaa,	পঞ্জিকা,	পঞ্জিকা,	
suiparer,	সুইপারের,	সুইপারের,	
chalachchitre,	চলচচ্্ত্রে,	চলচ্চিত্রে,	
stary,	স্টারি,	স্টোরি,	
purohit,	পুরোহিত,	পুরোহিত,	
aslilotar,	আসলিলতার,	অশ্লীলতার,	
bodhirder,	বধিরদের,	বধিরদের,	
abhinito,	অভিনিত,	অভিনীত,	
bonpart,	বনপার্ট,	বোনাপার্ট,	
konaar,	কোনার,	কোনার,	
othano,	ওঠানো,	ওঠানো,	
po,	পো,	পিও,	
pio,	পিও,	পিও,	
attik,	আত্মিক,	আত্মিক,	
bishopan,	বিষোপন,	বিষপান,	
gorkha,	গোর্খা,	গোর্খা,	
asleelotar,	আসলিলতার,	অশ্লীলতার,	
aminakey,	অমিনাকে,	আমিনাকে,	
mailasa,	মাইলস,	মাইলস,	
sherwer,	শের্ভের,	সার্ভার,	
samajikbhabe,	সামাজিকভাবে,	সামাজিকভাবে,	
machtir,	ম্যাচ্টির,	মাছটির,	
ashoph,	আসফ,	আসফ,	
nadi,	নাদি,	নদী,	
abhidhaan,	অভিধান,	অভিধান,	
atta,	আত্মা,	আটটা,	
hachchila,	হাচ্ছিলো,	হচ্ছিল,	
sudhu,	সুধু,	শুধু,	
karamot,	করামত,	কারামত,	
benefit,	বেনেফিট,	বেনিফিট,	
oshlil,	অসলিল,	অশ্লীল,	
ezuger,	ইযুগের,	এযুগের,	
oksorgulo,	অক্সরগুলো,	অক্ষরগুলো,	
muhurtey,	মুহুর্তে,	মুহুর্তে,	
tohosheeldaar,	টহশিলদার,	তহশিলদার,	
beekreta,	বিক্রেট,	বিক্রেতা,	
porjotokyi,	পর্যটককি,	পর্যটকই,	
dhacher,	ঢাঁচের,	ধাঁচের,	
rajaar,	রাজার,	রজার,	
transplantation,	ট্রান্সপ্লেন্টন,	ট্রান্সপ্লান্টেশন,	
holdingse,	হললিডসে,	হোল্ডিংস,	
stetionery,	স্টেটনারি,	স্টেশনারি,	
karmokande,	কর্মকান্ডে,	কর্মকাণ্ডে,	
easht,	ইস্ট,	ইস্ট,	
sekond,	সেকন্ড,	সেকেন্ড,	
galilee,	গ্যালিলি,	গালিলি,	
sangosthaguli,	সংস্থাগুলি,	সংস্থাগুলি,	
aaminake,	আমিনাকে,	আমিনাকে,	
jaak,	যাক,	জাক,	
notasa,	নোটস,	নোটস,	
aga,	আগা,	আজা,	
nirgamoney,	নির্গানে,	নির্গমনে,	
tookrogoolo,	তুকরুগুলো,	টুকরোগুলো,	
projanmoke,	প্রজান্মকে,	প্রজন্মকে,	
maarmaa,	মার্মা,	মারমা,	
dianete,	ডায়ননটে,	ডিএনএতে,	
byaboharkareeder,	ব্যবহারকারীদের,	ব্যবহারকারীদের,	
gomti,	গমটি,	গোমতি,	
soomitra,	সুমিত্রা,	সুমিত্রা,	
liste,	লিস্টে,	লিস্টে,	
godamghar,	গদমগার,	গুদামঘর,	
sangasthao,	সংগ্ঠাও,	সংস্থাও,	
probeshpathe,	প্রবেষপথে,	প্রবেশপথে,	
halnagadd,	হালনাগ,	হালনাগাদ,	
sijda,	সিজ্ড,	সিজদা,	
nritatwo,	নৃতত্ত,	নৃতত্ত্ব,	
traickball,	ট্রেক্বল,	ট্র্যাকবল,	
kripan,	ক্রিপন,	কৃপণ,	
gaadhar,	গাধার,	গাধার,	
soosan,	শুষন,	সুসান,	
haree,	হ্যারি,	হারি,	
shreneekaran,	শ্রেণীকরণ,	শ্রেণীকরণ,	
raktaksharan,	রক্তক্ষণণ,	রক্তক্ষরণ,	
karmokar,	কর্মকার,	কর্মকার,	
municipality,	মুনিসিপালিটি,	মিউনিসিপ্যালিটি,	
kistite,	কিস্টিতে,	কিস্তিতে,	
haldings,	হালডিসস,	হোল্ডিংস,	
kyethoda,	ক্যাথোডা,	ক্যাথোড,	
seekeenda,	সেকেন্ড,	সেকেন্ড,	
dekaa,	ডেকা,	দেকা,	
shikkhakao,	শিক্ষাকও,	শিক্ষকও,	
ruti,	রুটি,	রুটি,	
dictator,	ডিক্তাতর,	ডিক্টেটর,	
chitroroop,	চিত্ররূপ,	চিত্ররূপ,	
surta,	শুর্তা,	সুরটা,	
kaakri,	কাক্রি,	কুকরী,	
iizootoop,	ইযোটাপ,	আইসোটোপ,	
mana,	মানা,	মণ,	
dharar,	ধারার,	ধরার,	
nischiter,	নিশ্চিতের,	নিশ্চিতের,	
thumri,	থুমরি,	ঠুমরী,	
karmira,	কারমিরা,	কর্মীরা,	
chhotuk,	ছোটক,	ছটকু,	
bolokaan,	বলকান,	বলকান,	
dibheda,	ডিভাইড,	ডিভাইড,	
eshechhilo,	এসেছিল,	এসেছিল,	
vanta,	ভাঁটা,	ভাঁটার,	
konventioner,	কনভেন্ননের,	কনভেনশনের,	
baga,	বাগা,	বগা,	
biharti,	বিহর্তি,	বিহারটি,	
protisthakale,	প্রতিষ্ঠাকালে,	প্রতিষ্ঠাকালে,	
bbileter,	বিলিটের,	বিলেতের,	
mata,	মত,	মত,	
tolemy,	তোলেমি,	টলেমি,	
kormo,	কর্ম,	কর্ম,	
sohinsota,	সহিনসতা,	সহিংসতা,	
dharmasabha,	ধর্মসা,	ধর্মসভা,	
deuli,	ডিউলি,	দেউলী,	
poromanur,	পরমাণুর,	পরমানুর,	
pyareda,	প্যারেড,	প্যারেড,	
sabana,	সাবানা,	সাবানা,	
kailasey,	কেলাসে,	কৈলাসে,	
falato,	ফলত,	ফলতঃ,	
serber,	শার্বের,	সার্ভার,	
sahozlabhbhota,	সহজ্লভ্্ভতা,	সহজলভ্যতা,	
marten,	মারতেন,	মারতেন,	
thisisa,	টিসিস,	থিসিস,	
konventione,	কনভেনশনে,	কনভেনশনে,	
lona,	লোনা,	লোন,	
kormokandoke,	কর্মকান্ডকে,	কর্মকাণ্ডকে,	
ishhotop,	ইস্তোপ,	আইসোটোপ,	
bosobassroto,	বসবাস্তর,	বসবাসরত,	
byatikramer,	ব্যততিক্রমের,	ব্যতিক্রমের,	
ershad,	এরসাদ,	এরশাদ,	
oshoho,	অসহ,	অসহ,	
atmosommanbodh,	আত্মসমম্ধব,	আত্মসম্মানবোধ,	
theng,	থিং,	ঠ্যাং,	
pooroheet,	পুরোহিত,	পুরোহিত,	
myaganeesiyama,	ম্যাগনেশিয়াম,	ম্যাগনেসিয়াম,	
gomveera,	গম্ভীরা,	গম্ভীরা,	
uparjupori,	উপরর্জুপরি,	উপর্যুপরি,	
daie,	দাই,	দৈ,	
