plato,	প্লট,	প্লেটো,	
byaboharkari,	ব্যববারকারী,	ব্যবহারকারীই,	
mohit,	মহিত,	মুহিত,	
hossne,	হস্যে,	হোসনে,	
asocietes,	অ্যাসোসিয়েস,	এসোসিয়েটস,	
byabaharkariderke,	ব্যবহারকারিদকে,	ব্যবহারকারীদেরকে,	
saya,	সায়া,	সোয়া,	
advansed,	অ্যাডভেনসেড,	অ্যাডভান্সড,	
pachhen,	পাছেন,	পাচ্ছেন,	
bbiswashe,	বিশ্বাসে,	বিশ্বাসে,	
nathivuktir,	নথিভূক্তির,	নথিভুক্তির,	
madrasakey,	মদ্রাসাকে,	মাদ্রাসাকে,	
landing,	ল্যান্ডিং,	ল্যান্ডিং,	
bibecchyo,	বিবেছ্য,	বিবেচ্য,	
laboni,	লেবণী,	লাবনী,	
bekey,	বেকে,	বেঁকে,	
itemer,	ইটেমের,	আইটেমের,	
siddhantogulo,	সিদ্ধান্তগুলো,	সিদ্ধান্তগুলো,	
chiroharit,	চিরহরিত,	চিরহরিৎ,	
netsi,	নেটসি,	নাত্সি,	
shiqha,	শিখা,	শিখ,	
suporichito,	সুপরিচিত,	সুপরিচিত,	
nirapekkhotaar,	নিরাপক্ষতার,	নিরপেক্ষতার,	
saarbharer,	সার্ভারের,	সার্ভারের,	
karmoi,	করমই,	কর্মই,	
welaqama,	ওেলাকাম,	ওয়েলকাম,	
baard,	বার্ড,	বার্ড,	
mukhmondole,	মুখমন্ডলে,	মুখমণ্ডলে,	
nagarikkey,	নাগরীককে,	নাগরিককে,	
moonshi,	মুনশী,	মুন্সি,	
zins,	জিংস,	জিন্স,	
parkim,	পার্কিম,	পার্কিং,	
majlish,	মজলিস,	মজলিশ,	
marketing,	মার্কেটিং,	মার্কেটিং,	
nabyota,	নব্যতা,	নাব্যতা,	
jolbe,	জলবে,	জ্বলবে,	
loukikotaa,	লৌকিকতা,	লৌকিকতা,	
shkolastic,	স্কোলস্টিক,	স্কলাস্টিক,	
prakalpogulor,	প্রকলাপগুলোর,	প্রকল্পগুলোর,	
machti,	মাচটি,	মাছটি,	
mukhyo,	মুখ্য,	মুখ্য,	
sammatitey,	সম্মতিতে,	সম্মতিতে,	
seater,	সেটের,	সিটের,	
noitikatabodh,	নৈতিকাবাধ,	নৈতিকতাবোধ,	
purbanchaler,	পূর্বাঞ্চলের,	পূর্বাঞ্চলের,	
bem,	ব্যাম,	বিম,	
laatimer,	লাটিমের,	লাটিমের,	
manushtike,	মানুষ্টিকে,	মানুষটিকে,	
gajiipur,	গজিপুর,	গাজীপুর,	
palbangsher,	পালবাংশের,	পালবংশের,	
gardena,	গার্ডেন,	গার্ডেন,	
hukar,	হুকার,	হুকার,	
hirani,	হিরনী,	হিরানি,	
ajuhat,	অজুহত,	অজুহাত,	
keyboarder,	কেবোর্ডের,	কীবোর্ডের,	
arbit,	আরবিত,	অরবিট,	
jhalkatthi,	ঝালকাঠি,	ঝালকাঠী,	
nuton,	নিটন,	নূতন,	
pooroheetke,	পুরহহিতে,	পুরোহিতকে,	
bahaal,	বহল,	বহাল,	
quota,	কোটট,	কোটা,	
ghatkey,	ঘটকে,	ঘাটকে,	
alpa,	আল্প,	অল্প,	
petenter,	পিটেন্টের,	পেটেন্টের,	
prakalpatike,	প্রকলাপিতিকে,	প্রকল্পটিকে,	
granthatike,	গ্রন্থাটিকে,	গ্রন্থটিকে,	
tarunderke,	তারুণ্ডেরকে,	তরুণদেরকে,	
turkamena,	তুর্কমেনা,	তুর্কমেন,	
jyotsna,	জ্যোত্ন,	জ্যোৎস্না,	
korimkey,	করিমকে,	করিমকে,	
eporjanta,	এপর্যন্ত,	এপর্যন্ত,	
chenja,	চেঞ্জ,	চেঞ্জ,	
euqalyptus,	ইউক্যালিপ্টাস,	ইউক্যালিপ্টাস,	
ganaparibahaner,	গণপরিবহনের,	গণপরিবহনের,	
dolguloo,	দলগুলো,	দলগুলোও,	
enashiyenta,	এনসাইন্ট,	এনসিয়েন্ট,	
tirmijii,	তিরমিজী,	তিরমিজি,	
abhidhaanik,	অভিধানিক,	অভিধানিক,	
goteebege,	গতিবেগে,	গতিবেগে,	
juktorashtrer,	যুক্তরাস্ট্রের,	যুক্তরাষ্ট্রের,	
chirakumari,	চিরাকুমারী,	চিরকুমারী,	
akar,	আঁকার,	একার,	
licencer,	লিসেঞ্সের,	লাইসেন্সের,	
jameser,	জেমসের,	জেমসের,	
fostar,	ফস্টার,	ফস্টার,	
fimel,	ফিমেল,	ফিমেল,	
pashan,	পশন,	পাষাণ,	
antarctikar,	অন্টর্ক্টিকার,	অ্যান্টার্কটিকার,	
laaishheshh,	লাইসেস,	লাইসেন্স,	
parisankhyanbid,	পরিসংখ্যাবিদ,	পরিসংখ্যানবিদ,	
modeeling,	মডিলিং,	মডেলিং,	
cholocchitro,	চলচিত্র,	চলচ্চিত্র,	
naditei,	নাদিতেই,	নদীতেই,	
torabgunj,	তরাবগঞ্জ,	তোরাবগঞ্জ,	
saifai,	সাইফাই,	সাইফাই,	
nodiigulir,	নদীদুলীর,	নদীগুলির,	
doulaa,	দাওলা,	দৌলা,	
jubokey,	যুবকে,	যুবকে,	
uporitale,	উপরিতলে,	উপরিতলে,	
taufik,	টফিক,	তৌফিক,	
joubanbati,	যৌবন্বতী,	যৌবনবতী,	
nadnadeer,	নাদ্নাদীর,	নদনদীর,	
barack,	ব্যারাক,	বারাক,	
byaboshtha,	ব্যবস্থা,	ব্যাবস্থা,	
nikater,	নিকাতের,	নিকটের,	
prochondo,	প্রচন্ড,	প্রচণ্ড,	
poschimey,	পশ্চিমে,	পশ্চিমে,	
aazeez,	আজিজ,	আজিজ,	
sumitrar,	সুমিত্রার,	সুমিত্রার,	
coode,	কোড,	কোড,	
netarao,	নেটারাও,	নেতারাও,	
jathaarthobhaabe,	যথার্থভাবে,	যথার্থভাবে,	
horipoor,	হরিপুর,	হরিপুর,	
shrichaitanyadev,	শ্রীচৈতান্দবে,	শ্রীচৈতন্যদেব,	
seekkhokke,	শিক্ষককে,	শিক্ষককে,	
satan,	সতন,	শয়তান,	
naazii,	নাজী,	নাত্সি,	
estoniya,	এস্টোনিয়া,	এস্তোনিয়া,	
hud,	হাড,	হুড,	
rijoor,	রিজুর,	রিজুর,	
quari,	কুয়ারি,	কোয়েরি,	
besur,	বেশুর,	বেসুর,	
unitgulo,	উনিটগুলো,	ইউনিটগুলো,	
ajauno,	আজৌন,	অযৌন,	
adhito,	অধিত,	অধীত,	
vabanir,	ভবনীর,	ভবানীর,	
naarsaari,	নার্সারী,	নার্সারি,	
nikel,	নিকেল,	নিকেল,	
upobaashee,	উপবাষী,	উপবাসী,	
jonosanjog,	জনসঙ্জন,	জনসংযোগ,	
madhobi,	মাধবী,	মাধবী,	
niurolazi,	নিউরোলজি,	নিউরোলজি,	
pragresha,	প্রাগ্রেস,	প্রগ্রেস,	
ghoshito,	ঘসিত,	ঘোষিত,	
piruzali,	পিরুজালী,	পিরুজালী,	
padee,	পদে,	পাড়ে,	
elaakati,	এলাকাতি,	এলাকাটি,	
swasti,	স্বস্তি,	স্বস্তি,	
sahapatheekey,	সহপাঠীকে,	সহপাঠীকে,	
karir,	কারির,	কারীর,	
sakara,	সাকার,	সকার,	
bhortuky,	ভর্তুকি,	ভর্তুকি,	
shabnam,	শাবনাম,	শবনম,	
shatokeo,	শটকেও,	শতকেও,	
gripa,	গ্রিপ,	গ্রিপ,	
protimake,	প্রতিমাকে,	প্রতিমাকে,	
jalrang,	জ্যালার্ং,	জলরঙ,	
aachees,	আচিস,	আছিস,	
bishshash,	বিশ্বাস,	বিশ্বাস,	
dunkan,	ডানকান,	ডানকান,	
keengdom,	কিনগম,	কিংডম,	
laeshesh,	লেসেস,	লাইসেন্স,	
murad,	মুরাদ,	মুরাদ,	
manur,	মানুর,	মনুর,	
gagee,	গেগ,	গেজ,	
klaud,	ক্লাড,	ক্লাউড,	
durvaggo,	দুর্ভাগ্য,	দূর্ভাগ্য,	
sangastha,	সংস্থা,	সংস্থা,	
rudrer,	রুদ্রের,	রুদ্রের,	
pratiyogi,	প্রতিযোগী,	প্রতিযোগী,	
byatikrami,	ব্যাতিক্রমী,	ব্যতিক্রমী,	
torup,	তরুপ,	ট্রুপ,	
gazee,	গেজ,	গেজ,	
moorali,	মুরালি,	মুরলী,	
idyi,	এদ্যী,	আইডিই,	
kanagulo,	কানাগুলো,	কণাগুলো,	
lyand,	ল্যান্ড,	ল্যান্ড,	
halloween,	হালভউন,	হ্যালোইন,	
bohudin,	বহুদিন,	বহুদিন,	
panero,	পানেরো,	পনের,	
spancer,	স্প্যার্সের,	স্পেন্সার,	
uponishad,	উপনিষদ,	উপনিষদ,	
ghurchen,	ঘুরছেন,	ঘুরেছেন,	
mitre,	মিত্রে,	মিত্র,	
antorvukto,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
qaferderkey,	কফেরদেরকে,	কাফেরদেরকে,	
poshte,	পোস্টে,	পোষ্টে,	
aminul,	আমিনুল,	আমিনুল,	
tuso,	টুস,	তুসো,	
chhootochhooti,	ছুটটছুটি,	ছুটোছুটি,	
dajhya,	দাঝ্য,	দাহ্য,	
koomari,	কুমারি,	কুমারী,	
noitikatar,	নৈতিকতার,	নৈতিকতার,	
samratder,	সামরত্দের,	সম্রাটদের,	
qor,	কোর,	কর,	
celinar,	সেলিনার,	সেলিনার,	
utsahamulak,	উৎসাহমূলক,	উৎসাহমূলক,	
somraatra,	সম্রাত্র,	সম্রাটরা,	
bhaisaha,	ভাইসহ,	ভাইসহ,	
lazika,	লাজিকা,	লজিক,	
gostheeti,	গোস্থীতি,	গোষ্ঠীটি,	
piora,	পিয়ার,	পিওর,	
shrishree,	শ্রীশ্রী,	শ্রীশ্রী,	
orthonitir,	অর্থনীতির,	অর্থনীতির,	
superheroo,	সুপেরেরও,	সুপারহিরো,	
horir,	হরির,	হরির,	
sikkhakramer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
daankan,	ডানকান,	ডানকান,	
daktikiter,	দক্তিকিতের,	ডাকটিকিটের,	
simaa,	সিমা,	সীমা,	
shkirt,	স্কার্ট,	স্কার্ট,	
moushumer,	মৌসুমের,	মৌসুমের,	
aatok,	আটক,	আটক,	
footballerder,	ফুটবলাদের,	ফুটবলারদের,	
panera,	পানেরা,	পনের,	
prokalpagulor,	প্রকলাপুলোর,	প্রকল্পগুলোর,	
airesey,	আইরেশে,	আইরেসে,	
caaling,	কোলিং,	কুলিং,	
aziza,	আজিজ,	আজিজা,	
farider,	ফরিদের,	ফরিদের,	
changee,	চঙ্গি,	চেঞ্জ,	
ummool,	উম্মল,	উম্মুল,	
dibeta,	দিবেতা,	ডিবেট,	
pustir,	পুস্তির,	পুষ্টির,	
iranayer,	ইরানের,	ইরানের,	
manushsoho,	মানুসহ,	মানুষসহ,	
marmara,	মার্মা,	মারমারা,	
saholobhyotar,	সহলভভযাতার,	সহজলভ্যতার,	
itostata,	ইটোস্টেট,	ইতস্তত,	
hili,	হিলি,	হিলি,	
oncholtee,	অঞ্চলতি,	অঞ্চলটি,	
graambaasir,	গ্রামবাসীর,	গ্রামবাসীর,	
reesideencee,	রেসিডেন্স,	রেসিডেন্স,	
engreziteo,	ইংরেজিতেও,	ইংরেজিতেও,	
jerusalemer,	জেরুসাইমের,	জেরুজালেমের,	
diyi,	দি,	দিই,	
madrasa,	মাদ্রস,	মাদ্রাসা,	
parswer,	পার্সবের,	পার্শ্বের,	
naren,	নরেন,	নরেন,	
kibord,	কিবোর্ড,	কীবোর্ড,	
chesa,	চেষা,	চেস,	
masey,	মাসে,	মাসে,	
inshtol,	ইনস্টল,	ইন্সটল,	
shpreadshheet,	স্প্রীশেট,	স্প্রেডশীট,	
choudhurike,	চৌধুরিকে,	চৌধুরীকে,	
naphisa,	নাফিস,	নাফিসা,	
orthanitite,	অর্থনীতে,	অর্থনীতিতে,	
vashik,	ভাষিক,	ভাষিক,	
atma,	আত্মা,	আত্ম,	
laaisensh,	লাইসেন্স,	লাইসেন্স,	
sorbopori,	সর্বপরি,	সর্বোপরী,	
deeputy,	ডিপিত্,	ডেপুটি,	
hertz,	হার্ট,	হার্জ,	
spreeadshiit,	স্প্রীশদিত,	স্প্রেডশীট,	
songkolonti,	সংকললনিতি,	সংকলনটি,	
dreestiheen,	দৃষ্টিহীন,	দৃষ্টিহীন,	
atok,	আটোক,	আটক,	
monur,	মনুর,	মনুর,	
meetar,	মেটার,	মিত্র,	
abhigomon,	অভিধমন,	অভিগমন,	
zoubankal,	যৌবনকাল,	যৌবনকাল,	
assastikar,	অস্স্তিকর,	অস্বস্তিকর,	
lagic,	লাগিক,	লজিক,	
engrejer,	ইংরেজের,	ইংরেজের,	
postar,	পোস্টার,	পোস্টের,	
shikare,	শিকারে,	শিকারে,	
bonbhumi,	বনভূমি,	বনভূমি,	
pisach,	পিশা,	পিশাচ,	
prokolpoguli,	প্রকল্পগুলি,	প্রকল্পগুলি,	
asovyo,	অসভ্য,	অসভ্য,	
augusteen,	আগাস্টিন,	অগাস্টিন,	
bhangle,	ভাঙে,	ভাঙলে,	
aieesha,	আইএস,	আইএএস,	
attacharito,	অত্যাচারিত,	অত্যাচারিত,	
gambasi,	গম্বাসী,	গ্রামবাসী,	
khizir,	খিজির,	খিজির,	
protijogi,	প্রতিযোগী,	প্রতিযোগী,	
ko,	কো,	কেও,	
dhanyi,	ধ্নী,	ধন্যি,	
dharmantor,	ধর্মন্তর,	ধর্মান্তর,	
karmokarer,	কর্মকারের,	কর্মকারের,	
joubanbotii,	যৌবন্বতী,	যৌবনবতী,	
ameettrakkhor,	অমিত্রাক্ষর,	অমিত্রাক্ষর,	
bhushito,	ভূষিত,	ভূষিত,	
meghachonno,	মেঘান্ন,	মেঘাচ্ছন্ন,	
shattoki,	সাত্যকি,	সাত্যকি,	
raktaksharaney,	রক্তক্ষরণে,	রক্তক্ষরণে,	
puncho,	পুঁচো,	পুঞ্চ,	
jyaka,	জ্যাক,	জ্যাক,	
shift,	সিফট,	শিফট,	
ejenda,	এজেন্ড,	এজেন্ডা,	
udeechee,	উদিছি,	উদীচী,	
nathibhukto,	নথিভূক্ত,	নথিভুক্ত,	
shringo,	শৃঙ্গ,	শৃঙ্গ,	
srisri,	শৃষ্রী,	শ্রীশ্রী,	
addabaz,	আদ্বাজাজ,	আড্ডাবাজ,	
durgotsave,	দুর্গতশাবে,	দুর্গোৎসবে,	
pratishthanikbhabe,	প্রতিষ্ঠানিকভাবে,	প্রাতিষ্ঠানিকভাবে,	
gonohottake,	গনহাত্তাকে,	গণহত্যাকে,	
utkhaat,	উৎখাত,	উত্খাত,	
biswashi,	বিশ্বাসী,	বিশ্বাসই,	
charbon,	চারবণ,	চর্বন,	
sikhar,	শিখর,	শিকার,	
spostotoi,	স্পষ্টতি,	স্পষ্টতই,	
militari,	মিলিটারি,	মিলিটারি,	
valapuk,	ভালাপুক,	ভোলাপুক,	
jeshh,	জেস,	জেস,	
goonoman,	গুণমান,	গুণমান,	
aagost,	আগস্ট,	আগষ্ট,	
elakaai,	এলাকাই,	এলাকাই,	
bayi,	বাই,	বাঈ,	
besuro,	বেশুর,	বেসুর,	
loukeek,	লৌকিক,	লৌকিক,	
abosorer,	অবসরের,	অবসরের,	
shaapholler,	সাফলের,	সাফল্যের,	
ghoomachhilo,	ঘুমাছিল,	ঘুমাচ্ছিল,	
bhromonkale,	ভ্রমণকালে,	ভ্রমণকালে,	
gasthii,	গাস্থী,	গোষ্ঠীই,	
mukhabandha,	মুখবন্ধ,	মুখবন্ধ,	
juktorastrer,	যুক্তরাস্ট্রের,	যুক্তরাষ্ট্রের,	
shaakaar,	শাকার,	সাকার,	
opochesta,	অপচেষ্ট,	অপচেষ্টা,	
hatodoridra,	হততদর্দ্র,	হতদরিদ্র,	
set,	সেট,	সিট,	
chhaani,	ছানী,	ছানি,	
tiunara,	টিউনার,	টিউনার,	
lendal,	লেন্ডল,	লেন্ডল,	
barbadoz,	বার্বাদজ,	বার্বাডোজ,	
dhyanastho,	ধ্যানস্থ,	ধ্যানস্থ,	
monjhoshtho,	মঞ্ঝস্থ,	মঞ্চস্থ,	
dormitori,	দর্মিতরি,	ডরমিটরি,	
shaddhii,	স্ধ্যে,	সাধ্বী,	
prabhura,	প্রভূর,	প্রভুরা,	
marpit,	মারপিট,	মারপিট,	
abdune,	আব্দুনে,	আবদুন,	
adbhanshd,	অ্ভাডবেন্স,	অ্যাডভান্সড,	
aiiub,	আইউব,	আইইউবি,	
cholochchitraeeo,	চলচ্চিত্রেও,	চলচ্চিত্রেও,	
promothesh,	প্রমথেস,	প্রমথেশ,	
mukhomandol,	মুখমন্ডল,	মুখমণ্ডল,	
ispreedshiit,	স্প্রেশেটি,	স্প্রেডশীট,	
cheekitsar,	চিকিৎসার,	চিকিত্সার,	
zojyota,	যোজ্যতা,	যোজ্যতা,	
giitikobitar,	গীতিকিবটার,	গীতিকবিতার,	
panctaar,	পাঁচার,	পাঁচটার,	
konflikt,	কনফলিক্ট,	কনফ্লিক্ট,	
atmobishvashi,	আত্মবিশ্বাসী,	আত্মবিশ্বাসী,	
bisheshyer,	বিশেষের,	বিশেষ্যের,	
cocaine,	কোকেন,	কোকেইন,	
tarunke,	তারুণকে,	তরুণকে,	
oncholshomuher,	অঞ্চলসমূহের,	অঞ্চলসমূহের,	
somoshti,	সমস্তি,	সমষ্টি,	
soorsa,	সুর্ষ,	সোর্স,	
prothakey,	প্রথাকে,	প্রথাকে,	
shomostigoto,	সমস্তিজত,	সমষ্টিগত,	
konagoolo,	কোনগোলো,	কণাগুলো,	
addhattikotar,	আধ্যাত্ত্বকতার,	আধ্যাত্মিকতার,	
noveel,	নোভিল,	নভেল,	
confliqt,	কনফলিক্ট,	কনফ্লিক্ট,	
baik,	ব্যাক,	বাইক,	
naagaaland,	নাগল্যান্ড,	নাগাল্যান্ড,	
phern,	ফার্ন,	ফার্ন,	
aakkash,	আক্াশ,	আককাস,	
nabam,	নবম,	নবম,	
sangbadmadhyome,	সংবাদমধ্যমে,	সংবাদমাধ্যমে,	
durgotsabe,	দুর্গতশ্বে,	দুর্গোৎসবে,	
komatei,	কমাতেই,	কমাতেই,	
jalrong,	জলরঙ,	জলরঙ,	
raktaksharaner,	রক্তক্ষরণের,	রক্তক্ষরণের,	
biplabee,	বিপ্লবী,	বিপ্লবী,	
yathaarthabhaabe,	যথার্থাাবে,	যথার্থভাবে,	
shodhon,	সোধন,	শোধন,	
anchalgoolir,	অঞ্চলগুলির,	অঞ্চলগুলির,	
cantan,	ক্যান্টন,	ক্যান্টন,	
myari,	ম্যারি,	ম্যারি,	
khappar,	খাপপার,	খপ্পর,	
jatee,	জাতি,	যাতি,	
ganoporibohon,	গণপরিবহন,	গণপরিবহন,	
uindos,	উইন্ডস,	উইন্ডোস,	
degree,	ডিগ্রী,	ডিগ্রি,	
damonmulok,	ডামনমূলক,	দমনমূলক,	
iyaqa,	ইয়াক,	ইয়াক,	
ceramiqs,	কেরামিক্স,	সিরামিকস,	
alimpika,	আলিম্পিক,	অলিম্পিক,	
bishwashoi,	বিশ্বাসী,	বিশ্বাসই,	
yaaq,	যাক,	ইয়াক,	
hisabke,	হিসবকে,	হিসাবকে,	
nirgomon,	নির্জমন,	নির্গমন,	
bairer,	বৈরের,	বাইরের,	
bishesyo,	বিশেষ্য,	বিশেষ্য,	
afzal,	আফজাল,	আফজল,	
aiisa,	আইস,	আইএএস,	
laiseensa,	লাইসেন্স,	লাইসেন্স,	
mit,	মিট,	মিট,	
laesens,	লেসেন্স,	লাইসেন্স,	
abdur,	আব্দুর,	আবদুর,	
hipar,	হিপার,	হাইপার,	
meghnabodh,	মেঘনবাধ,	মেঘনাদবধ,	
kadorer,	কাদরের,	কদরের,	
auttacharer,	অট্তাচরের,	অত্যাচারের,	
langhoner,	লঙ্ঘনের,	লংঘনের,	
fake,	ফেক,	ফাকে,	
habu,	হাবু,	হবু,	
neemitte,	নিমিত্যে,	নিমিত্তে,	
fatakesto,	ফটাকেস্ট,	ফাটাকেষ্ট,	
nagorikota,	নাগরিকতা,	নাগরিকতা,	
shaatjoner,	স্যাতনের,	সাতজনের,	
carymb,	কার্ম্ব,	করিম,	
capshule,	ক্যাসুলে,	ক্যাপসুল,	
debdebyr,	দেবদেবির,	দেবদেবীর,	
fotanor,	ফোটনোর,	ফোটানোর,	
vastuvad,	বস্তুবাদ,	বস্তুবাদ,	
dwipei,	ড্বিপেই,	দ্বীপেই,	
agora,	আগরা,	আগোরা,	
shcore,	স্কোর,	স্কোর,	
mile,	মিলে,	মাইল,	
talaa,	টালা,	তালা,	
qibord,	কিবোর্ড,	কীবোর্ড,	
siddhantake,	সিদ্ধানতাকে,	সিদ্ধান্তকে,	
chirkoot,	চিরকুত,	চিরকুট,	
sahocorrze,	সহকর্চে,	সাহচর্যে,	
gazipur,	গজিপুর,	গাজিপুর,	
parshwey,	পার্ষ্বে,	পার্শ্বে,	
suporichiti,	সুপরিচিতি,	সুপরিচিতি,	
khalidke,	খালিদকে,	খালিদকে,	
prodip,	প্রদীপ,	প্রদীপ,	
rushad,	রুশাদ,	রুশদ,	
omanisha,	অমনিশ,	অমানিশা,	
gatibege,	গতিবেগে,	গতিবেগে,	
conphlikt,	কনফলিক্ট,	কনফ্লিক্ট,	
nartakike,	নার্তককী,	নর্তকীকে,	
ajeem,	আজিম,	আজিম,	
banshite,	বাঁশীতে,	বাঁশিতে,	
