taurat,	ট্যারাট,	তওরাত,	
overviu,	ওভার্ভিউ,	ওভারভিউ,	
madrasake,	মাদ্রাসকে,	মাদ্রাসাকে,	
sikar,	শিকার,	শিকার,	
roktokhorone,	রক্তকরণে,	রক্তক্ষরণে,	
manbe,	মানবে,	মানবে,	
gor,	গর,	গোর,	
parjataker,	পর্যটতের,	পর্যটকের,	
graambaseeder,	গ্রাম্বাসীদের,	গ্রামবাসীদের,	
bashoborty,	বাসবোর্তী,	বশবর্তী,	
tate,	তাটে,	তাতে,	
deejijer,	ডিজিজের,	ডিজিজের,	
sikkhagato,	শিক্ষাগত,	শিক্ষাগত,	
shkora,	স্কার,	স্কোর,	
rajpur,	রাজপুর,	রাজপুর,	
dijeejer,	ডিজিজের,	ডিজিজের,	
serverey,	সার্ভের,	সার্ভারে,	
oddure,	অড্ডুর,	অদুরে,	
baibasthaar,	ব্যবস্থার,	ব্যবস্থার,	
hoomasa,	হোমাসা,	হোমস,	
tenys,	ট্যানিস,	টেনিস,	
daily,	ডেলি,	ডেইলি,	
ovishangson,	অভিসাংন,	অভিশংসন,	
utpotti,	উৎপত্তি,	উতপত্তি,	
ponthar,	প্যান্থার,	পন্থার,	
karmoke,	কর্মকে,	কর্মকে,	
loker,	লোকের,	লকের,	
bufar,	বুফার,	বাফার,	
baire,	বৈরে,	বাইরে,	
inapharameshana,	ইনফর্মেশন,	ইনফরমেশন,	
khanankaj,	খননকাজ,	খননকাজ,	
cholochchitreeo,	চলচিত্রীতে,	চলচ্চিত্রেও,	
gronthe,	গ্রন্থে,	গ্রন্থে,	
poschimey,	পশ্চিমে,	পশ্চিমে,	
sabrakomer,	সব্রকমের,	সবরকমের,	
baarnis,	বার্নিস,	বার্নিশ,	
mulor,	মুলোর,	মুলোর,	
bibad,	বিবদ,	বিবাদ,	
abikaul,	অবিকাউল,	অবিকল,	
bhorpur,	ভর্পুর,	ভরপুর,	
nodiigulir,	নদীগুলির,	নদীগুলির,	
vip,	ভীপ,	ভিআইপি,	
konphlikt,	কন্টিল্ট,	কনফ্লিক্ট,	
koonti,	কুন্তি,	কুন্তী,	
protizogiira,	প্রতিযোগিরা,	প্রতিযোগীরা,	
sahocorrzo,	সহচর্্,	সাহচর্য,	
adhito,	অধিত,	অধীত,	
niutrinoo,	নিউট্রূণ,	নিউট্রিনো,	
sushiksar,	সুশিক্ষার,	সুশিক্ষার,	
mulbhitti,	মুলভিত্বটি,	মূলভিত্তি,	
poshte,	পোষ্টে,	পোষ্টে,	
ssumita,	সুমিত,	সুমিতা,	
israeler,	ইসরাইলের,	ইসরাঈলের,	
gazipur,	গাজীপুর,	গাজীপুর,	
cholocchitreo,	চলচিত্রেতে,	চলচ্চিত্রেও,	
sanbadmadhyame,	সংবাদমাধ্যমে,	সংবাদমাধ্যমে,	
dwibidha,	দ্বিবিধ,	দ্বিবিধ,	
jalatanko,	জলাটঙ্ক,	জলাতঙ্ক,	
agrodut,	আগ্রাদূত,	অগ্রদূত,	
techno,	টেকনো,	টেকনো,	
shatan,	শতন,	শয়তান,	
jaanalo,	জানালো,	জানালো,	
orrgho,	অর্ঘ,	অর্ঘ্য,	
tikto,	টিকটো,	তিক্ত,	
nikeela,	নিকিলা,	নিকেল,	
poshchate,	পশ্চাত্যে,	পশ্চাতে,	
phirtee,	ফির্টি,	ফিরতি,	
juktarashtrosaha,	যুক্তরস্্রসহ,	যুক্তরাষ্ট্রসহ,	
dormetori,	ডরমেটরি,	ডরমিটরি,	
cho,	চো,	ছোঁ,	
sone,	সোন,	সনে,	
tet,	তৎ,	টেট,	
shorif,	শরীফ,	শরিফ,	
dip,	ডীপ,	দীপ,	
sainyara,	সৈন্যার,	সৈন্যরা,	
gonocheen,	গণচিন,	গণচীন,	
nodigulir,	নদীগুলির,	নদীগুলির,	
lajiker,	লাজিকের,	লজিকের,	
setike,	সেটিকে,	সেটিকে,	
roktokshoroney,	রক্তকক্ষণে,	রক্তক্ষরণে,	
behramporer,	বেরারপমরের,	বহরমপুরের,	
siramikasa,	সিরামিক্সা,	সিরামিকস,	
radhanagar,	রাধানগর,	রাধানগর,	
charchito,	চার্চিত,	চর্চিত,	
iyanqi,	ই্যাঙ্কি,	ইয়াংকি,	
daqten,	ডাকতেন,	ডাকতেন,	
ministar,	মিনিস্টার,	মিনিস্টার,	
aastikotaa,	আস্টিকতো,	আস্তিকতা,	
batsmaner,	বৎসম্যানের,	ব্যাটসম্যানের,	
mujibur,	মুজিবর,	মুজিবুর,	
mukhbondho,	মুখবন্ধ,	মুখবন্ধ,	
vedanta,	ভেদন্ত,	বেদান্ত,	
melbourney,	মেলবোর্নে,	মেলবোর্নে,	
kar,	কার,	কর,	
sikkhakramer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
aashanka,	আসঙ্কা,	আশংকা,	
graambaashee,	গ্রাম্বাসী,	গ্রামবাসী,	
sur,	শুর,	সুর,	
parshwer,	পার্সের,	পার্শ্বের,	
mesenjar,	মেসেনজার,	মেসেঞ্জার,	
probhritike,	প্রভ্রিটিকে,	প্রভৃতিকে,	
nagarikderkey,	নাগরিকদেরকে,	নাগরিকদেরকে,	
jakkho,	যক্ষ্ম,	যক্ষ,	
jyakasana,	জ্যাকশন,	জ্যাকসন,	
lat,	লট,	লাট,	
dakop,	ডাক,	দাকোপ,	
bhabna,	ভব্ন,	ভাবনা,	
nottee,	নটটি,	নোটটি,	
rahie,	রাহি,	রাহি,	
superhera,	সুপারেরা,	সুপারহিরো,	
kadarer,	কাদারের,	কদরের,	
mokam,	মোকম,	মোকাম,	
modelling,	মোডলিং,	মডেলিং,	
vandar,	ভান্ডার,	ভাণ্ডার,	
hotochokeeto,	হতচকিত,	হতচকিত,	
kanshat,	কাঁটা,	কানসাট,	
herpher,	হার্ফার,	হেরফের,	
traap,	ট্রিপ,	ট্রুপ,	
peterer,	পেটারের,	পিটারের,	
unitsaho,	উনিতসসহ,	ইউনিটসহ,	
lagche,	লাগছে,	লাগছে,	
shov,	শব,	শো,	
chomsky,	চম্কি,	চমস্কি,	
saptahokal,	সপ্তাহকাল,	সপ্তাহকাল,	
udbodhane,	উদ্বোধনে,	উদ্বোধনে,	
bordhitangso,	বর্ধিতাংশ,	বর্ধিতাংশ,	
rah,	রাহ,	রঃ,	
sampadoner,	সম্পাদনের,	সম্পাদনের,	
fuda,	ফুদ,	ফুড,	
chhatrorai,	ছাত্ররাই,	ছাত্ররাই,	
anurbor,	অনুর্বর,	অনুর্বর,	
lyaanding,	ল্যান্ডিং,	ল্যান্ডিং,	
konorup,	কনরুপ,	কোনরূপ,	
gorib,	গরীব,	গরিব,	
raits,	রেটস,	রাইটস,	
graambaasee,	গ্রাম্বাসী,	গ্রামবাসী,	
ranangoney,	রণাঙ্গনে,	রণাঙ্গনে,	
pubancholer,	পুবাঞ্চলের,	পূর্বাঞ্চলের,	
bonyopraan,	বন্যপ্রাণ,	বন্যপ্রাণ,	
polashir,	পলাশির,	পলাশীর,	
irana,	আরা,	ইরান,	
nagariker,	নগরীকের,	নাগরিকের,	
auncholo,	অঞ্চল,	অঞ্চলও,	
samajeek,	সমমজিক,	সামাজিক,	
elakaai,	এলাকাই,	এলাকাই,	
puding,	পুদিং,	পুডিং,	
prokar,	প্রকার,	প্রকার,	
poromartho,	পরমর্থ,	পরমার্থ,	
saseeja,	সাসজ,	সসেজ,	
soommitrar,	সুমিত্রার,	সুমিত্রার,	
hosain,	হোসেন,	হোসেইন,	
ponjjikar,	পঞ্জিকার,	পঞ্জিকার,	
anish,	আনিস,	আনিস,	
objarvar,	অবজর্ভার,	অবজার্ভার,	
songhar,	সংঘার,	সংহার,	
abheedhaanick,	অভিধানিক,	অভিধানিক,	
mmesenjar,	ম্যাসেঞ্জার,	মেসেঞ্জার,	
chorchita,	চর্চিত,	চর্চিত,	
prokolpow,	প্রকল্প,	প্রকল্পও,	
kanflict,	কাঙ্ল্লিক্ট,	কনফ্লিক্ট,	
jonoikaa,	জনিকা,	জনৈকা,	
deke,	ডেক,	ডেকে,	
hoola,	হোল,	হোল,	
ekaar,	একার,	একার,	
protijogii,	প্রতিযোগী,	প্রতিযোগী,	
deqe,	ডেক,	ডেকে,	
yuq,	ইউক,	ইয়াক,	
chalachchitroke,	চলচ্চিত্রকে,	চলচ্চিত্রকে,	
piora,	পিরা,	পিওর,	
phakay,	ফাকা,	ফাকে,	
bhandaare,	ভান্ডারে,	ভাণ্ডারে,	
shyutara,	স্টুটার,	শ্যুটার,	
seniar,	সেনিয়র,	সিনিয়র,	
ronangone,	রণাঙ্গনে,	রণাঙ্গনে,	
otyacharita,	অত্যাচারিত,	অত্যাচারিত,	
ganoporibahan,	গণপরিবাহন,	গণপরিবহন,	
dep,	ডেপ,	ডেপ,	
bbosben,	বসবেন,	বসবেন,	
satorkovabe,	স্যারোকভাবে,	সতর্কভাবে,	
balroom,	বলরুম,	বলরুম,	
auttacharer,	আত্তাচারের,	অত্যাচারের,	
bee,	বি,	বি,	
daakten,	ডাকতেন,	ডাকতেন,	
bharkendra,	ভর্কেন্দ্র,	ভরকেন্দ্র,	
militarite,	মিলিটারীতে,	মিলিটারিতে,	
baarbaadoj,	বার্বদোজ,	বার্বাডোজ,	
danaqana,	ডানাকান,	ডানকান,	
ganona,	গণনা,	গণনা,	
chalechi,	চলেছি,	চলেছি,	
neutrino,	নিউট্রিন্ন,	নিউট্রিনো,	
bisshasyi,	বিশ্বাসি,	বিশ্বাসই,	
lokeshon,	লোকেশন,	লোকেশন,	
monzile,	মঞ্জিলে,	মঞ্জিলে,	
susama,	সুসম,	সুসম,	
sachindra,	সচিন্দ্রা,	শচীন্দ্র,	
anekeri,	অনেকারী,	অনেকেরই,	
shchalastik,	স্লাচাল্টিক,	স্কলাস্টিক,	
sangbadmadhyamgulote,	সংবাদমধমূলোতে,	সংবাদমাধ্যমগুলোতে,	
jounotar,	যৌনতার,	যৌনতার,	
daakticket,	ডাক্টিকটেট,	ডাকটিকিট,	
hepatetisa,	হেপটেটিট,	হেপাটাইটিস,	
kabutorer,	কাবুতরের,	কবুতরের,	
ameettrakkhor,	অমিত্রেক্ষর,	অমিত্রাক্ষর,	
rijur,	রিজুর,	রিজুর,	
toubar,	টৌবার,	তওবার,	
songhitar,	সংঘিতার,	সংহিতার,	
reejideens,	রেজিডেন্স,	রেসিডেন্স,	
surakarder,	সুরকরাদের,	সুরকারদের,	
chhotto,	ছটোট,	ছোট্ট,	
shodhon,	শোধন,	শোধন,	
jatiinke,	জ্যাটিকে,	যতীনকে,	
infarmatian,	ইনফর্মেশন,	ইনফরমেশন,	
tinage,	টিনাইজ,	টিনেজ,	
strigon,	স্ত্রীগণ,	স্ত্রীগণ,	
chhotogolpe,	ছোটোগল্পে,	ছোটগল্পে,	
shiropadhari,	শিরপপারীর,	শিরোপাধারী,	
drishyoi,	দৃশ্যই,	দৃশ্যই,	
graambasee,	গ্রাম্বাসী,	গ্রামবাসী,	
land,	ল্যান্ড,	ল্যান্ড,	
danobder,	দানবদের,	দানবদের,	
breq,	ব্র্যাক,	ব্রেক,	
cholocchitroi,	চলচিত্র্য,	চলচ্চিত্রই,	
ansarir,	আনসারির,	আনসারীর,	
braille,	ব্রেল,	ব্রেইল,	
brekathru,	ব্রেকাররু,	ব্রেকথ্রু,	
safiin,	শফিন,	সাফিন,	
seekkhokke,	শিক্ষককে,	শিক্ষককে,	
governorer,	গভর্নরের,	গভর্ণরের,	
kruser,	ক্রাশের,	ক্রুশের,	
monzhostho,	মঞ্যস্থ,	মঞ্চস্থ,	
provur,	প্রভূর,	প্রভুর,	
teenage,	টেনােজ,	টিনেজ,	
kompito,	কম্পিত,	কম্পিত,	
hosney,	হোসনি,	হোসনে,	
valobasey,	ভালবাসে,	ভালোবাসে,	
beshirvagei,	বেশীরভাগেই,	বেশিরভাগেই,	
siitei,	সাইটেই,	শীতেই,	
oncholsomuho,	অঞ্চলসমূহ,	অঞ্চলসমূহ,	
sambhabanaow,	সম্ভাবনও,	সম্ভবনাও,	
nischitbhabe,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
itastato,	ইটাস্ট,	ইতস্ততঃ,	
jackshan,	জাক্সন,	জ্যাকসন,	
vashik,	ভাষিক,	ভাষিক,	
parther,	পার্থার,	পার্থের,	
onucheeder,	অনুচিদের,	অনুচ্ছেদের,	
sharifpur,	শারিফপুর,	শরিফপুর,	
dembakriti,	ডেমবাইকৃতি,	ডিম্বাকৃতি,	
atorkitey,	আটর্কিটে,	অতর্কিতে,	
sanbadmadhyamgulote,	সংবাদমাধমুলোতে,	সংবাদমাধ্যমগুলোতে,	
spreadsiit,	স্প্রেডসিত,	স্প্রেডশীট,	
keram,	কেরম,	কেরাম,	
shoriph,	শরীফ,	শরিফ,	
ekbakye,	একবাকে,	একবাক্যে,	
zack,	জ্যাক,	জ্যাক,	
ahang,	অহং,	অহং,	
niketon,	নিকেতন,	নিকেতন,	
cheettronnatyokar,	চিত্রনাট্যকর,	চিত্রনাট্যকার,	
manushsaho,	মানুসহ,	মানুষসহ,	
bonaa,	বোনা,	বোনা,	
thatchar,	টাচার,	থ্যাচার,	
ojowno,	অযৌন্ন,	অযৌন,	
nilkomol,	নিলকমল,	নীলকমল,	
risorte,	রিসোর্টে,	রিসোর্টে,	
modhyostho,	মধ্যস্থ,	মধ্যস্থ,	
bim,	বীম,	বীম,	
korimer,	করিমের,	করিমের,	
manzurul,	মানজুর,	মনজুরুল,	
bheenasa,	ভেনস,	ভেনাস,	
meyiler,	মেইলের,	মেইলের,	
protizogiir,	প্রতিযোগীর,	প্রতিযোগীতার,	
lobbyte,	লব্বিতে,	লবিতে,	
oitihyer,	ঐতিহ্যের,	ঐতিহ্যের,	
degreer,	ডিগ্রীর,	ডিগ্রির,	
valobasen,	ভালবাসেন,	ভালোবাসেন,	
jivjontu,	জিবজ্ঞ্তু,	জীবজন্তু,	
eshhiyatika,	এসিয়েটিক,	এশিয়াটিক,	
ghesa,	ঘেস,	ঘেঁষা,	
itemer,	ইটেমের,	আইটেমের,	
parkin,	পারকিন,	পার্কিং,	
vdp,	ডিডিপি,	ভিডিপি,	
lecense,	লেসিন্সে,	লাইসেন্স,	
tukrokey,	টুক্রোকে,	টুকরোকে,	
astikra,	অস্তিকরা,	আস্তিকতা,	
porishongkhyanbid,	পরিসংখ্যানিভ,	পরিসংখ্যানবিদ,	
falakti,	ফালকক্তি,	ফলকটি,	
udiichii,	উদিছি,	উদীচী,	
zhalokatthi,	ঝালকাঠি,	ঝালকাঠী,	
uporitaler,	উপরিতালের,	উপরিতলের,	
ashshociatesh,	অ্যাসোসিয়েট,	এসোসিয়েটস,	
seekkhaarthirao,	শিক্ষার্থীরেও,	শিক্ষার্থীরাও,	
somosto,	সমস্ত,	সমস্ত,	
grootha,	গ্রুথা,	গ্রোথ,	
shaarthe,	সার্থে,	স্বার্থে,	
satarkotar,	সর্তরকতার,	সতর্কতার,	
grambaseer,	গ্রাম্বাসীর,	গ্রামবাসীর,	
scare,	স্কার,	স্কোর,	
beatleser,	বিটলিসের,	বিটলসের,	
cholochchitragulor,	চলচ্চিত্রগুলোর,	চলচ্চিত্রগুলোর,	
asovvo,	অশভ্য,	অসভ্য,	
graambaasi,	গ্রাম্বাসী,	গ্রামবাসী,	
oiteejyo,	ঐতিজ্য,	ঐতিহ্য,	
stonaheenja,	স্টোনাহিজ্ঞ,	স্টোনহেঞ্জ,	
dolgulo,	দলগুলো,	দলগুলো,	
dharavahikeo,	ধারাভিকীতে,	ধারাবাহিকেও,	
nabyota,	নব্যতা,	নাব্যতা,	
graambaashio,	গ্রাম্বাসিও,	গ্রামবাসীও,	
vobtarini,	ভোবাতারিনী,	ভবতারিণী,	
atitkaale,	অতীতকালে,	অতীতকালে,	
pooroheetke,	পুরোহিতকে,	পুরোহিতকে,	
satarkobhabe,	স্যাটরকভাবে,	সতর্কভাবে,	
bisringkhola,	বিশৃংখলা,	বিশৃঙ্খলা,	
shilpojaat,	শিল্পজাত,	শিল্পজাত,	
codey,	কোডে,	কোডে,	
soundorjyo,	সৌন্দর্য্য,	সৌর্ন্দয্য,	
khilaphat,	খিলাফাত,	খিলাফত,	
vittiti,	ভিত্তিটি,	ভিত্তিটি,	
mukhomondoler,	মুখমন্ডলের,	মুখমণ্ডলের,	
transapharma,	ট্রান্সফর্ম,	ট্রান্সফর্ম,	
sooresh,	সুরেশ,	সুরেশ,	
dharabahikvabe,	ধারাবাহিকভাবে,	ধারাবাহিকভাবে,	
hishaber,	হিসাবের,	হিসাবের,	
chinto,	চিন্ত,	চিনতো,	
kormoi,	কর্মই,	কর্মই,	
defineshana,	ডেফিনেশন,	ডেফিনেশন,	
koushalgato,	কৌশালগত,	কৌশলগত,	
nadnadir,	নদন্দীর,	নদনদীর,	
bondhuvabaponyo,	বন্ধুবানপূ্্,	বন্ধুভাবাপন্ন,	
retasa,	রেটস,	রাইটস,	
manir,	মাির,	মনির,	
shringe,	শ্রিজ,	শৃঙ্গে,	
aamoode,	আমুদে,	আমুদে,	
oopohoron,	অপহরণ,	অপহরন,	
chhootite,	ছুটিতে,	ছুটিতে,	
riphleksa,	রাইফেল্স,	রিফ্লেক্স,	
bishrinkhala,	বিশৃংখলা,	বিশৃঙ্খলা,	
panchasjan,	পঞ্চাশনা,	পঞ্চাশজন,	
jolbe,	জলবে,	জ্বলবে,	
nirvahi,	নির্বাহী,	নির্বাহি,	
saamaanyai,	সামান্যই,	সামান্যই,	
chetona,	চেতনা,	চেতনা,	
hajeerhatt,	হাজীরহাট,	হাজিরহাট,	
fiksim,	ফিক্সিম,	ফিক্সিং,	
somoshtike,	সমস্টিকে,	সমষ্টিকে,	
majuter,	মজুতের,	মজুতের,	
pratisthasoho,	প্রতিষ্ঠাসহ,	প্রতিষ্ঠাসহ,	
shuter,	শুটার,	শ্যুটার,	
torabgunj,	তোরাবগঞ্জ,	তোরাবগঞ্জ,	
mookhomaundoley,	মুখমন্ডলে,	মুখমণ্ডলে,	
marketin,	মার্কেটিং,	মার্কেটিং,	
favorite,	ফভরিতে,	ফেভারিট,	
khoor,	খুর,	ক্ষুর,	
plate,	প্লেট,	প্লেট,	
suporichiti,	সুপরিচিতি,	সুপরিচিতি,	
zuktorastreo,	যুক্তরাস্ট্রে,	যুক্তরাষ্ট্রেও,	
dinar,	দিনার,	ডিনার,	
hyariqena,	হ্যারিকেন,	হ্যারিকেন,	
songasthati,	সংস্থাটি,	সংস্থাটি,	
deool,	ডিউল,	দেউল,	
tuku,	টুকু,	টুকু,	
krom,	ক্রোম,	ক্রম,	
wodka,	উডকা,	ভদকা,	
daakope,	ডাকপে,	দাকোপ,	
jeesa,	জিস,	জেস,	
kyantana,	ক্যান্টন,	ক্যান্টন,	
bodhir,	বোধির,	বধির,	
choity,	চৈতি,	চৈতি,	
janagononar,	জনগণনার,	জনগণনার,	
ganosakkhorota,	গণস্কক্ষরতা,	গণসাক্ষরতা,	
ruble,	রুবেল,	রুবল,	
baaraakpur,	বারাকপুর,	বারাকপুর,	
porishromi,	পরিষ্রমী,	পরিশ্রমী,	
muhommoder,	মুহম্মদের,	মুহম্মদের,	
dokaangulotey,	দোকাগুলোতে,	দোকানগুলোতে,	
magical,	ম্যাজিকাল,	ম্যাজিকাল,	
tegara,	টিগার,	টাইগার,	
chhuteer,	ছুটির,	ছুটির,	
doover,	দুভের,	ডোভার,	
niropeksh,	নিরপেক্স,	নিরপেক্ষ,	
faj,	ফাজ,	ফাজ,	
senabahineekey,	সেনাবাহিনীকে,	সেনাবাহিনীকে,	
paltechhey,	পল্েতেছে,	পাল্টেছে,	
deefinition,	ডেফিনিশন,	ডেফিনেশন,	
kushumba,	কুমুখ্ব,	কুশুম্বা,	
jerujalem,	জেরুজালেম,	জেরুজালেম,	
varpur,	ভারপুর,	ভরপুর,	
rena,	রেন,	রেনো,	
musalmankey,	মুসলাম্নকে,	মুসলমানকে,	
bosonto,	বসন্ত,	বসন্ত,	
tamplate,	টেমপ্লেট,	টেম্পলেট,	
sudden,	সাদডন,	সাডেন,	
shiropar,	শিরপর,	শিরোপার,	
shhip,	শীপ,	শিপ,	
breaqthrough,	ব্রেক্রফায়া,	ব্রেকথ্রু,	
ganaporibahaner,	গণপরিবহনের,	গণপরিবহনের,	
vince,	ভিঞ্স,	ভিন্স,	
arop,	অরোপ,	আরোপ,	
naubotom,	নববতম,	নবতম,	
kooshumba,	কুমুব্ব,	কুশুম্বা,	
bojhar,	বোঝার,	বোঝার,	
tachnach,	টচ্চনাচ,	তছনছ,	
behrampurer,	বেরহরমপুরের,	বহরমপুরের,	
proshtot,	প্রস্তট,	প্রস্ত্তত,	
bissashii,	বিশ্বাসী,	বিশ্বাসী,	
lajek,	লাজেক,	লজিক,	
kiutie,	কিউটিও,	কিউটি,	
bhabanir,	ভবনীর,	ভবানীর,	
pratimake,	প্রতিমাকে,	প্রতিমাকে,	
siramiqasa,	সিরামিক্সা,	সিরামিকস,	
catholic,	কাযালোকি,	ক্যাথলিক,	
byaboharkariyi,	ব্যবহারকারী,	ব্যবহারকারীই,	
sarbhaare,	সর্ভারে,	সার্ভারে,	
krita,	কৃত,	ক্রীট,	
nathibhukta,	নথিভূক্ত,	নথিভুক্ত,	
samanno,	সামন্য,	সামান্য,	
parishromi,	পরিস্রমী,	পরিশ্রমী,	
choudhureeder,	চৌধুরিদের,	চৌধুরীদের,	
krush,	ক্রাশ,	ক্রুশ,	
aarcia,	আর্সিয়া,	আরসিএ,	
rubio,	রুবিও,	রুবিও,	
ispredsheet,	ইস্পেরেস,	স্প্রেডশীট,	
swastir,	স্বস্তির,	স্বস্তির,	
antarvukta,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
stoner,	স্তনের,	স্টোনের,	
emergenci,	এমের্জন্কি,	এমার্জেন্সি,	
tap,	টাপ,	ট্যাপ,	
baysharkarikarone,	বেসরকারিকরণ,	বেসরকারিকরণ,	
prochondo,	প্রচন্ড,	প্রচণ্ড,	
prokalpatikey,	প্রকল্পটিকে,	প্রকল্পটিকে,	
elahabade,	এলাহাবাদে,	এলাহাবাদে,	
degree,	ডিগ্রী,	ডিগ্রি,	
chomoski,	চমমক্ি,	চমস্কি,	
schalastic,	স্কালাস্টিক,	স্কলাস্টিক,	
moolgoto,	মুলগত,	মূলগত,	
shrishri,	শৃষ্রি,	শ্রীশ্রী,	
shhikha,	শিখা,	শিখ,	
ganoporibahoner,	গণপরিবহনের,	গণপরিবহনের,	
lokeson,	লোকেশন,	লোকেশন,	
quata,	কোট,	কোটা,	
